3
D4 E-4 F4 BAR ||| E-4 ||| 0.249999999875
BAR C4 B3 C4 ||| C4 ||| 0.166666666654
BAR C4 B3 C4 ||| G3 ||| 0.0416666666667
C4 B-3 A3 BAR ||| B-3 ||| 0.49999999945
C4 B-3 A3 BAR ||| G3 ||| 0.49999999945
C4 B-3 A3 BAR ||| <UNK> ||| 4.999999994e-11
C4 BAR C4 B3 ||| A3 ||| 0.301587301577
C4 BAR C4 B3 ||| <UNK> ||| 1.58730158724e-12
C4 BAR C4 B3 ||| G3 ||| 0.301587301577
C4 BAR C4 B3 ||| D4 ||| 0.015873015874
C4 BAR C4 B3 ||| C4 ||| 0.380952380939
BAR G4 E4 E4 ||| D4 ||| 0.666666666167
BAR G4 E4 E4 ||| F4 ||| 0.3333333331
BAR G4 E4 E4 ||| <UNK> ||| 3.33333333067e-11
BAR G4 F4 E-4 ||| D4 ||| 0.3333333331
BAR G4 F4 E-4 ||| G4 ||| 0.3333333331
BAR G4 F4 E-4 ||| F4 ||| 0.3333333331
BAR G4 F4 E-4 ||| <UNK> ||| 3.33333333067e-11
A3 B3 BAR G3 ||| R ||| 0.49999999945
A3 B3 BAR G3 ||| END ||| 0.49999999945
A3 B3 BAR G3 ||| <UNK> ||| 4.999999994e-11
G4 BAR G4 C5 ||| B4 ||| 0.49999999945
G4 BAR G4 C5 ||| D5 ||| 0.49999999945
G4 BAR G4 C5 ||| <UNK> ||| 4.999999994e-11
D4 BAR D4 E-4 ||| D4 ||| 0.49999999945
D4 BAR D4 E-4 ||| F4 ||| 0.49999999945
D4 BAR D4 E-4 ||| <UNK> ||| 4.999999994e-11
E4 D4 G4 BAR ||| G4 ||| 0.799999999636
E4 D4 G4 BAR ||| A4 ||| 0.199999999924
E4 D4 G4 BAR ||| <UNK> ||| 1.99999999904e-11
G4 F#4 G4 ||| G4 ||| 0.352941176427
G4 F#4 G4 ||| F#4 ||| 0.117647058813
G4 F#4 G4 ||| G#4 ||| 0.117647058813
G4 F#4 G4 ||| F4 ||| 0.117647058813
G4 F#4 G4 ||| D4 ||| 0.176470588216
G4 F#4 G4 ||| <UNK> ||| 5.88235294035e-12
G4 F#4 G4 ||| A4 ||| 0.117647058813
G#4 A4 BAR G4 ||| G4 ||| 0.249999999875
G#4 A4 BAR G4 ||| A4 ||| 0.499999999725
G#4 A4 BAR G4 ||| C5 ||| 0.249999999875
G#4 A4 BAR G4 ||| <UNK> ||| 2.4999999985e-11
C5 B4 BAR A4 ||| G4 ||| 0.181818181803
C5 B4 BAR A4 ||| C#5 ||| 0.0454545454541
C5 B4 BAR A4 ||| B4 ||| 0.409090909051
C5 B4 BAR A4 ||| G#4 ||| 0.136363636353
C5 B4 BAR A4 ||| B-4 ||| 0.0454545454541
C5 B4 BAR A4 ||| <UNK> ||| 4.54545454496e-12
C5 B4 BAR A4 ||| C5 ||| 0.0909090909037
C5 B4 BAR A4 ||| A4 ||| 0.0909090909037
C5 D5 B4 ||| G4 ||| 0.499999999725
C5 D5 B4 ||| A4 ||| 0.249999999875
C5 D5 B4 ||| C5 ||| 0.249999999875
C5 D5 B4 ||| <UNK> ||| 2.4999999985e-11
BAR C4 D4 E4 BAR ||| E4 ||| 0.166666666617
BAR C4 D4 E4 BAR ||| D4 ||| 0.499999999817
BAR C4 D4 E4 BAR ||| <UNK> ||| 1.666666666e-11
BAR C4 D4 E4 BAR ||| F4 ||| 0.166666666617
BAR C4 D4 E4 BAR ||| C4 ||| 0.166666666617
C5 B4 A4 ||| <UNK> ||| 2.77777777759e-12
C5 B4 A4 ||| G4 ||| 0.333333333314
C5 B4 A4 ||| F#4 ||| 0.0277777777787
C5 B4 A4 ||| B4 ||| 0.499999999969
C5 B4 A4 ||| A4 ||| 0.0555555555546
C5 B4 A4 ||| D5 ||| 0.0555555555546
C5 B4 A4 ||| G#4 ||| 0.0277777777787
BAR A4 A4 G#4 BAR ||| E4 ||| 0.249999999875
BAR A4 A4 G#4 BAR ||| G4 ||| 0.249999999875
BAR A4 A4 G#4 BAR ||| A4 ||| 0.499999999725
BAR A4 A4 G#4 BAR ||| <UNK> ||| 2.4999999985e-11
C5 B4 C5 BAR ||| G4 ||| 0.0624999999984
C5 B4 C5 BAR ||| B4 ||| 0.0624999999984
C5 B4 C5 BAR ||| A4 ||| 0.0312500000008
C5 B4 C5 BAR ||| D5 ||| 0.0937499999961
C5 B4 C5 BAR ||| C5 ||| 0.749999999947
C5 B4 C5 BAR ||| <UNK> ||| 3.12499999977e-12
D4 BAR C4 C4 ||| <UNK> ||| 8.33333333167e-12
D4 BAR C4 C4 ||| B-3 ||| 0.166666666642
D4 BAR C4 C4 ||| D4 ||| 0.083333333325
D4 BAR C4 C4 ||| B3 ||| 0.416666666592
D4 BAR C4 C4 ||| C4 ||| 0.333333333275
A3 BAR A3 D4 ||| C#4 ||| 0.3333333331
A3 BAR A3 D4 ||| D4 ||| 0.666666666167
A3 BAR A3 D4 ||| <UNK> ||| 3.33333333067e-11
B4 R B4 BAR ||| B4 ||| 0.499999999725
B4 R B4 BAR ||| A4 ||| 0.249999999875
B4 R B4 BAR ||| C5 ||| 0.249999999875
B4 R B4 BAR ||| <UNK> ||| 2.4999999985e-11
E4 BAR E4 F4 ||| E4 ||| 0.499999999725
E4 BAR E4 F4 ||| G4 ||| 0.499999999725
E4 BAR E4 F4 ||| <UNK> ||| 2.4999999985e-11
D4 E4 BAR G4 ||| G4 ||| 0.666666666167
D4 E4 BAR G4 ||| F#4 ||| 0.3333333331
D4 E4 BAR G4 ||| <UNK> ||| 3.33333333067e-11
G4 A4 A4 ||| B4 ||| 0.199999999924
G4 A4 A4 ||| G4 ||| 0.799999999636
G4 A4 A4 ||| <UNK> ||| 1.99999999904e-11
C4 C4 F4 ||| E4 ||| 0.599999999732
C4 C4 F4 ||| F4 ||| 0.399999999828
C4 C4 F4 ||| <UNK> ||| 1.99999999904e-11
G4 BAR F#4 G4 BAR ||| G4 ||| 0.749999999575
G4 BAR F#4 G4 BAR ||| A4 ||| 0.249999999875
G4 BAR F#4 G4 BAR ||| <UNK> ||| 2.4999999985e-11
B3 BAR E4 D4 ||| D4 ||| 0.499999999725
B3 BAR E4 D4 ||| <UNK> ||| 2.4999999985e-11
B3 BAR E4 D4 ||| C4 ||| 0.499999999725
BAR F4 BAR A4 ||| B4 ||| 0.333333333217
BAR F4 BAR A4 ||| G4 ||| 0.333333333217
BAR F4 BAR A4 ||| G#4 ||| 0.166666666617
BAR F4 BAR A4 ||| B-4 ||| 0.166666666617
BAR F4 BAR A4 ||| <UNK> ||| 1.666666666e-11
BAR C4 C4 BAR C4 ||| A3 ||| 0.249999999875
BAR C4 C4 BAR C4 ||| <UNK> ||| 2.4999999985e-11
BAR C4 C4 BAR C4 ||| D4 ||| 0.499999999725
BAR C4 C4 BAR C4 ||| C4 ||| 0.249999999875
C5 C5 B-4 BAR ||| A4 ||| 0.666666666167
C5 C5 B-4 BAR ||| B-4 ||| 0.3333333331
C5 C5 B-4 BAR ||| <UNK> ||| 3.33333333067e-11
B4 BAR G4 R ||| B4 ||| 0.249999999875
B4 BAR G4 R ||| A4 ||| 0.249999999875
B4 BAR G4 R ||| C5 ||| 0.499999999725
B4 BAR G4 R ||| <UNK> ||| 2.4999999985e-11
BAR C4 B3 A3 ||| D4 ||| 0.0555555555537
BAR C4 B3 A3 ||| <UNK> ||| 5.55555555481e-12
BAR C4 B3 A3 ||| G3 ||| 0.111111111102
BAR C4 B3 A3 ||| B3 ||| 0.833333333228
E4 F4 F4 BAR ||| <UNK> ||| 1.42857142808e-11
E4 F4 F4 BAR ||| E4 ||| 0.428571428439
E4 F4 F4 BAR ||| G4 ||| 0.285714285631
E4 F4 F4 BAR ||| F4 ||| 0.142857142822
E4 F4 F4 BAR ||| E-4 ||| 0.142857142822
G4 BAR A4 G4 BAR ||| <UNK> ||| 1.42857142808e-11
G4 BAR A4 G4 BAR ||| G4 ||| 0.571428571247
G4 BAR A4 G4 BAR ||| F4 ||| 0.285714285631
G4 BAR A4 G4 BAR ||| C4 ||| 0.142857142822
BAR B3 C4 D4 ||| <UNK> ||| 1.666666666e-11
BAR B3 C4 D4 ||| E4 ||| 0.333333333217
BAR B3 C4 D4 ||| D4 ||| 0.166666666617
BAR B3 C4 D4 ||| C4 ||| 0.333333333217
BAR B3 C4 D4 ||| B3 ||| 0.166666666617
A4 A4 BAR A4 ||| B4 ||| 0.083333333325
A4 A4 BAR A4 ||| G4 ||| 0.583333333225
A4 A4 BAR A4 ||| A4 ||| 0.333333333275
A4 A4 BAR A4 ||| <UNK> ||| 8.33333333167e-12
F4 E4 BAR E4 ||| F4 ||| 0.099999999993
F4 E4 BAR E4 ||| F#4 ||| 0.099999999993
F4 E4 BAR E4 ||| END ||| 0.049999999999
F4 E4 BAR E4 ||| A4 ||| 0.049999999999
F4 E4 BAR E4 ||| E4 ||| 0.249999999975
F4 E4 BAR E4 ||| D4 ||| 0.449999999951
F4 E4 BAR E4 ||| <UNK> ||| 4.9999999994e-12
E4 C4 BAR C4 ||| <UNK> ||| 1.99999999904e-11
E4 C4 BAR C4 ||| R ||| 0.399999999828
E4 C4 BAR C4 ||| B3 ||| 0.599999999732
BAR A4 BAR A4 ||| B4 ||| 0.499999999817
BAR A4 BAR A4 ||| G4 ||| 0.499999999817
BAR A4 BAR A4 ||| <UNK> ||| 1.666666666e-11
B3 E4 BAR D4 ||| E4 ||| 0.666666666417
B3 E4 BAR D4 ||| D4 ||| 0.333333333217
B3 E4 BAR D4 ||| <UNK> ||| 1.666666666e-11
BAR G4 A4 BAR A4 ||| G4 ||| 0.3333333331
BAR G4 A4 BAR A4 ||| A4 ||| 0.3333333331
BAR G4 A4 BAR A4 ||| B-4 ||| 0.3333333331
BAR G4 A4 BAR A4 ||| <UNK> ||| 3.33333333067e-11
BAR F#4 G4 BAR G4 ||| F#4 ||| 0.666666666167
BAR F#4 G4 BAR G4 ||| A4 ||| 0.3333333331
BAR F#4 G4 BAR G4 ||| <UNK> ||| 3.33333333067e-11
G4 G4 B4 BAR ||| G4 ||| 0.499999999725
G4 G4 B4 BAR ||| A4 ||| 0.249999999875
G4 G4 B4 BAR ||| C5 ||| 0.249999999875
G4 G4 B4 BAR ||| <UNK> ||| 2.4999999985e-11
B3 C#4 BAR D4 ||| <UNK> ||| 2.4999999985e-11
B3 C#4 BAR D4 ||| E4 ||| 0.249999999875
B3 C#4 BAR D4 ||| G4 ||| 0.249999999875
B3 C#4 BAR D4 ||| C4 ||| 0.499999999725
BAR C#4 D4 BAR ||| G4 ||| 0.666666666167
BAR C#4 D4 BAR ||| F4 ||| 0.3333333331
BAR C#4 D4 BAR ||| <UNK> ||| 3.33333333067e-11
C5 B4 E5 BAR ||| D5 ||| 0.49999999945
C5 B4 E5 BAR ||| F5 ||| 0.49999999945
C5 B4 E5 BAR ||| <UNK> ||| 4.999999994e-11
F4 F4 BAR E4 ||| B4 ||| 0.083333333325
F4 F4 BAR E4 ||| E4 ||| 0.583333333225
F4 F4 BAR E4 ||| G4 ||| 0.249999999958
F4 F4 BAR E4 ||| F4 ||| 0.083333333325
F4 F4 BAR E4 ||| <UNK> ||| 8.33333333167e-12
A4 BAR B4 A4 ||| B4 ||| 0.249999999875
A4 BAR B4 A4 ||| G4 ||| 0.249999999875
A4 BAR B4 A4 ||| A4 ||| 0.499999999725
A4 BAR B4 A4 ||| <UNK> ||| 2.4999999985e-11
C#5 D5 D5 ||| C#5 ||| 0.249999999875
C#5 D5 D5 ||| C5 ||| 0.749999999575
C#5 D5 D5 ||| <UNK> ||| 2.4999999985e-11
BAR G4 BAR G4 G4 ||| G4 ||| 0.399999999828
BAR G4 BAR G4 G4 ||| F#4 ||| 0.199999999924
BAR G4 BAR G4 G4 ||| C5 ||| 0.399999999828
BAR G4 BAR G4 G4 ||| <UNK> ||| 1.99999999904e-11
BAR G4 C5 B4 ||| C#5 ||| 0.142857142822
BAR G4 C5 B4 ||| B4 ||| 0.142857142822
BAR G4 C5 B4 ||| A4 ||| 0.571428571247
BAR G4 C5 B4 ||| C5 ||| 0.142857142822
BAR G4 C5 B4 ||| <UNK> ||| 1.42857142808e-11
A-4 B-4 G4 ||| E-4 ||| 0.49999999945
A-4 B-4 G4 ||| C5 ||| 0.49999999945
A-4 B-4 G4 ||| <UNK> ||| 4.999999994e-11
BAR R BAR R E4 ||| D4 ||| 0.49999999945
BAR R BAR R E4 ||| F4 ||| 0.49999999945
BAR R BAR R E4 ||| <UNK> ||| 4.999999994e-11
C5 B4 A4 BAR ||| B4 ||| 0.142857142846
C5 B4 A4 BAR ||| <UNK> ||| 4.76190476136e-12
C5 B4 A4 BAR ||| G4 ||| 0.476190476141
C5 B4 A4 BAR ||| G#4 ||| 0.238095238073
C5 B4 A4 BAR ||| A4 ||| 0.142857142846
G4 G4 F4 BAR ||| E4 ||| 0.562499999922
G4 G4 F4 BAR ||| G4 ||| 0.249999999969
G4 G4 F4 BAR ||| F4 ||| 0.187499999978
G4 G4 F4 BAR ||| <UNK> ||| 6.24999999906e-12
D4 E4 C4 ||| D4 ||| 0.666666666167
D4 E4 C4 ||| <UNK> ||| 3.33333333067e-11
D4 E4 C4 ||| C4 ||| 0.3333333331
G4 F4 BAR F4 ||| E-4 ||| 0.222222222174
G4 F4 BAR F4 ||| <UNK> ||| 1.11111111081e-11
G4 F4 BAR F4 ||| F4 ||| 0.111111111093
G4 F4 BAR F4 ||| B-4 ||| 0.333333333256
G4 F4 BAR F4 ||| E4 ||| 0.333333333256
G4 F#4 BAR D4 ||| G4 ||| 0.111111111093
G4 F#4 BAR D4 ||| END ||| 0.111111111093
G4 F#4 BAR D4 ||| R ||| 0.222222222174
G4 F#4 BAR D4 ||| E4 ||| 0.111111111093
G4 F#4 BAR D4 ||| F4 ||| 0.111111111093
G4 F#4 BAR D4 ||| D4 ||| 0.222222222174
G4 F#4 BAR D4 ||| <UNK> ||| 1.11111111081e-11
G4 F#4 BAR D4 ||| C4 ||| 0.111111111093
D4 D4 BAR E4 ||| E4 ||| 0.272727272677
D4 D4 BAR E4 ||| D4 ||| 0.454545454455
D4 D4 BAR E4 ||| <UNK> ||| 9.09090908893e-12
D4 D4 BAR E4 ||| F4 ||| 0.0909090908983
D4 D4 BAR E4 ||| END ||| 0.181818181788
B4 BAR C5 C5 ||| B4 ||| 0.53846153837
B4 BAR C5 C5 ||| D5 ||| 0.307692307643
B4 BAR C5 C5 ||| C5 ||| 0.153846153825
B4 BAR C5 C5 ||| <UNK> ||| 7.69230769089e-12
C4 B-3 BAR A3 ||| <UNK> ||| 2.4999999985e-11
C4 B-3 BAR A3 ||| B3 ||| 0.499999999725
C4 B-3 BAR A3 ||| C4 ||| 0.499999999725
D4 C4 B3 BAR ||| G4 ||| 0.049999999999
D4 C4 B3 BAR ||| G3 ||| 0.049999999999
D4 C4 B3 BAR ||| A3 ||| 0.399999999957
D4 C4 B3 BAR ||| B3 ||| 0.099999999993
D4 C4 B3 BAR ||| E4 ||| 0.099999999993
D4 C4 B3 BAR ||| <UNK> ||| 4.9999999994e-12
D4 C4 B3 BAR ||| C4 ||| 0.299999999969
BAR D4 E-4 D4 ||| C#4 ||| 0.3333333331
BAR D4 E-4 D4 ||| <UNK> ||| 3.33333333067e-11
BAR D4 E-4 D4 ||| E-4 ||| 0.666666666167
C5 A4 B4 ||| A4 ||| 0.3333333331
C5 A4 B4 ||| C5 ||| 0.666666666167
C5 A4 B4 ||| <UNK> ||| 3.33333333067e-11
E4 F4 BAR E4 ||| G4 ||| 0.199999999975
E4 F4 BAR E4 ||| END ||| 0.0666666666627
E4 F4 BAR E4 ||| G#4 ||| 0.0666666666627
E4 F4 BAR E4 ||| E4 ||| 0.266666666631
E4 F4 BAR E4 ||| F4 ||| 0.0666666666627
E4 F4 BAR E4 ||| D4 ||| 0.266666666631
E4 F4 BAR E4 ||| <UNK> ||| 6.6666666656e-12
E4 F4 BAR E4 ||| A4 ||| 0.0666666666627
B4 BAR A4 B4 ||| C#5 ||| 0.0909090908983
B4 BAR A4 B4 ||| G4 ||| 0.0909090908983
B4 BAR A4 B4 ||| G#4 ||| 0.0909090908983
B4 BAR A4 B4 ||| C5 ||| 0.727272727123
B4 BAR A4 B4 ||| <UNK> ||| 9.09090908893e-12
C5 BAR C5 B4 ||| G4 ||| 0.418604651152
C5 BAR C5 B4 ||| B4 ||| 0.0116279069776
C5 BAR C5 B4 ||| R ||| 0.0348837209304
C5 BAR C5 B4 ||| A4 ||| 0.23255813953
C5 BAR C5 B4 ||| C5 ||| 0.302325581388
C5 BAR C5 B4 ||| <UNK> ||| 1.16279069764e-12
F4 BAR E4 G4 BAR ||| G4 ||| 0.599999999732
F4 BAR E4 G4 BAR ||| A4 ||| 0.399999999828
F4 BAR E4 G4 BAR ||| <UNK> ||| 1.99999999904e-11
B4 BAR A4 A4 ||| B4 ||| 0.199999999924
B4 BAR A4 A4 ||| E4 ||| 0.199999999924
B4 BAR A4 A4 ||| G4 ||| 0.399999999828
B4 BAR A4 A4 ||| G#4 ||| 0.199999999924
B4 BAR A4 A4 ||| <UNK> ||| 1.99999999904e-11
B-4 B-4 A-4 ||| E-4 ||| 0.749999999787
B-4 B-4 A-4 ||| G4 ||| 0.249999999937
B-4 B-4 A-4 ||| <UNK> ||| 1.24999999962e-11
A3 B3 C4 BAR ||| <UNK> ||| 9.09090908893e-12
A3 B3 C4 BAR ||| A3 ||| 0.0909090908983
A3 B3 C4 BAR ||| C4 ||| 0.727272727123
A3 B3 C4 BAR ||| D4 ||| 0.0909090908983
A3 B3 C4 BAR ||| B3 ||| 0.0909090908983
C4 C4 B3 ||| G3 ||| 0.0833333333292
C4 C4 B3 ||| A3 ||| 0.458333333292
C4 C4 B3 ||| B3 ||| 0.124999999992
C4 C4 B3 ||| D4 ||| 0.0416666666667
C4 C4 B3 ||| C4 ||| 0.291666666642
C4 C4 B3 ||| <UNK> ||| 4.16666666625e-12
B3 BAR C4 C4 BAR ||| D4 ||| 0.3333333331
B3 BAR C4 C4 BAR ||| <UNK> ||| 3.33333333067e-11
B3 BAR C4 C4 BAR ||| C4 ||| 0.666666666167
BAR C5 C5 B-4 ||| A4 ||| 0.666666666167
BAR C5 C5 B-4 ||| B-4 ||| 0.3333333331
BAR C5 C5 B-4 ||| <UNK> ||| 3.33333333067e-11
BAR C4 C4 C4 BAR ||| <UNK> ||| 2.4999999985e-11
BAR C4 C4 C4 BAR ||| B3 ||| 0.499999999725
BAR C4 C4 C4 BAR ||| C4 ||| 0.499999999725
BAR B4 C5 BAR C5 ||| B4 ||| 0.6666666665
BAR B4 C5 BAR C5 ||| D5 ||| 0.111111111093
BAR B4 C5 BAR C5 ||| C5 ||| 0.222222222174
BAR B4 C5 BAR C5 ||| <UNK> ||| 1.11111111081e-11
C5 BAR D5 C5 ||| B4 ||| 0.714285714055
C5 BAR D5 C5 ||| D5 ||| 0.142857142822
C5 BAR D5 C5 ||| C5 ||| 0.142857142822
C5 BAR D5 C5 ||| <UNK> ||| 1.42857142808e-11
A4 G4 B-4 BAR ||| A4 ||| 0.249999999875
A4 G4 B-4 BAR ||| B-4 ||| 0.749999999575
A4 G4 B-4 BAR ||| <UNK> ||| 2.4999999985e-11
G4 A4 BAR A4 ||| G4 ||| 0.526315789412
G4 A4 BAR A4 ||| B4 ||| 0.052631578946
G4 A4 BAR A4 ||| A4 ||| 0.105263157887
G4 A4 BAR A4 ||| D4 ||| 0.052631578946
G4 A4 BAR A4 ||| <UNK> ||| 5.26315789407e-12
G4 A4 BAR A4 ||| C5 ||| 0.052631578946
G4 A4 BAR A4 ||| G#4 ||| 0.210526315768
D4 D4 C#4 ||| C#4 ||| 0.111111111093
D4 D4 C#4 ||| A3 ||| 0.111111111093
D4 D4 C#4 ||| B3 ||| 0.222222222174
D4 D4 C#4 ||| E4 ||| 0.111111111093
D4 D4 C#4 ||| D4 ||| 0.444444444337
D4 D4 C#4 ||| <UNK> ||| 1.11111111081e-11
BAR A4 G#4 BAR A4 ||| B4 ||| 0.49999999945
BAR A4 G#4 BAR A4 ||| F4 ||| 0.49999999945
BAR A4 G#4 BAR A4 ||| <UNK> ||| 4.999999994e-11
B4 BAR A4 G4 ||| G4 ||| 0.266666666649
B4 BAR A4 G4 ||| F#4 ||| 0.166666666657
B4 BAR A4 G4 ||| A4 ||| 0.366666666641
B4 BAR A4 G4 ||| F4 ||| 0.0666666666647
B4 BAR A4 G4 ||| D4 ||| 0.0999999999953
B4 BAR A4 G4 ||| C5 ||| 0.033333333334
B4 BAR A4 G4 ||| <UNK> ||| 3.33333333307e-12
E5 D5 D5 ||| E5 ||| 0.333333333217
E5 D5 D5 ||| R ||| 0.166666666617
E5 D5 D5 ||| C5 ||| 0.499999999817
E5 D5 D5 ||| <UNK> ||| 1.666666666e-11
G4 C5 C5 BAR ||| B4 ||| 0.199999999924
G4 C5 C5 BAR ||| C5 ||| 0.799999999636
G4 C5 C5 BAR ||| <UNK> ||| 1.99999999904e-11
B4 A4 BAR A4 ||| G4 ||| 0.6666666665
B4 A4 BAR A4 ||| G#4 ||| 0.333333333256
B4 A4 BAR A4 ||| <UNK> ||| 1.11111111081e-11
BAR G4 G4 BAR F4 ||| D4 ||| 0.3333333331
BAR G4 G4 BAR F4 ||| G4 ||| 0.3333333331
BAR G4 G4 BAR F4 ||| A4 ||| 0.3333333331
BAR G4 G4 BAR F4 ||| <UNK> ||| 3.33333333067e-11
E4 D4 D4 ||| <UNK> ||| 1.11111111081e-11
E4 D4 D4 ||| E4 ||| 0.222222222174
E4 D4 D4 ||| C4 ||| 0.333333333256
E4 D4 D4 ||| F4 ||| 0.111111111093
