3
R C5 BAR C5 ||| B4 ||| 0.666666666167
C5 BAR D5 E5 ||| <UNK> ||| 3.22580645136e-12
C5 B4 C5 BAR ||| D5 ||| 0.833333333017
C5 B4 C5 BAR ||| A4 ||| 0.166666666617
C5 B4 C5 BAR ||| <UNK> ||| 1.666666666e-11
BAR R BAR R G5 BAR ||| G5 ||| 0.49999999945
BAR R BAR R G5 BAR ||| A5 ||| 0.49999999945
BAR R BAR R G5 BAR ||| <UNK> ||| 4.999999994e-11
A4 BAR G4 F#4 ||| E4 ||| 0.49999999945
A4 BAR G4 F#4 ||| G4 ||| 0.49999999945
A4 BAR G4 F#4 ||| <UNK> ||| 4.999999994e-11
BAR R C5 C5 ||| <UNK> ||| 3.33333333067e-11
BAR R C5 C5 ||| G4 ||| 0.3333333331
BAR R C5 C5 ||| D5 ||| 0.666666666167
D5 D5 E5 BAR ||| F5 ||| 0.166666666617
D5 D5 E5 BAR ||| C5 ||| 0.833333333017
D5 D5 E5 BAR ||| <UNK> ||| 1.666666666e-11
E5 F5 D5 BAR ||| G5 ||| 0.49999999945
E5 F5 D5 BAR ||| C5 ||| 0.49999999945
E5 F5 D5 BAR ||| <UNK> ||| 4.999999994e-11
BAR E5 F5 G5 BAR ||| G5 ||| 0.499999999817
BAR E5 F5 G5 BAR ||| A5 ||| 0.166666666617
BAR E5 F5 G5 BAR ||| F5 ||| 0.333333333217
BAR E5 F5 G5 BAR ||| <UNK> ||| 1.666666666e-11
BAR C5 BAR C5 ||| B4 ||| 0.666666666167
BAR C5 BAR C5 ||| D5 ||| 0.3333333331
BAR C5 BAR C5 ||| <UNK> ||| 3.33333333067e-11
F4 E4 D4 BAR ||| G4 ||| 0.0666666666627
F4 E4 D4 BAR ||| A3 ||| 0.199999999975
F4 E4 D4 BAR ||| E4 ||| 0.199999999975
F4 E4 D4 BAR ||| D4 ||| 0.199999999975
F4 E4 D4 BAR ||| C4 ||| 0.333333333287
F4 E4 D4 BAR ||| <UNK> ||| 6.6666666656e-12
F4 E4 BAR E4 ||| E4 ||| 0.3333333331
F4 E4 BAR E4 ||| G4 ||| 0.3333333331
F4 E4 BAR E4 ||| C5 ||| 0.3333333331
F4 E4 BAR E4 ||| <UNK> ||| 3.33333333067e-11
F4 E4 D4 ||| E4 ||| 0.583333333225
F4 E4 D4 ||| D4 ||| 0.416666666592
F4 E4 D4 ||| <UNK> ||| 8.33333333167e-12
C5 C5 C5 BAR ||| E-5 ||| 0.0476190476184
C5 C5 C5 BAR ||| D5 ||| 0.190476190459
C5 C5 C5 BAR ||| C5 ||| 0.761904761822
C5 C5 C5 BAR ||| <UNK> ||| 4.76190476136e-12
R D5 BAR C5 ||| B4 ||| 0.499999999725
R D5 BAR C5 ||| D5 ||| 0.249999999875
R D5 BAR C5 ||| C5 ||| 0.249999999875
R D5 BAR C5 ||| <UNK> ||| 2.4999999985e-11
BAR E-5 F5 G5 ||| G5 ||| 0.666666666167
BAR E-5 F5 G5 ||| F5 ||| 0.3333333331
BAR E-5 F5 G5 ||| <UNK> ||| 3.33333333067e-11
BAR C5 D5 D5 BAR ||| E5 ||| 0.599999999732
BAR C5 D5 D5 BAR ||| C5 ||| 0.399999999828
BAR C5 D5 D5 BAR ||| <UNK> ||| 1.99999999904e-11
D5 C5 B4 BAR ||| A4 ||| 0.799999999879
D5 C5 B4 BAR ||| C5 ||| 0.199999999975
D5 C5 B4 BAR ||| <UNK> ||| 6.6666666656e-12
C5 B4 E5 BAR ||| E5 ||| 0.249999999875
C5 B4 E5 BAR ||| F5 ||| 0.749999999575
C5 B4 E5 BAR ||| <UNK> ||| 2.4999999985e-11
F4 F4 BAR E4 ||| E4 ||| 0.199999999924
F4 F4 BAR E4 ||| R ||| 0.199999999924
F4 F4 BAR E4 ||| F4 ||| 0.199999999924
F4 F4 BAR E4 ||| G4 ||| 0.399999999828
F4 F4 BAR E4 ||| <UNK> ||| 1.99999999904e-11
BAR C5 D5 BAR C5 ||| END ||| 0.3333333331
BAR C5 D5 BAR C5 ||| C5 ||| 0.666666666167
BAR C5 D5 BAR C5 ||| <UNK> ||| 3.33333333067e-11
BAR E5 D5 BAR C5 BAR ||| E5 ||| 0.499999999725
BAR E5 D5 BAR C5 BAR ||| C5 ||| 0.499999999725
BAR E5 D5 BAR C5 BAR ||| <UNK> ||| 2.4999999985e-11
E4 D4 E4 ||| <UNK> ||| 1.11111111081e-11
E4 D4 E4 ||| F4 ||| 0.777777777581
E4 D4 E4 ||| C4 ||| 0.222222222174
BAR E5 E5 E5 BAR ||| <UNK> ||| 3.33333333067e-11
BAR E5 E5 E5 BAR ||| A4 ||| 0.666666666167
BAR E5 E5 E5 BAR ||| F5 ||| 0.3333333331
F#5 G5 BAR G5 ||| E5 ||| 0.249999999937
F#5 G5 BAR G5 ||| F#5 ||| 0.749999999787
F#5 G5 BAR G5 ||| <UNK> ||| 1.24999999962e-11
BAR E5 C5 ||| E5 ||| 0.49999999945
BAR E5 C5 ||| D5 ||| 0.49999999945
BAR E5 C5 ||| <UNK> ||| 4.999999994e-11
B4 BAR C5 C5 ||| G4 ||| 0.0434782608694
B4 BAR C5 C5 ||| B4 ||| 0.39130434779
B4 BAR C5 C5 ||| R ||| 0.0434782608694
B4 BAR C5 C5 ||| A4 ||| 0.0434782608694
B4 BAR C5 C5 ||| E5 ||| 0.217391304329
B4 BAR C5 C5 ||| D5 ||| 0.173913043464
B4 BAR C5 C5 ||| C5 ||| 0.0869565217344
B4 BAR C5 C5 ||| <UNK> ||| 4.3478260865e-12
A4 BAR G#4 A4 ||| B4 ||| 0.749999999575
A4 BAR G#4 A4 ||| G#4 ||| 0.249999999875
A4 BAR G#4 A4 ||| <UNK> ||| 2.4999999985e-11
F#5 G5 G5 ||| A5 ||| 0.249999999875
F#5 G5 G5 ||| F#5 ||| 0.749999999575
F#5 G5 G5 ||| <UNK> ||| 2.4999999985e-11
G4 A-4 BAR A-4 ||| A-4 ||| 0.49999999945
G4 A-4 BAR A-4 ||| B-4 ||| 0.49999999945
G4 A-4 BAR A-4 ||| <UNK> ||| 4.999999994e-11
D5 BAR E5 E5 BAR ||| E5 ||| 0.533333333255
D5 BAR E5 E5 BAR ||| D5 ||| 0.0666666666627
D5 BAR E5 E5 BAR ||| F5 ||| 0.333333333287
D5 BAR E5 E5 BAR ||| C5 ||| 0.0666666666627
D5 BAR E5 E5 BAR ||| <UNK> ||| 6.6666666656e-12
BAR F5 E5 D5 ||| G5 ||| 0.0140845070432
BAR F5 E5 D5 ||| F5 ||| 0.0140845070432
BAR F5 E5 D5 ||| C#5 ||| 0.0422535211267
BAR F5 E5 D5 ||| E5 ||| 0.211267605628
BAR F5 E5 D5 ||| D5 ||| 0.323943661962
BAR F5 E5 D5 ||| C5 ||| 0.394366197171
BAR F5 E5 D5 ||| <UNK> ||| 1.40845070418e-12
C5 BAR C5 B4 ||| A4 ||| 0.333333333287
C5 BAR C5 B4 ||| C5 ||| 0.666666666567
C5 BAR C5 B4 ||| <UNK> ||| 6.6666666656e-12
D5 E5 D5 BAR ||| E5 ||| 0.129032258058
D5 E5 D5 BAR ||| D5 ||| 0.0322580645169
D5 E5 D5 BAR ||| C5 ||| 0.838709677358
D5 E5 D5 BAR ||| <UNK> ||| 3.22580645136e-12
F#4 G4 BAR R ||| E4 ||| 0.3333333331
F#4 G4 BAR R ||| D4 ||| 0.3333333331
F#4 G4 BAR R ||| G4 ||| 0.3333333331
F#4 G4 BAR R ||| <UNK> ||| 3.33333333067e-11
E5 BAR D5 E5 ||| F5 ||| 0.41176470583
E5 BAR D5 E5 ||| C#5 ||| 0.23529411762
E5 BAR D5 E5 ||| E5 ||| 0.0588235294093
E5 BAR D5 E5 ||| D5 ||| 0.23529411762
E5 BAR D5 E5 ||| C5 ||| 0.0588235294093
E5 BAR D5 E5 ||| <UNK> ||| 5.88235294035e-12
B4 BAR A4 A4 ||| G4 ||| 0.888888888663
B4 BAR A4 A4 ||| G#4 ||| 0.111111111093
B4 BAR A4 A4 ||| <UNK> ||| 1.11111111081e-11
BAR D5 C5 BAR C5 ||| B4 ||| 0.3333333331
BAR D5 C5 BAR C5 ||| E5 ||| 0.3333333331
BAR D5 C5 BAR C5 ||| C5 ||| 0.3333333331
BAR D5 C5 BAR C5 ||| <UNK> ||| 3.33333333067e-11
G4 BAR G4 A4 ||| B4 ||| 0.749999999575
G4 BAR G4 A4 ||| F4 ||| 0.249999999875
G4 BAR G4 A4 ||| <UNK> ||| 2.4999999985e-11
BAR E-5 C5 B-4 ||| E-5 ||| 0.727272727123
BAR E-5 C5 B-4 ||| G4 ||| 0.0909090908983
BAR E-5 C5 B-4 ||| C5 ||| 0.181818181788
BAR E-5 C5 B-4 ||| <UNK> ||| 9.09090908893e-12
C5 BAR D5 C5 ||| B4 ||| 0.214285714256
C5 BAR D5 C5 ||| END ||| 0.14285714284
C5 BAR D5 C5 ||| C5 ||| 0.642857142754
C5 BAR D5 C5 ||| <UNK> ||| 7.14285714163e-12
G5 F5 E5 ||| D5 ||| 0.608695652115
G5 F5 E5 ||| F5 ||| 0.39130434779
G5 F5 E5 ||| <UNK> ||| 4.3478260865e-12
B4 BAR A4 G4 ||| G5 ||| 0.222222222174
B4 BAR A4 G4 ||| G4 ||| 0.222222222174
B4 BAR A4 G4 ||| F4 ||| 0.333333333256
B4 BAR A4 G4 ||| E4 ||| 0.111111111093
B4 BAR A4 G4 ||| C4 ||| 0.111111111093
B4 BAR A4 G4 ||| <UNK> ||| 1.11111111081e-11
E5 D5 D5 ||| E5 ||| 0.199999999924
E5 D5 D5 ||| D5 ||| 0.399999999828
E5 D5 D5 ||| C5 ||| 0.399999999828
E5 D5 D5 ||| <UNK> ||| 1.99999999904e-11
B4 A4 BAR A4 ||| G4 ||| 0.499999999725
B4 A4 BAR A4 ||| R ||| 0.249999999875
B4 A4 BAR A4 ||| A4 ||| 0.249999999875
B4 A4 BAR A4 ||| <UNK> ||| 2.4999999985e-11
B4 BAR C5 D5 ||| E5 ||| 0.428571428505
B4 BAR C5 D5 ||| B4 ||| 0.14285714284
B4 BAR C5 D5 ||| C5 ||| 0.428571428505
B4 BAR C5 D5 ||| <UNK> ||| 7.14285714163e-12
F4 BAR E4 R ||| D4 ||| 0.599999999732
F4 BAR E4 R ||| R ||| 0.199999999924
F4 BAR E4 R ||| C5 ||| 0.199999999924
F4 BAR E4 R ||| <UNK> ||| 1.99999999904e-11
BAR G4 F#4 G4 ||| E5 ||| 0.399999999828
BAR G4 F#4 G4 ||| D4 ||| 0.199999999924
BAR G4 F#4 G4 ||| G4 ||| 0.199999999924
BAR G4 F#4 G4 ||| C5 ||| 0.199999999924
BAR G4 F#4 G4 ||| <UNK> ||| 1.99999999904e-11
A4 B4 C5 ||| D5 ||| 0.384615384552
A4 B4 C5 ||| A4 ||| 0.384615384552
A4 B4 C5 ||| C5 ||| 0.230769230734
A4 B4 C5 ||| <UNK> ||| 7.69230769089e-12
B4 A4 A4 BAR ||| G4 ||| 0.499999999908
B4 A4 A4 BAR ||| B4 ||| 0.166666666642
B4 A4 A4 BAR ||| A4 ||| 0.166666666642
B4 A4 A4 BAR ||| E4 ||| 0.083333333325
B4 A4 A4 BAR ||| D5 ||| 0.083333333325
B4 A4 A4 BAR ||| <UNK> ||| 8.33333333167e-12
BAR B4 A4 G4 ||| E4 ||| 0.0344827586213
BAR B4 A4 G4 ||| G4 ||| 0.275862068946
BAR B4 A4 G4 ||| F4 ||| 0.275862068946
BAR B4 A4 G4 ||| A4 ||| 0.413793103417
BAR B4 A4 G4 ||| <UNK> ||| 3.44827586178e-12
C5 BAR F5 E5 ||| D5 ||| 0.49999999945
C5 BAR F5 E5 ||| F5 ||| 0.49999999945
C5 BAR F5 E5 ||| <UNK> ||| 4.999999994e-11
D5 BAR D5 E5 ||| F5 ||| 0.49999999945
D5 BAR D5 E5 ||| C5 ||| 0.49999999945
D5 BAR D5 E5 ||| <UNK> ||| 4.999999994e-11
E5 F5 G5 ||| G5 ||| 0.299999999938
E5 F5 G5 ||| D5 ||| 0.099999999986
E5 F5 G5 ||| A5 ||| 0.299999999938
E5 F5 G5 ||| F5 ||| 0.299999999938
E5 F5 G5 ||| <UNK> ||| 9.9999999976e-12
C5 BAR B4 B4 ||| B4 ||| 0.49999999945
C5 BAR B4 B4 ||| G4 ||| 0.49999999945
C5 BAR B4 B4 ||| <UNK> ||| 4.999999994e-11
BAR E5 D5 E5 BAR ||| E5 ||| 0.190476190459
BAR E5 D5 E5 BAR ||| G5 ||| 0.238095238073
BAR E5 D5 E5 BAR ||| D5 ||| 0.285714285686
BAR E5 D5 E5 BAR ||| C5 ||| 0.285714285686
BAR E5 D5 E5 BAR ||| <UNK> ||| 4.76190476136e-12
BAR R BAR R E5 BAR ||| D5 ||| 0.3333333331
BAR R BAR R E5 BAR ||| F5 ||| 0.666666666167
BAR R BAR R E5 BAR ||| <UNK> ||| 3.33333333067e-11
BAR G4 G4 A-4 ||| A-4 ||| 0.49999999945
BAR G4 G4 A-4 ||| B-4 ||| 0.49999999945
BAR G4 G4 A-4 ||| <UNK> ||| 4.999999994e-11
BAR B-4 A-4 G4 ||| E-4 ||| 0.142857142822
BAR B-4 A-4 G4 ||| G4 ||| 0.428571428439
BAR B-4 A-4 G4 ||| A-4 ||| 0.285714285631
BAR B-4 A-4 G4 ||| B-4 ||| 0.142857142822
BAR B-4 A-4 G4 ||| <UNK> ||| 1.42857142808e-11
BAR B-4 B-4 G4 ||| A-4 ||| 0.199999999962
BAR B-4 B-4 G4 ||| C5 ||| 0.799999999818
BAR B-4 B-4 G4 ||| <UNK> ||| 9.9999999976e-12
BAR F4 E4 D4 ||| E4 ||| 0.157894736827
BAR F4 E4 D4 ||| D4 ||| 0.157894736827
BAR F4 E4 D4 ||| <UNK> ||| 5.26315789407e-12
BAR F4 E4 D4 ||| C4 ||| 0.684210526235
E5 F5 E5 ||| D5 ||| 0.818181818097
E5 F5 E5 ||| F5 ||| 0.181818181803
E5 F5 E5 ||| <UNK> ||| 4.54545454496e-12
BAR C4 D4 E4 ||| E4 ||| 0.111111111093
BAR C4 D4 E4 ||| D4 ||| 0.222222222174
BAR C4 D4 E4 ||| F4 ||| 0.6666666665
BAR C4 D4 E4 ||| <UNK> ||| 1.11111111081e-11
E4 F4 E4 BAR ||| D4 ||| 0.799999999636
E4 F4 E4 BAR ||| A4 ||| 0.199999999924
E4 F4 E4 BAR ||| <UNK> ||| 1.99999999904e-11
BAR E5 BAR C5 BAR E5 ||| G5 ||| 0.49999999945
BAR E5 BAR C5 BAR E5 ||| F5 ||| 0.49999999945
BAR E5 BAR C5 BAR E5 ||| <UNK> ||| 4.999999994e-11
BAR A4 G4 G4 BAR ||| G4 ||| 0.3333333331
BAR A4 G4 G4 BAR ||| C5 ||| 0.666666666167
BAR A4 G4 G4 BAR ||| <UNK> ||| 3.33333333067e-11
F5 G5 D5 BAR ||| G5 ||| 0.249999999875
F5 G5 D5 BAR ||| C5 ||| 0.749999999575
F5 G5 D5 BAR ||| <UNK> ||| 2.4999999985e-11
G4 F4 E4 ||| D4 ||| 0.799999999818
G4 F4 E4 ||| C5 ||| 0.199999999962
G4 F4 E4 ||| <UNK> ||| 9.9999999976e-12
G4 A4 BAR G4 ||| F4 ||| 0.545454545345
G4 A4 BAR G4 ||| D4 ||| 0.0909090908983
G4 A4 BAR G4 ||| END ||| 0.0909090908983
G4 A4 BAR G4 ||| C5 ||| 0.272727272677
G4 A4 BAR G4 ||| <UNK> ||| 9.09090908893e-12
BAR G5 G5 G5 ||| G5 ||| 0.333333333256
BAR G5 G5 G5 ||| A5 ||| 0.333333333256
BAR G5 G5 G5 ||| F5 ||| 0.333333333256
BAR G5 G5 G5 ||| <UNK> ||| 1.11111111081e-11
A-4 G4 A-4 BAR ||| G4 ||| 0.499999999725
A-4 G4 A-4 BAR ||| A-4 ||| 0.499999999725
A-4 G4 A-4 BAR ||| <UNK> ||| 2.4999999985e-11
BAR E5 E5 C5 ||| E5 ||| 0.285714285631
BAR E5 E5 C5 ||| D5 ||| 0.714285714055
BAR E5 E5 C5 ||| <UNK> ||| 1.42857142808e-11
BAR A4 BAR E4 ||| D4 ||| 0.249999999875
BAR A4 BAR E4 ||| <UNK> ||| 2.4999999985e-11
BAR A4 BAR E4 ||| C4 ||| 0.749999999575
BAR G4 G4 ||| G4 ||| 0.124999999975
BAR G4 G4 ||| A4 ||| 0.87499999975
BAR G4 G4 ||| <UNK> ||| 1.24999999962e-11
BAR B4 A4 B4 ||| G4 ||| 0.444444444337
BAR B4 A4 B4 ||| C5 ||| 0.555555555419
BAR B4 A4 B4 ||| <UNK> ||| 1.11111111081e-11
BAR A4 BAR G4 ||| D4 ||| 0.49999999945
BAR A4 BAR G4 ||| G4 ||| 0.49999999945
BAR A4 BAR G4 ||| <UNK> ||| 4.999999994e-11
F#4 BAR G4 A4 ||| B4 ||| 0.142857142822
F#4 BAR G4 A4 ||| G4 ||| 0.571428571247
F#4 BAR G4 A4 ||| A4 ||| 0.285714285631
F#4 BAR G4 A4 ||| <UNK> ||| 1.42857142808e-11
E5 E5 BAR D5 ||| C#5 ||| 0.181818181788
E5 E5 BAR D5 ||| R ||| 0.0909090908983
E5 E5 BAR D5 ||| E5 ||| 0.545454545345
E5 E5 BAR D5 ||| D5 ||| 0.0909090908983
E5 E5 BAR D5 ||| C5 ||| 0.0909090908983
E5 E5 BAR D5 ||| <UNK> ||| 9.09090908893e-12
BAR A4 G4 F4 ||| E4 ||| 0.647058823487
BAR A4 G4 F4 ||| G4 ||| 0.235294117633
BAR A4 G4 F4 ||| F4 ||| 0.117647058818
BAR A4 G4 F4 ||| <UNK> ||| 2.94117647038e-12
BAR E5 R G5 BAR ||| A5 ||| 0.49999999945
BAR E5 R G5 BAR ||| F5 ||| 0.49999999945
BAR E5 R G5 BAR ||| <UNK> ||| 4.999999994e-11
E5 BAR C5 C5 ||| D5 ||| 0.333333333256
E5 BAR C5 C5 ||| F5 ||| 0.111111111093
E5 BAR C5 C5 ||| C5 ||| 0.555555555419
E5 BAR C5 C5 ||| <UNK> ||| 1.11111111081e-11
G4 BAR C5 D5 ||| E5 ||| 0.749999999787
G4 BAR C5 D5 ||| C5 ||| 0.249999999937
G4 BAR C5 D5 ||| <UNK> ||| 1.24999999962e-11
C5 B4 B4 BAR ||| A4 ||| 0.599999999732
C5 B4 B4 BAR ||| C5 ||| 0.399999999828
C5 B4 B4 BAR ||| <UNK> ||| 1.99999999904e-11
B4 C5 C5 ||| B4 ||| 0.49999999945
B4 C5 C5 ||| D5 ||| 0.49999999945
B4 C5 C5 ||| <UNK> ||| 4.999999994e-11
B4 BAR A4 G4 BAR ||| G4 ||| 0.666666666167
B4 BAR A4 G4 BAR ||| A4 ||| 0.3333333331
B4 BAR A4 G4 BAR ||| <UNK> ||| 3.33333333067e-11
BAR E5 E5 F5 ||| E5 ||| 0.142857142822
BAR E5 E5 F5 ||| G5 ||| 0.571428571247
BAR E5 E5 F5 ||| F5 ||| 0.285714285631
BAR E5 E5 F5 ||| <UNK> ||| 1.42857142808e-11
BAR D5 E5 BAR F5 ||| E5 ||| 0.833333333017
BAR D5 E5 BAR F5 ||| F5 ||| 0.166666666617
BAR D5 E5 BAR F5 ||| <UNK> ||| 1.666666666e-11
BAR F5 E5 BAR F5 BAR ||| E5 ||| 0.49999999945
BAR F5 E5 BAR F5 BAR ||| R ||| 0.49999999945
BAR F5 E5 BAR F5 BAR ||| <UNK> ||| 4.999999994e-11
BAR C5 D5 E5 ||| <UNK> ||| 8.62068965499e-13
BAR C5 D5 E5 ||| G5 ||| 0.0172413793109
BAR C5 D5 E5 ||| F5 ||| 0.55172413792
BAR C5 D5 E5 ||| E5 ||| 0.0517241379308
BAR C5 D5 E5 ||| D5 ||| 0.327586206891
BAR C5 D5 E5 ||| C5 ||| 0.0172413793109
BAR C5 D5 E5 ||| F#5 ||| 0.0344827586208
B4 C5 C5 BAR ||| D5 ||| 0.333333333256
B4 C5 C5 BAR ||| F5 ||| 0.111111111093
B4 C5 C5 BAR ||| C5 ||| 0.555555555419
B4 C5 C5 BAR ||| <UNK> ||| 1.11111111081e-11
F4 G4 F4 BAR ||| E4 ||| 0.842105263057
F4 G4 F4 BAR ||| <UNK> ||| 5.26315789407e-12
F4 G4 F4 BAR ||| E-4 ||| 0.157894736827
D5 BAR C5 BAR E5 ||| E5 ||| 0.333333333217
D5 BAR C5 BAR E5 ||| D5 ||| 0.166666666617
D5 BAR C5 BAR E5 ||| F5 ||| 0.499999999817
D5 BAR C5 BAR E5 ||| <UNK> ||| 1.666666666e-11
BAR B4 BAR ||| E5 ||| 0.166666666617
BAR B4 BAR ||| E4 ||| 0.166666666617
BAR B4 BAR ||| G4 ||| 0.666666666417
BAR B4 BAR ||| <UNK> ||| 1.666666666e-11
G4 BAR C5 B4 ||| A4 ||| 0.49999999945
G4 BAR C5 B4 ||| C5 ||| 0.49999999945
G4 BAR C5 B4 ||| <UNK> ||| 4.999999994e-11
B4 A4 G4 ||| G4 ||| 0.222222222198
B4 A4 G4 ||| R ||| 0.0555555555537
B4 A4 G4 ||| A4 ||| 0.16666666665
B4 A4 G4 ||| B-4 ||| 0.0555555555537
B4 A4 G4 ||| E4 ||| 0.111111111102
