3
F2 BAR E2 F2 ||| C2 ||| 0.333283341332
G3 F#3 BAR G3 ||| D3 ||| 0.142848776084
G3 F#3 BAR G3 ||| E3 ||| 0.142848776084
G3 F#3 BAR G3 ||| <UNK> ||| 1.4284734761e-06
B3 G3 C4 ||| C3 ||| 0.399963603494
B3 G3 C4 ||| F3 ||| 0.199982801651
B3 G3 C4 ||| G3 ||| 0.199982801651
B3 G3 C4 ||| E3 ||| 0.199982801651
B3 G3 C4 ||| <UNK> ||| 1.99980801843e-06
F3 BAR G3 G3 ||| C3 ||| 0.714238166526
F3 BAR G3 G3 ||| <UNK> ||| 1.4284734761e-06
F3 BAR G3 G3 ||| F3 ||| 0.142848776084
F3 BAR G3 G3 ||| C4 ||| 0.142848776084
B3 C4 A3 BAR ||| F3 ||| 0.153841242785
B3 C4 A3 BAR ||| G3 ||| 0.307681716367
B3 C4 A3 BAR ||| B-3 ||| 0.153841242785
B3 C4 A3 BAR ||| F#3 ||| 0.0769210059936
B3 C4 A3 BAR ||| B3 ||| 0.153841242785
B3 C4 A3 BAR ||| E3 ||| 0.153841242785
B3 C4 A3 BAR ||| <UNK> ||| 7.69202367913e-07
G3 A3 BAR D3 ||| F3 ||| 0.111106296553
G3 A3 BAR D3 ||| G3 ||| 0.111106296553
G3 A3 BAR D3 ||| A3 ||| 0.111106296553
G3 A3 BAR D3 ||| R ||| 0.111106296553
G3 A3 BAR D3 ||| E3 ||| 0.555527038558
G3 A3 BAR D3 ||| <UNK> ||| 1.11105185501e-06
G3 G3 BAR C3 ||| F3 ||| 0.2499725033
G3 G3 BAR C3 ||| END ||| 0.2499725033
G3 G3 BAR C3 ||| D3 ||| 0.499942506899
G3 G3 BAR C3 ||| <UNK> ||| 2.499700036e-06
G3 G#3 A3 ||| C3 ||| 0.333283341332
G3 G#3 A3 ||| A2 ||| 0.333283341332
G3 G#3 A3 ||| G3 ||| 0.333283341332
G3 G#3 A3 ||| <UNK> ||| 3.33280008532e-06
E3 F#3 G3 BAR ||| C3 ||| 0.624963752175
E3 F#3 G3 BAR ||| G3 ||| 0.249986250825
E3 F#3 G3 BAR ||| C#3 ||| 0.124993750375
E3 F#3 G3 BAR ||| <UNK> ||| 1.2499250045e-06
A3 B3 C4 BAR ||| F#3 ||| 0.0666652000469
A3 B3 C4 BAR ||| G3 ||| 0.19999426685
A3 B3 C4 BAR ||| G#3 ||| 0.0666652000469
A3 B3 C4 BAR ||| F3 ||| 0.266658800252
A3 B3 C4 BAR ||| B3 ||| 0.0666652000469
A3 B3 C4 BAR ||| D4 ||| 0.266658800252
A3 B3 C4 BAR ||| <UNK> ||| 6.66645334016e-07
A3 B3 C4 BAR ||| C4 ||| 0.0666652000469
BAR F#3 E3 D3 ||| G3 ||| 0.571390818915
BAR F#3 E3 D3 ||| E3 ||| 0.285696123694
BAR F#3 E3 D3 ||| C#3 ||| 0.142848776084
BAR F#3 E3 D3 ||| <UNK> ||| 1.4284734761e-06
C4 C4 B3 ||| A3 ||| 0.666632224059
C4 C4 B3 ||| <UNK> ||| 1.11105185501e-06
C4 C4 B3 ||| G3 ||| 0.111106296553
C4 C4 B3 ||| C4 ||| 0.222211482054
B3 BAR A3 G3 ||| <UNK> ||| 4.166583335e-07
B3 BAR A3 G3 ||| F#3 ||| 0.0416662500083
B3 BAR A3 G3 ||| D3 ||| 0.0833320833583
B3 BAR A3 G3 ||| F3 ||| 0.791651250308
B3 BAR A3 G3 ||| C4 ||| 0.0833320833583
B2 G2 BAR C3 ||| F2 ||| 0.181811157331
B2 G2 BAR C3 ||| G3 ||| 0.0909060331913
B2 G2 BAR C3 ||| G2 ||| 0.0909060331913
B2 G2 BAR C3 ||| B2 ||| 0.363621405611
B2 G2 BAR C3 ||| C3 ||| 0.0909060331913
B2 G2 BAR C3 ||| D3 ||| 0.0909060331913
B2 G2 BAR C3 ||| E3 ||| 0.0909060331913
B2 G2 BAR C3 ||| <UNK> ||| 9.090512414e-07
C3 BAR G3 C3 ||| C3 ||| 0.333283341332
C3 BAR G3 C3 ||| G3 ||| 0.333283341332
C3 BAR G3 C3 ||| END ||| 0.333283341332
C3 BAR G3 C3 ||| <UNK> ||| 3.33280008532e-06
B2 C3 D3 BAR ||| G3 ||| 0.0454540082762
B2 C3 D3 BAR ||| G2 ||| 0.363628884461
B2 C3 D3 BAR ||| A2 ||| 0.0454540082762
B2 C3 D3 BAR ||| B2 ||| 0.136361115757
B2 C3 D3 BAR ||| E3 ||| 0.409082438201
B2 C3 D3 BAR ||| <UNK> ||| 4.54535537406e-07
D3 C3 D3 ||| G2 ||| 0.249986250825
D3 C3 D3 ||| E-3 ||| 0.124993750375
D3 C3 D3 ||| C3 ||| 0.124993750375
D3 C3 D3 ||| D2 ||| 0.249986250825
D3 C3 D3 ||| E3 ||| 0.249986250825
D3 C3 D3 ||| <UNK> ||| 1.2499250045e-06
E3 BAR D3 G3 ||| C3 ||| 0.799962601795
E3 BAR D3 G3 ||| A3 ||| 0.0999962001824
E3 BAR D3 G3 ||| F3 ||| 0.0999962001824
E3 BAR D3 G3 ||| <UNK> ||| 9.99952002304e-07
E3 D3 BAR E3 ||| C3 ||| 0.249986250825
E3 D3 BAR E3 ||| F3 ||| 0.374978751275
E3 D3 BAR E3 ||| F#3 ||| 0.374978751275
E3 D3 BAR E3 ||| <UNK> ||| 1.2499250045e-06
G3 A3 B3 ||| G3 ||| 0.181814669498
G3 A3 B3 ||| C#4 ||| 0.0454540082762
G3 A3 B3 ||| G#3 ||| 0.0454540082762
G3 A3 B3 ||| A3 ||| 0.0454540082762
G3 A3 B3 ||| E4 ||| 0.0454540082762
G3 A3 B3 ||| <UNK> ||| 4.54535537406e-07
G3 A3 B3 ||| C4 ||| 0.636350206905
BAR B2 C3 BAR G2 ||| C3 ||| 0.333283341332
BAR B2 C3 BAR G2 ||| C2 ||| 0.333283341332
BAR B2 C3 BAR G2 ||| A2 ||| 0.333283341332
BAR B2 C3 BAR G2 ||| <UNK> ||| 3.33280008532e-06
D3 G2 BAR R ||| C3 ||| 0.333308335333
D3 G2 BAR R ||| R ||| 0.499961669733
D3 G2 BAR R ||| A2 ||| 0.166655000933
D3 G2 BAR R ||| <UNK> ||| 1.666533344e-06
R E3 BAR F3 ||| G3 ||| 0.299986600643
R E3 BAR F3 ||| A3 ||| 0.199991400413
R E3 BAR F3 ||| G#2 ||| 0.0999962001824
R E3 BAR F3 ||| D3 ||| 0.0999962001824
R E3 BAR F3 ||| E3 ||| 0.299986600643
R E3 BAR F3 ||| <UNK> ||| 9.99952002304e-07
BAR B2 G2 C3 ||| C3 ||| 0.142848776084
BAR B2 G2 C3 ||| B-2 ||| 0.285696123694
BAR B2 G2 C3 ||| D3 ||| 0.428543471305
BAR B2 G2 C3 ||| B2 ||| 0.142848776084
BAR B2 G2 C3 ||| <UNK> ||| 1.4284734761e-06
BAR C3 ||| G3 ||| 0.0322578876198
BAR C3 ||| G2 ||| 0.064515452664
BAR C3 ||| A2 ||| 0.0322578876198
BAR C3 ||| B2 ||| 0.161288147796
BAR C3 ||| C3 ||| 0.129030582752
BAR C3 ||| <UNK> ||| 3.22575650442e-07
BAR C3 ||| D3 ||| 0.483863798238
BAR C3 ||| E3 ||| 0.064515452664
BAR C3 ||| C4 ||| 0.0322578876198
G3 F3 BAR E3 ||| F3 ||| 0.305082433228
G3 F3 BAR E3 ||| A3 ||| 0.0508472134464
G3 F3 BAR E3 ||| R ||| 0.0338981987943
G3 F3 BAR E3 ||| F#3 ||| 0.0169491841422
G3 F3 BAR E3 ||| E-3 ||| 0.0169491841422
G3 F3 BAR E3 ||| C3 ||| 0.0847452427506
G3 F3 BAR E3 ||| <UNK> ||| 1.69490146521e-07
G3 F3 BAR E3 ||| D3 ||| 0.40677652114
G3 F3 BAR E3 ||| E3 ||| 0.0338981987943
G3 F3 BAR E3 ||| A2 ||| 0.0508472134464
G3 F#3 G3 ||| <UNK> ||| 1.666533344e-06
G3 F#3 G3 ||| A3 ||| 0.333308335333
G3 F#3 G3 ||| F3 ||| 0.499961669733
G3 F#3 G3 ||| B3 ||| 0.166655000933
A3 A2 BAR D3 ||| C3 ||| 0.333308335333
A3 A2 BAR D3 ||| G#3 ||| 0.333308335333
A3 A2 BAR D3 ||| <UNK> ||| 1.666533344e-06
A3 A2 BAR D3 ||| D3 ||| 0.166655000933
A3 A2 BAR D3 ||| G2 ||| 0.166655000933
BAR C4 D4 E4 ||| F4 ||| 0.222211482054
BAR C4 D4 E4 ||| A3 ||| 0.111106296553
BAR C4 D4 E4 ||| E4 ||| 0.111106296553
BAR C4 D4 E4 ||| D4 ||| 0.444421853057
BAR C4 D4 E4 ||| C4 ||| 0.111106296553
BAR C4 D4 E4 ||| <UNK> ||| 1.11105185501e-06
E3 BAR F3 G3 ||| F3 ||| 0.130432495322
E3 BAR F3 G3 ||| G2 ||| 0.0434777882896
E3 BAR F3 G3 ||| A3 ||| 0.434773969935
E3 BAR F3 G3 ||| C3 ||| 0.130432495322
E3 BAR F3 G3 ||| A-3 ||| 0.173909848838
E3 BAR F3 G3 ||| <UNK> ||| 4.34773535161e-07
E3 BAR F3 G3 ||| D3 ||| 0.0434777882896
E3 BAR F3 G3 ||| C4 ||| 0.0434777882896
BAR B2 C3 D3 ||| C3 ||| 0.111106296553
BAR B2 C3 D3 ||| <UNK> ||| 1.11105185501e-06
BAR B2 C3 D3 ||| B2 ||| 0.111106296553
BAR B2 C3 D3 ||| E3 ||| 0.666632224059
BAR B2 C3 D3 ||| G2 ||| 0.111106296553
D3 BAR E3 F3 ||| C3 ||| 0.0333331333365
D3 BAR E3 F3 ||| F#3 ||| 0.0666659333451
D3 BAR E3 F3 ||| G3 ||| 0.899985933558
D3 BAR E3 F3 ||| <UNK> ||| 3.33328000085e-07
BAR E-3 F3 G3 ||| A-3 ||| 0.124993750375
BAR E-3 F3 G3 ||| F3 ||| 0.124993750375
BAR E-3 F3 G3 ||| A3 ||| 0.749956252625
BAR E-3 F3 G3 ||| <UNK> ||| 1.2499250045e-06
E3 D3 C3 BAR ||| F3 ||| 0.39999393343
E3 D3 C3 BAR ||| G3 ||| 0.233329933388
E3 D3 C3 BAR ||| G2 ||| 0.0999987333536
E3 D3 C3 BAR ||| B2 ||| 0.233329933388
E3 D3 C3 BAR ||| D3 ||| 0.0333331333365
E3 D3 C3 BAR ||| <UNK> ||| 3.33328000085e-07
E3 D3 BAR G3 ||| A3 ||| 0.166655000933
E3 D3 BAR G3 ||| F3 ||| 0.666615004133
E3 D3 BAR G3 ||| G2 ||| 0.166655000933
E3 D3 BAR G3 ||| <UNK> ||| 1.666533344e-06
BAR C4 B3 ||| C#4 ||| 0.124993750375
BAR C4 B3 ||| A3 ||| 0.499971251725
BAR C4 B3 ||| <UNK> ||| 1.2499250045e-06
BAR C4 B3 ||| C4 ||| 0.374978751275
C3 BAR G2 C3 ||| C3 ||| 0.333308335333
C3 BAR G2 C3 ||| F2 ||| 0.166655000933
C3 BAR G2 C3 ||| R ||| 0.333308335333
C3 BAR G2 C3 ||| B2 ||| 0.166655000933
C3 BAR G2 C3 ||| <UNK> ||| 1.666533344e-06
A3 G3 A3 ||| <UNK> ||| 8.33300001333e-07
A3 G3 A3 ||| F3 ||| 0.2499908337
A3 G3 A3 ||| G3 ||| 0.0833308334333
A3 G3 A3 ||| E3 ||| 0.166660833567
A3 G3 A3 ||| B3 ||| 0.4999808341
C4 B3 C4 ||| C#4 ||| 0.2499725033
C4 B3 C4 ||| D4 ||| 0.2499725033
C4 B3 C4 ||| <UNK> ||| 2.499700036e-06
C4 B3 C4 ||| A3 ||| 0.2499725033
C4 B3 C4 ||| B3 ||| 0.2499725033
G3 A3 BAR B-3 ||| A3 ||| 0.124993750375
G3 A3 BAR B-3 ||| G3 ||| 0.124993750375
G3 A3 BAR B-3 ||| E3 ||| 0.749956252625
G3 A3 BAR B-3 ||| <UNK> ||| 1.2499250045e-06
D3 E3 C3 ||| <UNK> ||| 6.66645334016e-07
D3 E3 C3 ||| F3 ||| 0.799975067465
D3 E3 C3 ||| G3 ||| 0.0666652000469
D3 E3 C3 ||| G2 ||| 0.0666652000469
D3 E3 C3 ||| D3 ||| 0.0666652000469
D3 G3 C3 ||| F3 ||| 0.199982801651
D3 G3 C3 ||| END ||| 0.199982801651
D3 G3 C3 ||| D3 ||| 0.399963603494
D3 G3 C3 ||| E3 ||| 0.199982801651
D3 G3 C3 ||| <UNK> ||| 1.99980801843e-06
A3 G3 F3 BAR ||| F3 ||| 0.0952363945967
A3 G3 F3 BAR ||| G3 ||| 0.285708231431
A3 G3 F3 BAR ||| B-3 ||| 0.0952363945967
A3 G3 F3 BAR ||| C4 ||| 0.0476184353881
A3 G3 F3 BAR ||| E3 ||| 0.476180068265
A3 G3 F3 BAR ||| <UNK> ||| 4.76179592086e-07
BAR D3 E3 F3 ||| F#3 ||| 0.0222222074076
BAR D3 E3 F3 ||| G3 ||| 0.77776970379
BAR D3 E3 F3 ||| B-3 ||| 0.0222222074076
BAR D3 E3 F3 ||| A3 ||| 0.0444441925953
BAR D3 E3 F3 ||| G#2 ||| 0.0222222074076
BAR D3 E3 F3 ||| D3 ||| 0.0444441925953
BAR D3 E3 F3 ||| E3 ||| 0.066666177783
BAR D3 E3 F3 ||| <UNK> ||| 2.22219851877e-07
E2 F2 G2 ||| F2 ||| 0.0833308334333
E2 F2 G2 ||| G3 ||| 0.0833308334333
E2 F2 G2 ||| G#2 ||| 0.416650833967
E2 F2 G2 ||| E2 ||| 0.166660833567
E2 F2 G2 ||| A2 ||| 0.2499908337
E2 F2 G2 ||| <UNK> ||| 8.33300001333e-07
B3 G3 C4 BAR ||| <UNK> ||| 2.499700036e-06
B3 G3 C4 BAR ||| F3 ||| 0.499942506899
B3 G3 C4 BAR ||| E3 ||| 0.2499725033
B3 G3 C4 BAR ||| C4 ||| 0.2499725033
BAR C3 B2 A2 ||| F2 ||| 0.0454540082762
BAR C3 B2 A2 ||| G2 ||| 0.409082438201
BAR C3 B2 A2 ||| A3 ||| 0.0454540082762
BAR C3 B2 A2 ||| B2 ||| 0.31817533072
BAR C3 B2 A2 ||| C3 ||| 0.0454540082762
BAR C3 B2 A2 ||| D3 ||| 0.0454540082762
