C4,C4 ||| C3 ||| 0.000536768652711
B-4 ||| E-3 ||| 0.141975308642
B-4 ||| C3 ||| 0.00858829844337
B-4 ||| F4 ||| 0.0350877192982
B-4 ||| A-3 ||| 0.0210526315789
B-4 ||| D4 ||| 0.0104895104895
B-4 ||| E3 ||| 0.0287081339713
B-4 ||| C4 ||| 0.0139634801289
E5 ||| F3 ||| 0.00067521944632
E5 ||| G3 ||| 0.00196463654224
E5 ||| C#4 ||| 0.216216216216
E5 ||| A3 ||| 0.0198618307427
E5 ||| C#3 ||| 0.0425531914894
E5 ||| B-3 ||| 0.0268817204301
E5 ||| G#3 ||| 0.00884955752212
E5 ||| B3 ||| 0.0142602495544
E5 ||| C3 ||| 0.00268384326355
E5 ||| E4 ||| 0.0763358778626
E5 ||| D4 ||| 0.020979020979
E5 ||| D3 ||| 0.00203527815468
E5 ||| E3 ||| 0.00341763499658
E5 ||| C4 ||| 0.0418904403867
E4 ||| G#3 ||| 0.221238938053
E4 ||| G#2 ||| 0.255319148936
E4 ||| F#2 ||| 0.0606060606061
E4 ||| F#3 ||| 0.0888030888031
E4 ||| G3 ||| 0.0525540275049
E4 ||| G2 ||| 0.034188034188
E4 ||| B-2 ||| 0.0360824742268
E4 ||| B-3 ||| 0.0698924731183
E4 ||| A3 ||| 0.137305699482
E4 ||| A2 ||| 0.214618973561
E4 ||| E#2 ||| 0.125
E4 ||| C3 ||| 0.231347289318
E4 ||| E4 ||| 0.030534351145
E4 ||| A-3 ||| 0.0105263157895
E4 ||| A-2 ||| 0.0153846153846
E4 ||| D#3 ||| 0.0714285714286
E4 ||| E3 ||| 0.122351332878
E4 ||| C4 ||| 0.0386680988185
E4 ||| C#4 ||| 0.0810810810811
E4 ||| C#3 ||| 0.553191489362
E4 ||| D-4 ||| 0.166666666667
E4 ||| C2 ||| 0.144329896907
E4 ||| B#2 ||| 0.0833333333333
E4 ||| F2 ||| 0.0218181818182
E4 ||| F3 ||| 0.0202565833896
E4 ||| B2 ||| 0.0548672566372
E4 ||| B3 ||| 0.0213903743316
E4 ||| D4 ||| 0.013986013986
E4 ||| E2 ||| 0.119402985075
E4 ||| D2 ||| 0.02
E4 ||| D3 ||| 0.0651289009498
D#4 ||| F#3 ||| 0.00772200772201
D#4 ||| B#2 ||| 0.583333333333
D#4 ||| G2 ||| 0.00610500610501
D#4 ||| D2 ||| 0.01
D#4 ||| D3 ||| 0.00067842605156
D#4 ||| D#3 ||| 0.0952380952381
D#4 ||| A#2 ||| 0.125
D#4 ||| G#2 ||| 0.0851063829787
D#4 ||| E#2 ||| 0.25
D#4 ||| B2 ||| 0.00884955752212
D#4 ||| D#2 ||| 0.1875
D#4 ||| A2 ||| 0.00466562986003
D#4 ||| E3 ||| 0.000683526999316
A-4 ||| F3 ||| 0.0290344361918
A-4 ||| G3 ||| 0.00540275049116
A-4 ||| B-2 ||| 0.0309278350515
A-4 ||| B-3 ||| 0.0537634408602
A-4 ||| D-3 ||| 0.428571428571
A-4 ||| D-4 ||| 0.166666666667
A-4 ||| E-3 ||| 0.0864197530864
A-4 ||| B3 ||| 0.0017825311943
A-4 ||| C3 ||| 0.00751476113795
A-4 ||| A-3 ||| 0.157894736842
A-4 ||| A-2 ||| 0.107692307692
A-4 ||| D3 ||| 0.00474898236092
A-4 ||| E3 ||| 0.00478468899522
A-4 ||| C4 ||| 0.00107411385607
C5 ||| G4 ||| 0.235294117647
C5 ||| G3 ||| 0.073673870334
C5 ||| G2 ||| 0.002442002442
C5 ||| D4 ||| 0.15034965035
C5 ||| F4 ||| 0.245614035088
C5 ||| F3 ||| 0.146522619851
C5 ||| D3 ||| 0.055630936228
C5 ||| B-3 ||| 0.123655913978
C5 ||| A3 ||| 0.22884283247
C5 ||| F#3 ||| 0.0694980694981
C5 ||| B3 ||| 0.096256684492
C5 ||| C3 ||| 0.0842726784756
C5 ||| E4 ||| 0.251908396947
C5 ||| A-3 ||| 0.0421052631579
C5 ||| A2 ||| 0.00466562986003
C5 ||| E3 ||| 0.128503075871
C5 ||| C4 ||| 0.293233082707
C4 ||| F#2 ||| 0.272727272727
C4 ||| F#3 ||| 0.019305019305
C4 ||| G3 ||| 0.0284872298625
C4 ||| G2 ||| 0.145299145299
C4 ||| B-2 ||| 0.0876288659794
C4 ||| A3 ||| 0.0379965457686
C4 ||| A2 ||| 0.343701399689
C4 ||| C3 ||| 0.177133655395
C4 ||| C2 ||| 0.268041237113
C4 ||| A-3 ||| 0.0631578947368
C4 ||| A-2 ||| 0.261538461538
C4 ||| D#2 ||| 0.125
C4 ||| E3 ||| 0.114149008886
C4 ||| C4 ||| 0.00537056928034
C4 ||| R ||| 0.00677966101695
C4 ||| E-3 ||| 0.0308641975309
C4 ||| E-2 ||| 0.037037037037
C4 ||| F2 ||| 0.498181818182
C4 ||| F3 ||| 0.106684672519
C4 ||| F4 ||| 0.0175438596491
C4 ||| B2 ||| 0.0920353982301
C4 ||| B3 ||| 0.00356506238859
C4 ||| E2 ||| 0.432835820896
C4 ||| D2 ||| 0.26
C4 ||| D3 ||| 0.0766621438263
C#5 ||| F3 ||| 0.00202565833896
C#5 ||| F4 ||| 0.0175438596491
C#5 ||| B-3 ||| 0.00537634408602
C#5 ||| A3 ||| 0.0172711571675
C#5 ||| E4 ||| 0.0534351145038
C#5 ||| D4 ||| 0.0104895104895
C#5 ||| E3 ||| 0.00956937799043
C#4 ||| F#3 ||| 0.003861003861
C#4 ||| G3 ||| 0.00442043222004
C#4 ||| F3 ||| 0.00135043889264
C#4 ||| A3 ||| 0.00604490500864
C#4 ||| A2 ||| 0.045101088647
C#4 ||| B2 ||| 0.00176991150442
C#4 ||| D#2 ||| 0.0625
C#4 ||| E3 ||| 0.0102529049897
C#4 ||| E2 ||| 0.0223880597015
A#3 ||| A#2 ||| 0.0625
A#3 ||| D#2 ||| 0.25
A#3 ||| G2 ||| 0.001221001221
A#3 ||| D#3 ||| 0.0714285714286
E-4 ||| F#2 ||| 0.030303030303
E-4 ||| F#3 ||| 0.00772200772201
E-4 ||| G3 ||| 0.0103143418468
E-4 ||| G2 ||| 0.019536019536
E-4 ||| F3 ||| 0.016880486158
E-4 ||| F2 ||| 0.0327272727273
E-4 ||| D-3 ||| 0.214285714286
E-4 ||| B-2 ||| 0.0824742268041
E-4 ||| B-3 ||| 0.00537634408602
E-4 ||| A2 ||| 0.00311041990669
E-4 ||| E-3 ||| 0.222222222222
E-4 ||| E-2 ||| 0.407407407407
E-4 ||| C3 ||| 0.0118089103596
E-4 ||| B2 ||| 0.00176991150442
E-4 ||| A-3 ||| 0.273684210526
E-4 ||| A-2 ||| 0.276923076923
E-4 ||| D3 ||| 0.00271370420624
E-4 ||| C4 ||| 0.00214822771214
F#3 ||| A2 ||| 0.00466562986003
F#3 ||| D2 ||| 0.01
F#3 ||| D3 ||| 0.00067842605156
D-4 ||| B-2 ||| 0.00515463917526
D-4 ||| C3 ||| 0.000536768652711
D-4 ||| E-3 ||| 0.00617283950617
D-4 ||| E3 ||| 0.000683526999316
F#4 ||| F#3 ||| 0.015444015444
F#4 ||| G3 ||| 0.00392927308448
F#4 ||| G2 ||| 0.001221001221
F#4 ||| D2 ||| 0.08
F#4 ||| C#3 ||| 0.031914893617
F#4 ||| D3 ||| 0.106512890095
F#4 ||| B-2 ||| 0.00515463917526
F#4 ||| B-3 ||| 0.00537634408602
F#4 ||| A3 ||| 0.0319516407599
F#4 ||| A2 ||| 0.0466562986003
F#4 ||| B2 ||| 0.0159292035398
F#4 ||| B3 ||| 0.00534759358289
F#4 ||| C3 ||| 0.0112721417069
F#4 ||| C2 ||| 0.0103092783505
F#4 ||| D4 ||| 0.0664335664336
F#4 ||| D#2 ||| 0.125
F#4 ||| D#3 ||| 0.404761904762
F#4 ||| E3 ||| 0.0102529049897
F#4 ||| C4 ||| 0.0139634801289
A-3 ||| F2 ||| 0.00363636363636
A-3 ||| B-2 ||| 0.0103092783505
A-3 ||| B2 ||| 0.00353982300885
A-3 ||| C3 ||| 0.000536768652711
A-3 ||| A-2 ||| 0.0307692307692
A-3 ||| D2 ||| 0.01
B#3 ||| D3 ||| 0.00135685210312
B#3 ||| A#2 ||| 0.0625
B#3 ||| G#2 ||| 0.063829787234
B#3 ||| E#2 ||| 0.25
B#3 ||| D#2 ||| 0.0625
B#3 ||| D#3 ||| 0.0952380952381
B#3 ||| B#2 ||| 0.166666666667
E-5 ||| F3 ||| 0.00135043889264
E-5 ||| B-3 ||| 0.0161290322581
E-5 ||| A3 ||| 0.000863557858377
E-5 ||| E-3 ||| 0.00617283950617
E-5 ||| A-3 ||| 0.0105263157895
E-5 ||| C4 ||| 0.00214822771214
F3 ||| B-2 ||| 0.00515463917526
F3 ||| F2 ||| 0.0109090909091
F3 ||| D2 ||| 0.03
F3 ||| G2 ||| 0.002442002442
F3 ||| D3 ||| 0.00135685210312
F4 ||| G#3 ||| 0.0530973451327
F4 ||| G#2 ||| 0.063829787234
F4 ||| G3 ||| 0.0609037328094
F4 ||| G2 ||| 0.046398046398
F4 ||| B-2 ||| 0.216494845361
F4 ||| B-3 ||| 0.129032258065
F4 ||| A3 ||| 0.059585492228
F4 ||| A2 ||| 0.054432348367
F4 ||| C3 ||| 0.0316693505099
F4 ||| E4 ||| 0.00763358778626
F4 ||| A-3 ||| 0.242105263158
F4 ||| A-2 ||| 0.0461538461538
F4 ||| E3 ||| 0.0348598769651
F4 ||| C4 ||| 0.0139634801289
F4 ||| C#4 ||| 0.027027027027
F4 ||| D-3 ||| 0.357142857143
F4 ||| D-4 ||| 0.333333333333
F4 ||| E-3 ||| 0.0864197530864
F4 ||| C2 ||| 0.0103092783505
F4 ||| F2 ||| 0.0618181818182
F4 ||| F3 ||| 0.120189061445
F4 ||| B2 ||| 0.0725663716814
F4 ||| B3 ||| 0.0231729055258
F4 ||| D4 ||| 0.0454545454545
F4 ||| D2 ||| 0.03
F4 ||| D3 ||| 0.161465400271
F5 ||| A3 ||| 0.00345423143351
F5 ||| F3 ||| 0.00405131667792
F5 ||| F4 ||| 0.0350877192982
F5 ||| D4 ||| 0.00699300699301
B4 ||| G4 ||| 0.205882352941
B4 ||| G3 ||| 0.240667976424
B4 ||| G2 ||| 0.014652014652
B4 ||| F4 ||| 0.140350877193
B4 ||| F3 ||| 0.0445644834571
B4 ||| A3 ||| 0.0509499136442
B4 ||| D3 ||| 0.0739484396201
B4 ||| G#3 ||| 0.628318584071
B4 ||| G#2 ||| 0.063829787234
B4 ||| F#3 ||| 0.015444015444
B4 ||| B3 ||| 0.0730837789661
B4 ||| C3 ||| 0.00375738056897
B4 ||| E4 ||| 0.229007633588
B4 ||| A-3 ||| 0.0105263157895
B4 ||| D4 ||| 0.129370629371
B4 ||| E3 ||| 0.0403280929597
B4 ||| C4 ||| 0.0204081632653
R ||| C3 ||| 0.000536768652711
R ||| R ||| 0.976271186441
E3 ||| C2 ||| 0.020618556701
E3 ||| A2 ||| 0.00466562986003
E3 ||| G2 ||| 0.001221001221
B3 ||| F#2 ||| 0.030303030303
B3 ||| F#3 ||| 0.003861003861
B3 ||| G3 ||| 0.0338899803536
B3 ||| G2 ||| 0.30525030525
B3 ||| D2 ||| 0.18
B3 ||| D3 ||| 0.0352781546811
B3 ||| F3 ||| 0.0175557056043
B3 ||| F2 ||| 0.0836363636364
B3 ||| C#3 ||| 0.0212765957447
B3 ||| D#3 ||| 0.119047619048
B3 ||| A3 ||| 0.00518134715026
B3 ||| G#2 ||| 0.255319148936
B3 ||| B2 ||| 0.0212389380531
B3 ||| C3 ||| 0.00751476113795
B3 ||| R ||| 0.00338983050847
B3 ||| D#2 ||| 0.125
B3 ||| A2 ||| 0.0435458786936
B3 ||| E3 ||| 0.0416951469583
B3 ||| E2 ||| 0.126865671642
D4 ||| G#3 ||| 0.0442477876106
D4 ||| G#2 ||| 0.191489361702
D4 ||| F#2 ||| 0.393939393939
D4 ||| F#3 ||| 0.281853281853
D4 ||| G3 ||| 0.0987229862475
D4 ||| G2 ||| 0.255189255189
D4 ||| B-2 ||| 0.283505154639
D4 ||| B-3 ||| 0.0806451612903
D4 ||| A3 ||| 0.0120898100173
D4 ||| A2 ||| 0.0699844479005
D4 ||| E#2 ||| 0.125
D4 ||| C3 ||| 0.0713902308105
D4 ||| C2 ||| 0.0103092783505
D4 ||| A-3 ||| 0.0631578947368
D4 ||| A-2 ||| 0.2
D4 ||| D#2 ||| 0.0625
D4 ||| D#3 ||| 0.0714285714286
D4 ||| E3 ||| 0.0403280929597
D4 ||| C4 ||| 0.00429645542427
D4 ||| E4 ||| 0.0152671755725
D4 ||| C#3 ||| 0.0212765957447
D4 ||| A#2 ||| 0.6875
D4 ||| R ||| 0.00338983050847
D4 ||| E-2 ||| 0.037037037037
D4 ||| B#2 ||| 0.166666666667
D4 ||| F2 ||| 0.0872727272727
D4 ||| F3 ||| 0.08440243079
D4 ||| F4 ||| 0.0350877192982
D4 ||| B2 ||| 0.447787610619
D4 ||| B3 ||| 0.0249554367201
D4 ||| D4 ||| 0.0174825174825
D4 ||| E2 ||| 0.0820895522388
D4 ||| D2 ||| 0.24
D4 ||| D3 ||| 0.146540027137
D5 ||| G4 ||| 0.264705882353
D5 ||| G3 ||| 0.0162082514735
D5 ||| F4 ||| 0.122807017544
D5 ||| D3 ||| 0.0244233378562
D5 ||| F3 ||| 0.0128291694801
D5 ||| A3 ||| 0.0120898100173
D5 ||| R ||| 0.00338983050847
D5 ||| B-3 ||| 0.0806451612903
D5 ||| G#3 ||| 0.0442477876106
D5 ||| F#3 ||| 0.011583011583
D5 ||| B2 ||| 0.0176991150442
D5 ||| B3 ||| 0.217468805704
D5 ||| C3 ||| 0.00644122383253
D5 ||| E4 ||| 0.030534351145
D5 ||| A-3 ||| 0.0105263157895
D5 ||| D4 ||| 0.153846153846
D5 ||| E3 ||| 0.00751879699248
D5 ||| C4 ||| 0.0547798066595
D3 ||| F2 ||| 0.00727272727273
D3 ||| G2 ||| 0.003663003663
