E-2 ||| B-3 ||| 0.0298913043478
E4 ||| G4 ||| 0.0404777704048
E4 ||| F4 ||| 0.0084835630965
E4 ||| D5 ||| 0.25
E4 ||| B4 ||| 0.0869565217391
E4 ||| A3 ||| 0.000831946755408
E4 ||| G#4 ||| 0.1
E4 ||| B-4 ||| 0.030303030303
E4 ||| B3 ||| 0.00242326332795
E4 ||| E4 ||| 0.0174731182796
E4 ||| D4 ||| 0.00166852057842
E4 ||| C4 ||| 0.00546218487395
E4 ||| C5 ||| 0.1
E4 ||| A4 ||| 0.00471698113208
A-3 ||| G4 ||| 0.00199071001991
A-3 ||| F4 ||| 0.0127253446448
A-3 ||| E-4 ||| 0.0443349753695
A-3 ||| D4 ||| 0.0027808676307
A-3 ||| B-3 ||| 0.0163043478261
A-3 ||| D-4 ||| 0.193548387097
A-3 ||| B3 ||| 0.000807754442649
A-3 ||| A-3 ||| 0.0833333333333
A-3 ||| A-4 ||| 0.0666666666667
A-3 ||| C5 ||| 0.025
A-3 ||| C4 ||| 0.013025210084
A-2 ||| F3 ||| 0.0103986135182
A-2 ||| G3 ||| 0.00261917234154
A-2 ||| E-4 ||| 0.0344827586207
A-2 ||| B-3 ||| 0.0298913043478
A-2 ||| D-4 ||| 0.0322580645161
A-2 ||| E-3 ||| 0.145454545455
A-2 ||| C3 ||| 0.0350877192982
A-2 ||| A-3 ||| 0.111111111111
A-2 ||| C4 ||| 0.00420168067227
D#2 ||| A#3 ||| 0.111111111111
D#2 ||| G#3 ||| 0.0151515151515
D#2 ||| F#3 ||| 0.014598540146
D#2 ||| G3 ||| 0.00261917234154
D#2 ||| C4 ||| 0.000420168067227
D#3 ||| F#3 ||| 0.0656934306569
D#3 ||| G3 ||| 0.00314300680985
D#3 ||| A3 ||| 0.00415973377704
D#3 ||| A#3 ||| 0.111111111111
D#3 ||| G#3 ||| 0.0454545454545
D#3 ||| E#3 ||| 0.0769230769231
D#3 ||| A4 ||| 0.00235849056604
D#3 ||| B3 ||| 0.0064620355412
D#3 ||| F#4 ||| 0.0421052631579
D#3 ||| D#3 ||| 0.166666666667
D#3 ||| E3 ||| 0.00342465753425
D#3 ||| C4 ||| 0.000840336134454
E3 ||| F4 ||| 0.0381760339343
E3 ||| F#4 ||| 0.0315789473684
E3 ||| G4 ||| 0.135368281354
E3 ||| G3 ||| 0.158721843897
E3 ||| C#4 ||| 0.16
E3 ||| F3 ||| 0.0190641247834
E3 ||| A3 ||| 0.0524126455907
E3 ||| C5 ||| 0.125
E3 ||| B4 ||| 0.0434782608696
E3 ||| B-3 ||| 0.0733695652174
E3 ||| G#3 ||| 0.378787878788
E3 ||| F#3 ||| 0.043795620438
E3 ||| G#4 ||| 0.2
E3 ||| B3 ||| 0.117124394184
E3 ||| C3 ||| 0.0175438596491
E3 ||| E4 ||| 0.114247311828
E3 ||| D4 ||| 0.0472747497219
E3 ||| C4 ||| 0.144957983193
E3 ||| E3 ||| 0.0205479452055
E3 ||| A4 ||| 0.00943396226415
E2 ||| F#3 ||| 0.00729927007299
E2 ||| G3 ||| 0.0392875851231
E2 ||| A3 ||| 0.000831946755408
E2 ||| B-3 ||| 0.0135869565217
E2 ||| G#3 ||| 0.0909090909091
E2 ||| F3 ||| 0.0121317157712
E2 ||| B2 ||| 0.25
E2 ||| B3 ||| 0.00565428109855
E2 ||| C3 ||| 0.0526315789474
E2 ||| E4 ||| 0.00336021505376
E2 ||| D4 ||| 0.00055617352614
E2 ||| D3 ||| 0.00357142857143
E2 ||| E3 ||| 0.0171232876712
E2 ||| C4 ||| 0.00252100840336
C#4 ||| G4 ||| 0.00132714001327
C#4 ||| G3 ||| 0.000523834468308
C#4 ||| F4 ||| 0.00106044538706
C#4 ||| A3 ||| 0.00249584026622
C#4 ||| A4 ||| 0.0188679245283
C#4 ||| B-4 ||| 0.0606060606061
C#4 ||| E4 ||| 0.0134408602151
C#3 ||| G4 ||| 0.000663570006636
C#3 ||| G3 ||| 0.0062860136197
C#3 ||| A3 ||| 0.026622296173
C#3 ||| A#3 ||| 0.037037037037
C#3 ||| B-3 ||| 0.0298913043478
C#3 ||| G#3 ||| 0.030303030303
C#3 ||| F#3 ||| 0.014598540146
C#3 ||| A4 ||| 0.00707547169811
C#3 ||| B3 ||| 0.000807754442649
C#3 ||| E4 ||| 0.0114247311828
C#3 ||| D4 ||| 0.00111234705228
C#3 ||| E3 ||| 0.0256849315068
A#2 ||| G3 ||| 0.00157150340492
A#2 ||| C#4 ||| 0.0133333333333
A#2 ||| A#3 ||| 0.333333333333
A#2 ||| G#3 ||| 0.0454545454545
A#2 ||| E#3 ||| 0.153846153846
A#2 ||| D4 ||| 0.00055617352614
A#2 ||| B#3 ||| 0.111111111111
R ||| C#4 ||| 0.0133333333333
R ||| A3 ||| 0.000831946755408
R ||| G4 ||| 0.000663570006636
R ||| G3 ||| 0.000523834468308
R ||| R ||| 0.993127147766
D-4 ||| G4 ||| 0.00132714001327
D-4 ||| F4 ||| 0.00212089077413
D-4 ||| A-4 ||| 0.133333333333
E-3 ||| G4 ||| 0.00995355009954
E-3 ||| G3 ||| 0.0104766893662
E-3 ||| E-3 ||| 0.0727272727273
E-3 ||| E-4 ||| 0.142857142857
E-3 ||| B-3 ||| 0.133152173913
E-3 ||| A3 ||| 0.00582362728785
E-3 ||| F3 ||| 0.00173310225303
E-3 ||| D-4 ||| 0.0322580645161
E-3 ||| B-4 ||| 0.030303030303
E-3 ||| F4 ||| 0.00742311770944
E-3 ||| A-3 ||| 0.0277777777778
E-3 ||| D4 ||| 0.00055617352614
E-3 ||| C4 ||| 0.00378151260504
C2 ||| F3 ||| 0.00346620450607
C2 ||| G3 ||| 0.0151911995809
C2 ||| E-4 ||| 0.00492610837438
C2 ||| A3 ||| 0.000831946755408
C2 ||| E-3 ||| 0.0363636363636
C2 ||| C3 ||| 0.0701754385965
C2 ||| E3 ||| 0.109589041096
C2 ||| C4 ||| 0.000840336134454
F#4 ||| D4 ||| 0.00111234705228
F#4 ||| A4 ||| 0.00235849056604
D#4 ||| F#4 ||| 0.0105263157895
D#4 ||| A4 ||| 0.00235849056604
B#2 ||| G3 ||| 0.000523834468308
B#2 ||| A#3 ||| 0.111111111111
B#2 ||| G#3 ||| 0.0151515151515
B#2 ||| E#3 ||| 0.307692307692
B#2 ||| D#3 ||| 0.666666666667
B#2 ||| B#3 ||| 0.222222222222
B-1 ||| A-3 ||| 0.0138888888889
F2 ||| F3 ||| 0.0779896013865
F2 ||| G3 ||| 0.0267155578837
F2 ||| B2 ||| 0.125
F2 ||| F4 ||| 0.00954400848356
F2 ||| A3 ||| 0.0707154742097
F2 ||| D3 ||| 0.0571428571429
F2 ||| B-3 ||| 0.0244565217391
F2 ||| G#3 ||| 0.0151515151515
F2 ||| R ||| 0.00343642611684
F2 ||| E-3 ||| 0.0181818181818
F2 ||| B3 ||| 0.00403877221325
F2 ||| C3 ||| 0.0614035087719
F2 ||| E4 ||| 0.00134408602151
F2 ||| A-3 ||| 0.125
F2 ||| D4 ||| 0.00222469410456
F2 ||| E3 ||| 0.0376712328767
F2 ||| C4 ||| 0.00840336134454
F3 ||| G4 ||| 0.0749834107498
F3 ||| G3 ||| 0.0330015715034
F3 ||| B-3 ||| 0.0597826086957
F3 ||| A3 ||| 0.182196339434
F3 ||| A4 ||| 0.242924528302
F3 ||| B-4 ||| 0.030303030303
F3 ||| C3 ||| 0.0350877192982
F3 ||| E4 ||| 0.0309139784946
F3 ||| A-3 ||| 0.208333333333
F3 ||| A-4 ||| 0.333333333333
F3 ||| C5 ||| 0.15
F3 ||| C4 ||| 0.139075630252
F3 ||| C#4 ||| 0.0133333333333
F3 ||| E-4 ||| 0.177339901478
F3 ||| D-4 ||| 0.129032258065
F3 ||| E-3 ||| 0.0181818181818
F3 ||| F3 ||| 0.0710571923744
F3 ||| F4 ||| 0.211028632025
F3 ||| B4 ||| 0.0434782608696
F3 ||| B3 ||| 0.0961227786753
F3 ||| D4 ||| 0.0734149054505
F3 ||| D3 ||| 0.00357142857143
F4 ||| G4 ||| 0.00995355009954
F4 ||| F4 ||| 0.0159066808059
F4 ||| B4 ||| 0.0434782608696
F4 ||| A4 ||| 0.0117924528302
F4 ||| B3 ||| 0.0016155088853
F4 ||| E4 ||| 0.00201612903226
F4 ||| D5 ||| 0.25
F4 ||| C5 ||| 0.125
F4 ||| C4 ||| 0.00168067226891
E-4 ||| E-4 ||| 0.00492610837438
E-4 ||| D4 ||| 0.00055617352614
E-4 ||| G4 ||| 0.000663570006636
E-4 ||| F4 ||| 0.00106044538706
D-3 ||| B-3 ||| 0.0054347826087
D-3 ||| A-3 ||| 0.0277777777778
D-3 ||| D-4 ||| 0.0967741935484
D-3 ||| E-4 ||| 0.0295566502463
D-3 ||| C4 ||| 0.000420168067227
F#3 ||| F#4 ||| 0.0105263157895
F#3 ||| G4 ||| 0.00199071001991
F#3 ||| G3 ||| 0.00523834468308
F#3 ||| C#4 ||| 0.0266666666667
F#3 ||| A#3 ||| 0.037037037037
F#3 ||| E-4 ||| 0.0295566502463
F#3 ||| A3 ||| 0.0715474209651
F#3 ||| F#3 ||| 0.014598540146
F#3 ||| A4 ||| 0.0306603773585
F#3 ||| E-3 ||| 0.0181818181818
F#3 ||| B3 ||| 0.0169628432956
F#3 ||| E4 ||| 0.00604838709677
F#3 ||| D#4 ||| 0.25
F#3 ||| D4 ||| 0.0433815350389
F#3 ||| C4 ||| 0.0180672268908
B2 ||| F4 ||| 0.0116648992577
B2 ||| G4 ||| 0.00398142003981
B2 ||| G3 ||| 0.112624410686
B2 ||| C#4 ||| 0.0133333333333
B2 ||| F3 ||| 0.0398613518198
B2 ||| A3 ||| 0.0324459234609
B2 ||| D3 ||| 0.292857142857
B2 ||| G#3 ||| 0.136363636364
B2 ||| F#3 ||| 0.036496350365
B2 ||| E-3 ||| 0.0363636363636
B2 ||| B3 ||| 0.0218093699515
B2 ||| C3 ||| 0.0438596491228
B2 ||| E4 ||| 0.00537634408602
B2 ||| D#4 ||| 0.5
B2 ||| D4 ||| 0.0572858731924
B2 ||| E3 ||| 0.0513698630137
B2 ||| C4 ||| 0.00924369747899
B3 ||| G4 ||| 0.105507631055
B3 ||| G3 ||| 0.00419067574646
B3 ||| F4 ||| 0.0243902439024
B3 ||| B4 ||| 0.0217391304348
B3 ||| D4 ||| 0.13681868743
B3 ||| A3 ||| 0.000831946755408
B3 ||| F#4 ||| 0.0631578947368
B3 ||| G#4 ||| 0.2
B3 ||| B3 ||| 0.0032310177706
B3 ||| E4 ||| 0.0221774193548
B3 ||| D#4 ||| 0.25
B3 ||| C4 ||| 0.018487394958
B3 ||| A-4 ||| 0.0666666666667
B3 ||| C5 ||| 0.025
B3 ||| A4 ||| 0.0448113207547
A4 ||| A4 ||| 0.00235849056604
D4 ||| F4 ||| 0.0689289501591
D4 ||| G4 ||| 0.0126078301261
D4 ||| G3 ||| 0.000523834468308
D4 ||| C#4 ||| 0.0133333333333
D4 ||| D5 ||| 0.5
D4 ||| B4 ||| 0.0869565217391
D4 ||| A3 ||| 0.00499168053245
D4 ||| F#4 ||| 0.263157894737
D4 ||| G#4 ||| 0.2
D4 ||| B-4 ||| 0.0606060606061
D4 ||| B3 ||| 0.00565428109855
D4 ||| E4 ||| 0.0141129032258
D4 ||| D4 ||| 0.035595105673
D4 ||| C4 ||| 0.00798319327731
D4 ||| C5 ||| 0.075
D4 ||| A4 ||| 0.0683962264151
C4 ||| G4 ||| 0.157929661579
C4 ||| G3 ||| 0.00314300680985
C4 ||| E-4 ||| 0.0591133004926
C4 ||| F4 ||| 0.0530222693531
C4 ||| F3 ||| 0.00173310225303
C4 ||| B4 ||| 0.0217391304348
C4 ||| B-3 ||| 0.00271739130435
C4 ||| A3 ||| 0.00249584026622
C4 ||| F#4 ||| 0.231578947368
C4 ||| A4 ||| 0.0778301886792
C4 ||| B-4 ||| 0.242424242424
C4 ||| B3 ||| 0.00969305331179
C4 ||| E4 ||| 0.194892473118
C4 ||| D4 ||| 0.0400444938821
C4 ||| C5 ||| 0.275
C4 ||| C4 ||| 0.0785714285714
D2 ||| F#3 ||| 0.109489051095
D2 ||| G3 ||| 0.00576217915139
D2 ||| A3 ||| 0.0133111480865
D2 ||| A#3 ||| 0.037037037037
D2 ||| G#3 ||| 0.0151515151515
D2 ||| F3 ||| 0.050259965338
D2 ||| B3 ||| 0.00242326332795
D2 ||| C3 ||| 0.00877192982456
D2 ||| D4 ||| 0.00333704115684
D2 ||| D3 ||| 0.0142857142857
D2 ||| E3 ||| 0.00342465753425
D2 ||| C4 ||| 0.00336134453782
D3 ||| G#3 ||| 0.0606060606061
D3 ||| G#4 ||| 0.1
D3 ||| G4 ||| 0.0265428002654
D3 ||| F#4 ||| 0.136842105263
D3 ||| B-3 ||| 0.0923913043478
D3 ||| A3 ||| 0.186356073211
D3 ||| E#3 ||| 0.461538461538
D3 ||| A4 ||| 0.0731132075472
D3 ||| C3 ||| 0.00877192982456
D3 ||| E4 ||| 0.0215053763441
D3 ||| A-3 ||| 0.0833333333333
D3 ||| E3 ||| 0.0205479452055
D3 ||| C4 ||| 0.081512605042
D3 ||| E-4 ||| 0.0394088669951
D3 ||| F#3 ||| 0.481751824818
D3 ||| G3 ||| 0.0565741225773
D3 ||| F3 ||| 0.2287694974
D3 ||| F4 ||| 0.168610816543
D3 ||| B4 ||| 0.0217391304348
D3 ||| B3 ||| 0.0718901453958
D3 ||| D4 ||| 0.162958843159
D3 ||| D3 ||| 0.0607142857143
