E4,E4 ||| G4 ||| 0.000677048070413
A3 ||| A4 ||| 0.00785340314136
A3 ||| B3 ||| 0.130434782609
A3 ||| E5 ||| 0.000618429189858
A3 ||| E4 ||| 0.0451505016722
A3 ||| D4 ||| 0.126849894292
A3 ||| C5 ||| 0.00046232085067
A3 ||| C4 ||| 0.19262295082
E#4 ||| C#5 ||| 0.0357142857143
E#4 ||| G4 ||| 0.000677048070413
E#4 ||| G#4 ||| 0.1
E#4 ||| A#4 ||| 0.3
A4 ||| B4 ||| 0.0562719812427
A4 ||| G5 ||| 0.0696202531646
A4 ||| F#5 ||| 0.375
A4 ||| C#5 ||| 0.392857142857
A4 ||| E-5 ||| 0.157024793388
A4 ||| A5 ||| 0.135135135135
A4 ||| A4 ||| 0.0253054101222
A4 ||| B-4 ||| 0.06
A4 ||| E5 ||| 0.123067408782
A4 ||| D5 ||| 0.173638132296
A4 ||| C5 ||| 0.201571890892
A4 ||| F5 ||| 0.242584745763
B-4 ||| G5 ||| 0.0582278481013
B-4 ||| F5 ||| 0.0222457627119
B-4 ||| E-5 ||| 0.305785123967
B-4 ||| A5 ||| 0.027027027027
B-4 ||| B-4 ||| 0.012
B-4 ||| E5 ||| 0.0179344465059
B-4 ||| D5 ||| 0.0277237354086
B-4 ||| C5 ||| 0.0309754969949
E5 ||| G5 ||| 0.0569620253165
E5 ||| F5 ||| 0.0148305084746
E5 ||| B4 ||| 0.00234466588511
E5 ||| A5 ||| 0.0702702702703
E5 ||| E5 ||| 0.004329004329
E5 ||| C6 ||| 0.444444444444
E4 ||| G5 ||| 0.0126582278481
E4 ||| G4 ||| 0.232904536222
E4 ||| F#4 ||| 0.0151515151515
E4 ||| F5 ||| 0.00741525423729
E4 ||| C#5 ||| 0.392857142857
E4 ||| F4 ||| 0.0652528548124
E4 ||| D5 ||| 0.0184824902724
E4 ||| B4 ||| 0.109026963658
E4 ||| A5 ||| 0.0216216216216
E4 ||| G#4 ||| 0.233333333333
E4 ||| B-4 ||| 0.032
E4 ||| E5 ||| 0.0377241805813
E4 ||| E4 ||| 0.0284280936455
E4 ||| C4 ||| 0.00409836065574
E4 ||| A-4 ||| 0.0298507462687
E4 ||| C5 ||| 0.191863153028
E4 ||| A4 ||| 0.19109947644
D#4 ||| G4 ||| 0.00609343263372
D#4 ||| B4 ||| 0.00351699882767
D#4 ||| E#4 ||| 0.176470588235
D#4 ||| G#4 ||| 0.2
D#4 ||| A#4 ||| 0.3
D#4 ||| D#4 ||| 0.125
D#4 ||| C5 ||| 0.000924641701341
D#4 ||| A4 ||| 0.0043630017452
A-4 ||| F5 ||| 0.00423728813559
A-4 ||| E-5 ||| 0.123966942149
A-4 ||| B-4 ||| 0.072
A-4 ||| D5 ||| 0.00972762645914
A-4 ||| A-4 ||| 0.0149253731343
A-4 ||| C5 ||| 0.0295885344429
C5 ||| B4 ||| 0.00234466588511
C5 ||| G5 ||| 0.282278481013
C5 ||| F#5 ||| 0.453125
C5 ||| E-5 ||| 0.165289256198
C5 ||| A5 ||| 0.437837837838
C5 ||| A4 ||| 0.0043630017452
C5 ||| E5 ||| 0.335807050093
C5 ||| D5 ||| 0.0885214007782
C5 ||| C6 ||| 0.333333333333
C5 ||| C5 ||| 0.0235783633842
C5 ||| F5 ||| 0.245762711864
C4 ||| G5 ||| 0.00506329113924
C4 ||| G4 ||| 0.16384563304
C4 ||| F#4 ||| 0.393939393939
C4 ||| F5 ||| 0.0148305084746
C4 ||| F4 ||| 0.296900489396
C4 ||| B4 ||| 0.0117233294256
C4 ||| E-4 ||| 0.345454545455
C4 ||| A3 ||| 0.111111111111
C4 ||| A4 ||| 0.178010471204
C4 ||| B-4 ||| 0.032
C4 ||| E5 ||| 0.00865800865801
C4 ||| E4 ||| 0.581939799331
C4 ||| D4 ||| 0.228329809725
C4 ||| D5 ||| 0.00194552529183
C4 ||| A-4 ||| 0.044776119403
C4 ||| C5 ||| 0.0240406842349
C4 ||| C4 ||| 0.143442622951
E3 ||| E4 ||| 0.00167224080268
E3 ||| A3 ||| 0.111111111111
E3 ||| C#4 ||| 0.25
E3 ||| C4 ||| 0.0122950819672
C#5 ||| E5 ||| 0.0185528756957
C#5 ||| G5 ||| 0.0139240506329
C#5 ||| A5 ||| 0.00540540540541
C#5 ||| F5 ||| 0.00423728813559
C#4 ||| G4 ||| 0.00744752877454
C#4 ||| F4 ||| 0.00652528548124
C#4 ||| A4 ||| 0.00698080279232
C#4 ||| A#4 ||| 0.05
C#4 ||| E5 ||| 0.00123685837972
C#4 ||| E4 ||| 0.0484949832776
C#4 ||| D4 ||| 0.0105708245243
E-5 ||| G5 ||| 0.00379746835443
E-5 ||| A5 ||| 0.00540540540541
E-5 ||| F5 ||| 0.00317796610169
E-4 ||| G4 ||| 0.0379146919431
E-4 ||| F4 ||| 0.0179445350734
E-4 ||| E-5 ||| 0.0330578512397
E-4 ||| E-4 ||| 0.0363636363636
E-4 ||| A4 ||| 0.00523560209424
E-4 ||| B-4 ||| 0.12
E-4 ||| D5 ||| 0.00194552529183
E-4 ||| A-4 ||| 0.313432835821
E-4 ||| C5 ||| 0.0245030050855
R ||| G5 ||| 0.00126582278481
R ||| G4 ||| 0.0054163845633
R ||| F4 ||| 0.00326264274062
R ||| A5 ||| 0.00540540540541
R ||| E4 ||| 0.00501672240803
R ||| D4 ||| 0.00422832980973
R ||| C5 ||| 0.000924641701341
D-4 ||| G4 ||| 0.000677048070413
D-4 ||| F4 ||| 0.00163132137031
D-4 ||| B-4 ||| 0.004
G3 ||| G4 ||| 0.00812457684496
G3 ||| F4 ||| 0.0163132137031
G3 ||| C#4 ||| 0.5
G3 ||| E-4 ||| 0.0363636363636
G3 ||| A3 ||| 0.111111111111
G3 ||| B3 ||| 0.565217391304
G3 ||| E4 ||| 0.061872909699
G3 ||| D4 ||| 0.0591966173362
G3 ||| C5 ||| 0.00138696255201
G3 ||| C4 ||| 0.483606557377
A-3 ||| D4 ||| 0.00845665961945
A-3 ||| F4 ||| 0.00326264274062
A-3 ||| C4 ||| 0.00819672131148
B#3 ||| E#4 ||| 0.235294117647
B#3 ||| G4 ||| 0.00135409614083
B#3 ||| G#4 ||| 0.233333333333
A#3 ||| E#4 ||| 0.0588235294118
A#3 ||| D#4 ||| 0.5
A#3 ||| G4 ||| 0.00203114421124
A#3 ||| A#4 ||| 0.05
F3 ||| D4 ||| 0.00845665961945
F3 ||| B3 ||| 0.0869565217391
F3 ||| F4 ||| 0.00163132137031
F3 ||| A4 ||| 0.00174520069808
F3 ||| C4 ||| 0.00409836065574
F4 ||| B4 ||| 0.116060961313
F4 ||| G5 ||| 0.00759493670886
F4 ||| G4 ||| 0.0643195666892
F4 ||| F4 ||| 0.0179445350734
F4 ||| F5 ||| 0.0423728813559
F4 ||| E-5 ||| 0.0247933884298
F4 ||| A5 ||| 0.0324324324324
F4 ||| A4 ||| 0.17277486911
F4 ||| B-4 ||| 0.304
F4 ||| B-5 ||| 0.4
F4 ||| E5 ||| 0.0111317254174
F4 ||| D5 ||| 0.0963035019455
F4 ||| A-4 ||| 0.373134328358
F4 ||| C5 ||| 0.0656495607952
F5 ||| A5 ||| 0.0486486486486
F5 ||| C6 ||| 0.111111111111
B4 ||| G5 ||| 0.23417721519
B4 ||| G4 ||| 0.00270819228165
B4 ||| F#5 ||| 0.09375
B4 ||| B4 ||| 0.00351699882767
B4 ||| A5 ||| 0.0594594594595
B4 ||| A4 ||| 0.00087260034904
B4 ||| E5 ||| 0.0816326530612
B4 ||| D5 ||| 0.238326848249
B4 ||| C5 ||| 0.0194174757282
B4 ||| F5 ||| 0.133474576271
F#3 ||| A3 ||| 0.222222222222
F#3 ||| C4 ||| 0.0122950819672
B3 ||| G5 ||| 0.00253164556962
B3 ||| G4 ||| 0.093432633717
B3 ||| F#4 ||| 0.0606060606061
B3 ||| F4 ||| 0.0913539967374
B3 ||| A4 ||| 0.00698080279232
B3 ||| B4 ||| 0.0128956623681
B3 ||| G#4 ||| 0.0333333333333
B3 ||| B3 ||| 0.0869565217391
B3 ||| E4 ||| 0.0869565217391
B3 ||| D4 ||| 0.494714587738
B3 ||| D5 ||| 0.000486381322957
B3 ||| C4 ||| 0.0983606557377
D4 ||| G5 ||| 0.0101265822785
D4 ||| G4 ||| 0.301286391334
D4 ||| F#4 ||| 0.454545454545
D4 ||| F5 ||| 0.0158898305085
D4 ||| D4 ||| 0.0422832980973
D4 ||| F4 ||| 0.36704730832
D4 ||| D5 ||| 0.0330739299611
D4 ||| B4 ||| 0.225087924971
D4 ||| E-4 ||| 0.0909090909091
D4 ||| E#4 ||| 0.529411764706
D4 ||| G#4 ||| 0.2
D4 ||| B-4 ||| 0.076
D4 ||| A#4 ||| 0.3
D4 ||| E5 ||| 0.00371057513915
D4 ||| E4 ||| 0.125418060201
D4 ||| D#4 ||| 0.375
D4 ||| C4 ||| 0.016393442623
D4 ||| A-4 ||| 0.149253731343
D4 ||| C5 ||| 0.0332871012483
D4 ||| A4 ||| 0.141361256545
D5 ||| G5 ||| 0.130379746835
D5 ||| G4 ||| 0.000677048070413
D5 ||| F#5 ||| 0.078125
D5 ||| E-5 ||| 0.0165289256198
D5 ||| A5 ||| 0.135135135135
D5 ||| A4 ||| 0.00087260034904
D5 ||| B-5 ||| 0.2
D5 ||| E5 ||| 0.0235003092146
D5 ||| D5 ||| 0.0136186770428
D5 ||| C6 ||| 0.111111111111
D5 ||| C5 ||| 0.00046232085067
D5 ||| F5 ||| 0.147245762712
D3 ||| B3 ||| 0.0434782608696
