E-2 ||| E-4 ||| 0.178571428571
G1 ||| D4 ||| 0.00900900900901
G1 ||| C4 ||| 0.00813008130081
B-2 ||| G4 ||| 0.0169385194479
B-2 ||| F4 ||| 0.0674157303371
B-2 ||| E-4 ||| 0.107142857143
B-2 ||| A4 ||| 0.00354295837024
B-2 ||| B-4 ||| 0.185185185185
B-2 ||| E4 ||| 0.01246105919
B-2 ||| D4 ||| 0.00900900900901
B-2 ||| D5 ||| 0.0102669404517
B-2 ||| A-4 ||| 0.138461538462
B-2 ||| C5 ||| 0.00186046511628
B-3 ||| G5 ||| 0.0275779376499
B-3 ||| G4 ||| 0.00125470514429
B-3 ||| F4 ||| 0.00642054574639
B-3 ||| F#5 ||| 0.0175438596491
B-3 ||| C#5 ||| 0.0344827586207
B-3 ||| E-5 ||| 0.0243902439024
B-3 ||| A5 ||| 0.00584795321637
B-3 ||| B-4 ||| 0.0509259259259
B-3 ||| B-5 ||| 0.2
B-3 ||| E5 ||| 0.00630733944954
B-3 ||| D5 ||| 0.0297741273101
B-3 ||| C5 ||| 0.00790697674419
B-3 ||| F5 ||| 0.017259978425
A3 ||| B4 ||| 0.0135900339751
A3 ||| G5 ||| 0.0599520383693
A3 ||| G4 ||| 0.00313676286073
A3 ||| F4 ||| 0.0353130016051
A3 ||| F#5 ||| 0.280701754386
A3 ||| F5 ||| 0.249190938511
A3 ||| C#5 ||| 0.551724137931
A3 ||| E-5 ||| 0.0975609756098
A3 ||| B5 ||| 0.133333333333
A3 ||| A5 ||| 0.105263157895
A3 ||| A4 ||| 0.0310008857396
A3 ||| B-4 ||| 0.00925925925926
A3 ||| E5 ||| 0.118119266055
A3 ||| E4 ||| 0.0342679127726
A3 ||| D4 ||| 0.00225225225225
A3 ||| D5 ||| 0.0436344969199
A3 ||| C6 ||| 0.2
A3 ||| C5 ||| 0.161860465116
A3 ||| C4 ||| 0.00406504065041
A2 ||| F4 ||| 0.144462279294
A2 ||| G4 ||| 0.0376411543287
A2 ||| F#4 ||| 0.246376811594
A2 ||| F5 ||| 0.0129449838188
A2 ||| C#5 ||| 0.172413793103
A2 ||| C#4 ||| 0.25
A2 ||| B4 ||| 0.0215175537939
A2 ||| A3 ||| 0.0909090909091
A2 ||| A4 ||| 0.0761736049601
A2 ||| B-4 ||| 0.00925925925926
A2 ||| E5 ||| 0.00516055045872
A2 ||| E4 ||| 0.101246105919
A2 ||| D4 ||| 0.0225225225225
A2 ||| D5 ||| 0.00513347022587
A2 ||| C5 ||| 0.0558139534884
A2 ||| C4 ||| 0.174796747967
E#3 ||| C#5 ||| 0.0344827586207
E#3 ||| G#4 ||| 0.0526315789474
E#2 ||| E#4 ||| 0.0714285714286
E#2 ||| G4 ||| 0.000627352572146
E#2 ||| G#4 ||| 0.131578947368
E#2 ||| A#4 ||| 0.0625
C3 ||| B4 ||| 0.0543601359003
C3 ||| G5 ||| 0.0431654676259
C3 ||| G4 ||| 0.175031367629
C3 ||| F#4 ||| 0.173913043478
C3 ||| F5 ||| 0.0334412081985
C3 ||| F4 ||| 0.091492776886
C3 ||| D5 ||| 0.0220739219713
C3 ||| E-5 ||| 0.0975609756098
C3 ||| E-4 ||| 0.178571428571
C3 ||| A3 ||| 0.0909090909091
C3 ||| A5 ||| 0.00584795321637
C3 ||| A4 ||| 0.125775022143
C3 ||| B-4 ||| 0.0555555555556
C3 ||| E5 ||| 0.167431192661
C3 ||| E4 ||| 0.376947040498
C3 ||| D4 ||| 0.0337837837838
C3 ||| C4 ||| 0.29674796748
C3 ||| A-4 ||| 0.2
C3 ||| C5 ||| 0.208372093023
C3 ||| G#4 ||| 0.0263157894737
E4 ||| G5 ||| 0.0623501199041
E4 ||| F5 ||| 0.00215749730313
E4 ||| B4 ||| 0.00906002265006
E4 ||| A5 ||| 0.0175438596491
E4 ||| B-5 ||| 0.4
E4 ||| E5 ||| 0.00688073394495
E4 ||| D5 ||| 0.00462012320329
E4 ||| C6 ||| 0.4
E4 ||| C5 ||| 0.0106976744186
A-3 ||| G5 ||| 0.00119904076739
A-3 ||| F4 ||| 0.00481540930979
A-3 ||| F5 ||| 0.00323624595469
A-3 ||| E-5 ||| 0.0243902439024
A-3 ||| B-4 ||| 0.037037037037
A-3 ||| E5 ||| 0.000573394495413
A-3 ||| D5 ||| 0.00564681724846
A-3 ||| C5 ||| 0.0148837209302
A-2 ||| G4 ||| 0.00250941028858
A-2 ||| F4 ||| 0.0208667736758
A-2 ||| E-4 ||| 0.178571428571
A-2 ||| B-4 ||| 0.0277777777778
A-2 ||| D4 ||| 0.00225225225225
A-2 ||| A-4 ||| 0.0615384615385
A-2 ||| C5 ||| 0.00744186046512
A-2 ||| C4 ||| 0.0121951219512
D#2 ||| G4 ||| 0.00188205771644
D#2 ||| F#4 ||| 0.0289855072464
D#2 ||| G#4 ||| 0.0526315789474
D#2 ||| A#4 ||| 0.0625
D#2 ||| D#4 ||| 0.5
D#2 ||| A4 ||| 0.00088573959256
D#3 ||| G4 ||| 0.00439146800502
D#3 ||| F#4 ||| 0.0144927536232
D#3 ||| B4 ||| 0.0147225368063
D#3 ||| G#4 ||| 0.0526315789474
D#3 ||| B#4 ||| 0.333333333333
D#3 ||| C5 ||| 0.00046511627907
D#3 ||| A4 ||| 0.00708591674048
E3 ||| G5 ||| 0.177458033573
E3 ||| G4 ||| 0.144918444166
E3 ||| F#4 ||| 0.0289855072464
E3 ||| F5 ||| 0.0226537216828
E3 ||| C#5 ||| 0.0689655172414
E3 ||| F4 ||| 0.0192616372392
E3 ||| D5 ||| 0.0395277207392
E3 ||| B4 ||| 0.163080407701
E3 ||| A5 ||| 0.0350877192982
E3 ||| G#4 ||| 0.105263157895
E3 ||| B-4 ||| 0.0416666666667
E3 ||| B3 ||| 0.1
E3 ||| E5 ||| 0.11754587156
E3 ||| E4 ||| 0.0841121495327
E3 ||| D4 ||| 0.0292792792793
E3 ||| C4 ||| 0.0528455284553
E3 ||| C5 ||| 0.14511627907
E3 ||| A4 ||| 0.0682019486271
C4 ||| B4 ||| 0.0113250283126
C4 ||| G5 ||| 0.141486810552
C4 ||| G4 ||| 0.0169385194479
C4 ||| F#5 ||| 0.140350877193
C4 ||| A-4 ||| 0.0153846153846
C4 ||| E-5 ||| 0.0975609756098
C4 ||| B5 ||| 0.0666666666667
C4 ||| A5 ||| 0.0818713450292
C4 ||| A4 ||| 0.0150575730735
C4 ||| E5 ||| 0.252293577982
C4 ||| D5 ||| 0.0277207392197
C4 ||| C6 ||| 0.2
C4 ||| C5 ||| 0.0474418604651
C4 ||| F5 ||| 0.0733549083064
D#4 ||| A5 ||| 0.00584795321637
D#4 ||| F#5 ||| 0.0175438596491
C#4 ||| G5 ||| 0.0251798561151
C#4 ||| F5 ||| 0.00107874865156
C#4 ||| A5 ||| 0.0116959064327
C#4 ||| A4 ||| 0.00088573959256
C#4 ||| E5 ||| 0.0045871559633
C#4 ||| D5 ||| 0.00154004106776
C#3 ||| G5 ||| 0.00599520383693
C#3 ||| G4 ||| 0.0219573400251
C#3 ||| F4 ||| 0.0016051364366
C#3 ||| C#5 ||| 0.0344827586207
C#3 ||| B4 ||| 0.00113250283126
C#3 ||| B#4 ||| 0.333333333333
C#3 ||| A5 ||| 0.00584795321637
C#3 ||| G#4 ||| 0.0263157894737
C#3 ||| A#4 ||| 0.125
C#3 ||| E5 ||| 0.00630733944954
C#3 ||| E4 ||| 0.00778816199377
C#3 ||| D4 ||| 0.00225225225225
C#3 ||| A4 ||| 0.0274579273694
E-4 ||| G5 ||| 0.00239808153477
E-4 ||| C5 ||| 0.00046511627907
R ||| G5 ||| 0.00239808153477
R ||| G4 ||| 0.00501882057716
R ||| F4 ||| 0.00481540930979
R ||| A5 ||| 0.0116959064327
R ||| E4 ||| 0.00623052959502
R ||| D4 ||| 0.00675675675676
R ||| D5 ||| 0.000513347022587
R ||| C5 ||| 0.00093023255814
D-4 ||| A-4 ||| 0.0153846153846
D-4 ||| C5 ||| 0.00046511627907
D-4 ||| B-4 ||| 0.00462962962963
D-4 ||| F5 ||| 0.00107874865156
E-3 ||| G5 ||| 0.00719424460432
E-3 ||| G4 ||| 0.0238393977415
E-3 ||| F4 ||| 0.0112359550562
E-3 ||| F5 ||| 0.00215749730313
E-3 ||| E-5 ||| 0.178861788618
E-3 ||| E-4 ||| 0.160714285714
E-3 ||| A4 ||| 0.00265721877768
E-3 ||| B-4 ||| 0.134259259259
E-3 ||| D5 ||| 0.000513347022587
E-3 ||| A-4 ||| 0.0615384615385
E-3 ||| C5 ||| 0.00558139534884
C3,C3 ||| G4 ||| 0.000627352572146
F#4 ||| C6 ||| 0.1
F#4 ||| C5 ||| 0.00093023255814
C2 ||| G4 ||| 0.00313676286073
C2 ||| B4 ||| 0.00113250283126
C2 ||| A4 ||| 0.0044286979628
C2 ||| E5 ||| 0.000573394495413
C2 ||| E4 ||| 0.0249221183801
C2 ||| D4 ||| 0.0045045045045
C2 ||| C5 ||| 0.00558139534884
C2 ||| C4 ||| 0.186991869919
B#2 ||| G4 ||| 0.00125470514429
B#2 ||| G#4 ||| 0.157894736842
B#2 ||| A#4 ||| 0.125
B-1 ||| D4 ||| 0.00225225225225
F2 ||| G4 ||| 0.00941028858218
F2 ||| F4 ||| 0.0561797752809
F2 ||| D5 ||| 0.00256673511294
F2 ||| B4 ||| 0.00453001132503
F2 ||| E-4 ||| 0.0178571428571
F2 ||| A3 ||| 0.0909090909091
F2 ||| G#4 ||| 0.0263157894737
F2 ||| B-4 ||| 0.00925925925926
F2 ||| B3 ||| 0.15
F2 ||| E4 ||| 0.0389408099688
F2 ||| D4 ||| 0.0990990990991
F2 ||| C4 ||| 0.0569105691057
F2 ||| A-4 ||| 0.107692307692
F2 ||| C5 ||| 0.00511627906977
F2 ||| A4 ||| 0.0531443755536
F3 ||| B4 ||| 0.0566251415629
F3 ||| G5 ||| 0.0575539568345
F3 ||| G4 ||| 0.0451693851945
F3 ||| F4 ||| 0.0449438202247
F3 ||| F5 ||| 0.105717367853
F3 ||| E-5 ||| 0.130081300813
F3 ||| E-4 ||| 0.0178571428571
F3 ||| A5 ||| 0.391812865497
F3 ||| A4 ||| 0.200177147919
F3 ||| B-4 ||| 0.0462962962963
F3 ||| E5 ||| 0.0630733944954
F3 ||| E4 ||| 0.0436137071651
F3 ||| D4 ||| 0.0900900900901
F3 ||| D5 ||| 0.149897330595
F3 ||| A-4 ||| 0.169230769231
F3 ||| C5 ||| 0.105581395349
F3 ||| C4 ||| 0.0284552845528
F4 ||| G5 ||| 0.00479616306954
F4 ||| G4 ||| 0.000627352572146
F4 ||| F5 ||| 0.00215749730313
F4 ||| B4 ||| 0.00226500566251
F4 ||| B5 ||| 0.133333333333
F4 ||| A5 ||| 0.0877192982456
F4 ||| E5 ||| 0.0045871559633
F4 ||| D5 ||| 0.00359342915811
F4 ||| C5 ||| 0.00279069767442
A#2 ||| E#4 ||| 0.714285714286
A#2 ||| D#4 ||| 0.375
A#2 ||| G4 ||| 0.00188205771644
A#2 ||| A#4 ||| 0.125
D-3 ||| G4 ||| 0.00125470514429
D-3 ||| C5 ||| 0.00325581395349
D-3 ||| B-4 ||| 0.00925925925926
D-3 ||| A-4 ||| 0.0615384615385
F#3 ||| B4 ||| 0.0135900339751
F#3 ||| G5 ||| 0.00119904076739
F#3 ||| G4 ||| 0.00564617314931
F#3 ||| C#5 ||| 0.0344827586207
F#3 ||| E-5 ||| 0.00813008130081
F#3 ||| E-4 ||| 0.0178571428571
F#3 ||| A3 ||| 0.0909090909091
F#3 ||| A5 ||| 0.0233918128655
F#3 ||| A4 ||| 0.0434012400354
F#3 ||| E5 ||| 0.00688073394495
F#3 ||| E4 ||| 0.00155763239875
F#3 ||| D4 ||| 0.0045045045045
F#3 ||| D5 ||| 0.0426078028747
F#3 ||| C5 ||| 0.04
B2 ||| G5 ||| 0.0119904076739
B2 ||| G4 ||| 0.112296110414
B2 ||| F#4 ||| 0.0289855072464
B2 ||| F5 ||| 0.0204962243797
B2 ||| F4 ||| 0.133226324238
B2 ||| D5 ||| 0.0338809034908
B2 ||| B4 ||| 0.0645526613817
B2 ||| G#4 ||| 0.0789473684211
B2 ||| B3 ||| 0.05
B2 ||| E5 ||| 0.0045871559633
B2 ||| E4 ||| 0.0607476635514
B2 ||| D4 ||| 0.0855855855856
B2 ||| C4 ||| 0.00406504065041
B2 ||| C5 ||| 0.0144186046512
B2 ||| A4 ||| 0.0186005314438
B3 ||| G5 ||| 0.130695443645
B3 ||| G4 ||| 0.0112923462986
B3 ||| F#5 ||| 0.0175438596491
B3 ||| C#5 ||| 0.0344827586207
B3 ||| B4 ||| 0.0181200453001
B3 ||| B5 ||| 0.133333333333
B3 ||| A5 ||| 0.00584795321637
B3 ||| A4 ||| 0.00708591674048
B3 ||| E5 ||| 0.0510321100917
B3 ||| D5 ||| 0.0867556468172
B3 ||| C5 ||| 0.0111627906977
B3 ||| F5 ||| 0.118662351672
A4 ||| D5 ||| 0.000513347022587
D4 ||| G5 ||| 0.0407673860911
D4 ||| G4 ||| 0.00125470514429
D4 ||| F#5 ||| 0.263157894737
D4 ||| B4 ||| 0.0135900339751
D4 ||| B5 ||| 0.0666666666667
D4 ||| A5 ||| 0.116959064327
D4 ||| A4 ||| 0.0186005314438
D4 ||| B-5 ||| 0.4
D4 ||| E5 ||| 0.00974770642202
D4 ||| D5 ||| 0.0138603696099
D4 ||| C6 ||| 0.1
D4 ||| C5 ||| 0.00744186046512
D4 ||| F5 ||| 0.0733549083064
E2 ||| G4 ||| 0.0294855708908
E2 ||| F4 ||| 0.0016051364366
E2 ||| C#4 ||| 0.5
E2 ||| D5 ||| 0.000513347022587
E2 ||| B4 ||| 0.00906002265006
E2 ||| A3 ||| 0.0909090909091
E2 ||| G#4 ||| 0.105263157895
E2 ||| B-4 ||| 0.00925925925926
E2 ||| B3 ||| 0.05
E2 ||| E4 ||| 0.0404984423676
E2 ||| D4 ||| 0.00900900900901
E2 ||| C4 ||| 0.0365853658537
E2 ||| C5 ||| 0.00558139534884
E2 ||| A4 ||| 0.00177147918512
D2 ||| G4 ||| 0.00313676286073
D2 ||| F#4 ||| 0.0724637681159
D2 ||| F4 ||| 0.0256821829856
D2 ||| B4 ||| 0.00226500566251
D2 ||| A3 ||| 0.181818181818
D2 ||| A4 ||| 0.0177147918512
D2 ||| E4 ||| 0.00467289719626
D2 ||| D4 ||| 0.0292792792793
D2 ||| C5 ||| 0.00279069767442
D2 ||| C4 ||| 0.00813008130081
D3 ||| B4 ||| 0.151755379388
D3 ||| G5 ||| 0.0263788968825
D3 ||| G4 ||| 0.0664993726474
D3 ||| F#4 ||| 0.391304347826
D3 ||| F#5 ||| 0.263157894737
D3 ||| F5 ||| 0.161812297735
D3 ||| F4 ||| 0.224719101124
D3 ||| D5 ||| 0.0857289527721
D3 ||| E-5 ||| 0.0731707317073
D3 ||| A3 ||| 0.181818181818
D3 ||| A5 ||| 0.0292397660819
D3 ||| G#4 ||| 0.157894736842
D3 ||| B-4 ||| 0.0833333333333
D3 ||| A#4 ||| 0.1875
D3 ||| E5 ||| 0.0275229357798
D3 ||| E4 ||| 0.0498442367601
D3 ||| D4 ||| 0.0540540540541
D3 ||| C4 ||| 0.0284552845528
D3 ||| A-4 ||| 0.0923076923077
D3 ||| C5 ||| 0.0409302325581
D3 ||| A4 ||| 0.232949512843
