C4,C4 ||| G3 ||| 0.00110497237569
C4 ||| G4 ||| 0.00706214689266
C4 ||| G3 ||| 0.304972375691
C4 ||| E-4 ||| 0.010582010582
C4 ||| F4 ||| 0.00868725868726
C4 ||| F3 ||| 0.294117647059
C4 ||| F#3 ||| 0.23417721519
C4 ||| A3 ||| 0.272425249169
C4 ||| R ||| 0.00341296928328
C4 ||| B-3 ||| 0.072192513369
C4 ||| G#3 ||| 0.0133333333333
C4 ||| A2 ||| 0.333333333333
C4 ||| A4 ||| 0.0126582278481
C4 ||| E-3 ||| 0.345454545455
C4 ||| B3 ||| 0.00479233226837
C4 ||| C3 ||| 0.397959183673
C4 ||| E4 ||| 0.00547195622435
C4 ||| A-3 ||| 0.176470588235
C4 ||| D3 ||| 0.11811023622
C4 ||| E3 ||| 0.385395537525
C4 ||| C4 ||| 0.0178105994787
E3 ||| C3 ||| 0.030612244898
E3 ||| E3 ||| 0.00405679513185
E3 ||| C4 ||| 0.000434404865334
C#5 ||| G4 ||| 0.0155367231638
C#5 ||| G3 ||| 0.00110497237569
C#5 ||| A3 ||| 0.000830564784053
C#5 ||| A4 ||| 0.0455696202532
C#5 ||| B-4 ||| 0.030303030303
C#5 ||| E4 ||| 0.00615595075239
C#4 ||| G3 ||| 0.0121546961326
C#4 ||| A3 ||| 0.0290697674419
C#4 ||| B-3 ||| 0.0106951871658
C#4 ||| G#3 ||| 0.0133333333333
C#4 ||| B3 ||| 0.000798722044728
C#4 ||| E4 ||| 0.000683994528044
C#4 ||| E3 ||| 0.0141987829615
E-5 ||| G4 ||| 0.000706214689266
E-5 ||| F4 ||| 0.000965250965251
E-5 ||| E-4 ||| 0.010582010582
E-5 ||| B-4 ||| 0.0606060606061
E-5 ||| D4 ||| 0.000559597090095
E-5 ||| C5 ||| 0.0243902439024
E-5 ||| C4 ||| 0.000434404865334
E-4 ||| G4 ||| 0.000706214689266
E-4 ||| G3 ||| 0.00883977900552
E-4 ||| E-4 ||| 0.00529100529101
E-4 ||| D4 ||| 0.000559597090095
E-4 ||| B-3 ||| 0.219251336898
E-4 ||| A3 ||| 0.00664451827243
E-4 ||| F3 ||| 0.00891265597148
E-4 ||| D-4 ||| 0.0909090909091
E-4 ||| E-3 ||| 0.109090909091
E-4 ||| A-3 ||| 0.152941176471
E-4 ||| A-4 ||| 0.2
E-4 ||| C4 ||| 0.0260642919201
R ||| R ||| 0.982935153584
R ||| G3 ||| 0.000552486187845
D-4 ||| B-3 ||| 0.00267379679144
D-4 ||| A-3 ||| 0.0117647058824
D-4 ||| G3 ||| 0.000552486187845
F#4 ||| B4 ||| 0.05
F#4 ||| F#3 ||| 0.0253164556962
F#4 ||| G3 ||| 0.00276243093923
F#4 ||| C#4 ||| 0.0128205128205
F#4 ||| A#3 ||| 0.037037037037
F#4 ||| A3 ||| 0.0539867109635
F#4 ||| F#4 ||| 0.0294117647059
F#4 ||| A4 ||| 0.00759493670886
F#4 ||| B3 ||| 0.0215654952077
F#4 ||| E4 ||| 0.00478796169631
F#4 ||| D#4 ||| 0.25
F#4 ||| D4 ||| 0.0805819809737
F#4 ||| E3 ||| 0.00202839756592
F#4 ||| C4 ||| 0.0682015638575
A-3 ||| C3 ||| 0.0102040816327
A-3 ||| F3 ||| 0.00713012477718
A-3 ||| D3 ||| 0.00787401574803
A-3 ||| E-3 ||| 0.0181818181818
B#3 ||| G3 ||| 0.00165745856354
B#3 ||| G#3 ||| 0.08
B#3 ||| E#3 ||| 0.153846153846
B#3 ||| D4 ||| 0.000559597090095
B#3 ||| D#3 ||| 0.5
B#3 ||| B#3 ||| 0.181818181818
A#3 ||| D4 ||| 0.000559597090095
A#3 ||| G3 ||| 0.00386740331492
A#3 ||| D#3 ||| 0.166666666667
F3 ||| B-3 ||| 0.00267379679144
F3 ||| A3 ||| 0.00249169435216
F3 ||| B3 ||| 0.00159744408946
F3 ||| C3 ||| 0.0204081632653
F3 ||| D3 ||| 0.0196850393701
F3 ||| C4 ||| 0.000434404865334
F4 ||| F4 ||| 0.0212355212355
F4 ||| G4 ||| 0.00141242937853
F4 ||| G3 ||| 0.021546961326
F4 ||| E-4 ||| 0.0582010582011
F4 ||| D4 ||| 0.142137660884
F4 ||| C#4 ||| 0.0384615384615
F4 ||| A3 ||| 0.102159468439
F4 ||| D3 ||| 0.0236220472441
F4 ||| B4 ||| 0.025
F4 ||| B-3 ||| 0.155080213904
F4 ||| G#3 ||| 0.0266666666667
F4 ||| F3 ||| 0.0267379679144
F4 ||| D-4 ||| 0.25
F4 ||| A4 ||| 0.020253164557
F4 ||| B3 ||| 0.0974440894569
F4 ||| C3 ||| 0.0102040816327
F4 ||| E4 ||| 0.00136798905609
F4 ||| A-3 ||| 0.294117647059
F4 ||| A-4 ||| 0.25
F4 ||| C4 ||| 0.118158123371
F5 ||| D4 ||| 0.00111919418019
F5 ||| A4 ||| 0.00506329113924
F5 ||| C5 ||| 0.146341463415
F5 ||| C4 ||| 0.00173761946134
B4 ||| G4 ||| 0.283898305085
B4 ||| G3 ||| 0.00386740331492
B4 ||| F4 ||| 0.234555984556
B4 ||| F3 ||| 0.00891265597148
B4 ||| A3 ||| 0.00166112956811
B4 ||| B4 ||| 0.075
B4 ||| G#3 ||| 0.04
B4 ||| F#4 ||| 0.127450980392
B4 ||| A4 ||| 0.0405063291139
B4 ||| B3 ||| 0.0215654952077
B4 ||| E4 ||| 0.0978112175103
B4 ||| D#4 ||| 0.5
B4 ||| D5 ||| 0.25
B4 ||| D4 ||| 0.127028539452
B4 ||| C5 ||| 0.0487804878049
B4 ||| C4 ||| 0.00738488271069
F#3 ||| C3 ||| 0.0510204081633
F#3 ||| D3 ||| 0.011811023622
B3 ||| F#4 ||| 0.00980392156863
B3 ||| F#3 ||| 0.0443037974684
B3 ||| G3 ||| 0.155248618785
B3 ||| D4 ||| 0.00391717963067
B3 ||| F3 ||| 0.295900178253
B3 ||| A3 ||| 0.0199335548173
B3 ||| D3 ||| 0.314960629921
B3 ||| R ||| 0.00341296928328
B3 ||| G#3 ||| 0.213333333333
B3 ||| A2 ||| 0.333333333333
B3 ||| B3 ||| 0.00479233226837
B3 ||| C3 ||| 0.0510204081633
B3 ||| E4 ||| 0.00273597811218
B3 ||| A-3 ||| 0.0352941176471
B3 ||| D#4 ||| 0.25
B3 ||| E3 ||| 0.101419878296
B3 ||| C4 ||| 0.000868809730669
D4 ||| G#3 ||| 0.266666666667
D4 ||| G4 ||| 0.0225988700565
D4 ||| F#4 ||| 0.0588235294118
D4 ||| B-3 ||| 0.181818181818
D4 ||| A3 ||| 0.221760797342
D4 ||| E#3 ||| 0.230769230769
D4 ||| A4 ||| 0.0126582278481
D4 ||| B-4 ||| 0.030303030303
D4 ||| E4 ||| 0.00136798905609
D4 ||| A-3 ||| 0.2
D4 ||| A-4 ||| 0.2
D4 ||| E3 ||| 0.0588235294118
D4 ||| C4 ||| 0.0269331016507
D4 ||| A#3 ||| 0.481481481481
D4 ||| R ||| 0.00341296928328
D4 ||| E-3 ||| 0.127272727273
D4 ||| G3 ||| 0.201657458564
D4 ||| F3 ||| 0.156862745098
D4 ||| F4 ||| 0.0202702702703
D4 ||| B4 ||| 0.05
D4 ||| F#3 ||| 0.474683544304
D4 ||| B2 ||| 0.125
D4 ||| B3 ||| 0.309904153355
D4 ||| D4 ||| 0.0167879127029
D4 ||| D3 ||| 0.141732283465
D5 ||| G4 ||| 0.105225988701
D5 ||| G3 ||| 0.00276243093923
D5 ||| F4 ||| 0.0530888030888
D5 ||| B4 ||| 0.475
D5 ||| A3 ||| 0.0124584717608
D5 ||| F#4 ||| 0.117647058824
D5 ||| A4 ||| 0.139240506329
D5 ||| B-4 ||| 0.363636363636
D5 ||| B3 ||| 0.0119808306709
D5 ||| E4 ||| 0.00889192886457
D5 ||| D4 ||| 0.0229434806939
D5 ||| A-4 ||| 0.2
D5 ||| C5 ||| 0.0243902439024
D5 ||| C4 ||| 0.00304083405734
D3 ||| G3 ||| 0.000552486187845
D3 ||| B2 ||| 0.375
