3
G4 E4 BAR C4 ||| D4 ||| 0.49999999945
C4 B-3 A3 BAR ||| G3 ||| 0.333333333217
C4 B-3 A3 BAR ||| B-3 ||| 0.166666666617
C4 B-3 A3 BAR ||| A3 ||| 0.166666666617
C4 B-3 A3 BAR ||| B3 ||| 0.166666666617
C4 B-3 A3 BAR ||| D4 ||| 0.166666666617
C4 B-3 A3 BAR ||| <UNK> ||| 1.666666666e-11
C4 BAR C4 B3 ||| <UNK> ||| 1.29870129866e-12
C4 BAR C4 B3 ||| F4 ||| 0.0259740259745
C4 BAR C4 B3 ||| B-3 ||| 0.0129870129879
C4 BAR C4 B3 ||| A3 ||| 0.298701298693
C4 BAR C4 B3 ||| B3 ||| 0.0129870129879
C4 BAR C4 B3 ||| E4 ||| 0.0909090909076
C4 BAR C4 B3 ||| D4 ||| 0.0129870129879
C4 BAR C4 B3 ||| C4 ||| 0.35064935064
C4 BAR C4 B3 ||| G3 ||| 0.1948051948
D4 D4 B3 ||| A3 ||| 0.3333333331
D4 D4 B3 ||| <UNK> ||| 3.33333333067e-11
D4 D4 B3 ||| C4 ||| 0.666666666167
BAR G4 F4 E-4 ||| D4 ||| 0.333333333217
BAR G4 F4 E-4 ||| F4 ||| 0.666666666417
BAR G4 F4 E-4 ||| <UNK> ||| 1.666666666e-11
A3 B3 BAR G3 ||| B-3 ||| 0.249999999875
A3 B3 BAR G3 ||| G4 ||| 0.249999999875
A3 B3 BAR G3 ||| G3 ||| 0.499999999725
A3 B3 BAR G3 ||| <UNK> ||| 2.4999999985e-11
D4 BAR D4 D4 ||| G4 ||| 0.0714285714235
D4 BAR D4 D4 ||| G3 ||| 0.0714285714235
D4 BAR D4 D4 ||| B3 ||| 0.0714285714235
D4 BAR D4 D4 ||| D4 ||| 0.499999999921
D4 BAR D4 D4 ||| C4 ||| 0.285714285672
D4 BAR D4 D4 ||| <UNK> ||| 7.14285714163e-12
A3 B3 A3 BAR ||| A3 ||| 0.249999999875
A3 B3 A3 BAR ||| <UNK> ||| 2.4999999985e-11
A3 B3 A3 BAR ||| G3 ||| 0.249999999875
A3 B3 A3 BAR ||| G#3 ||| 0.249999999875
A3 B3 A3 BAR ||| B3 ||| 0.249999999875
D4 B3 C4 BAR ||| D4 ||| 0.499999999862
D4 B3 C4 BAR ||| <UNK> ||| 1.24999999962e-11
D4 B3 C4 BAR ||| C4 ||| 0.499999999862
G3 G3 BAR G3 ||| F#3 ||| 0.224489795909
G3 G3 BAR G3 ||| G3 ||| 0.244897959174
G3 G3 BAR G3 ||| F3 ||| 0.142857142852
G3 G3 BAR G3 ||| A3 ||| 0.142857142852
G3 G3 BAR G3 ||| R ||| 0.0816326530593
G3 G3 BAR G3 ||| END ||| 0.0204081632663
G3 G3 BAR G3 ||| D4 ||| 0.0204081632663
G3 G3 BAR G3 ||| <UNK> ||| 2.04081632643e-12
G3 G3 BAR G3 ||| D3 ||| 0.0204081632663
G3 G3 BAR G3 ||| E3 ||| 0.0816326530593
G3 G3 BAR G3 ||| C4 ||| 0.0204081632663
C4 G4 BAR G4 ||| D4 ||| 0.166666666617
C4 G4 BAR G4 ||| G4 ||| 0.333333333217
C4 G4 BAR G4 ||| F4 ||| 0.333333333217
C4 G4 BAR G4 ||| A4 ||| 0.166666666617
C4 G4 BAR G4 ||| <UNK> ||| 1.666666666e-11
G4 F#4 G4 ||| E4 ||| 0.166666666617
G4 F#4 G4 ||| G4 ||| 0.333333333217
G4 F#4 G4 ||| F4 ||| 0.333333333217
G4 F#4 G4 ||| C5 ||| 0.166666666617
G4 F#4 G4 ||| <UNK> ||| 1.666666666e-11
D4 B3 C4 ||| A3 ||| 0.3333333331
D4 B3 C4 ||| <UNK> ||| 3.33333333067e-11
D4 B3 C4 ||| D4 ||| 0.3333333331
D4 B3 C4 ||| B3 ||| 0.3333333331
A3 B3 E3 ||| D4 ||| 0.49999999945
A3 B3 E3 ||| F3 ||| 0.49999999945
A3 B3 E3 ||| <UNK> ||| 4.999999994e-11
G3 A3 BAR B3 ||| A3 ||| 0.083333333325
G3 A3 BAR B3 ||| B3 ||| 0.083333333325
G3 A3 BAR B3 ||| E4 ||| 0.083333333325
G3 A3 BAR B3 ||| C4 ||| 0.666666666542
G3 A3 BAR B3 ||| E3 ||| 0.083333333325
G3 A3 BAR B3 ||| <UNK> ||| 8.33333333167e-12
BAR E3 G3 BAR G3 ||| B-3 ||| 0.49999999945
BAR E3 G3 BAR G3 ||| E3 ||| 0.49999999945
BAR E3 G3 BAR G3 ||| <UNK> ||| 4.999999994e-11
E3 BAR A3 G3 ||| A3 ||| 0.153846153825
E3 BAR A3 G3 ||| F3 ||| 0.307692307643
E3 BAR A3 G3 ||| G3 ||| 0.384615384552
E3 BAR A3 G3 ||| F#3 ||| 0.153846153825
E3 BAR A3 G3 ||| <UNK> ||| 7.69230769089e-12
A3 G3 G3 ||| A3 ||| 0.124999999975
A3 G3 G3 ||| F3 ||| 0.124999999975
A3 G3 G3 ||| G3 ||| 0.499999999862
A3 G3 G3 ||| F#3 ||| 0.249999999937
A3 G3 G3 ||| <UNK> ||| 1.24999999962e-11
D4 D4 C#4 BAR ||| D4 ||| 0.599999999732
D4 D4 C#4 BAR ||| F#4 ||| 0.199999999924
D4 D4 C#4 BAR ||| A3 ||| 0.199999999924
D4 D4 C#4 BAR ||| <UNK> ||| 1.99999999904e-11
G4 BAR G4 BAR E4 ||| <UNK> ||| 4.999999994e-11
G4 BAR G4 BAR E4 ||| F4 ||| 0.49999999945
G4 BAR G4 BAR E4 ||| C4 ||| 0.49999999945
BAR G3 A3 A3 ||| G3 ||| 0.833333333017
BAR G3 A3 A3 ||| E3 ||| 0.166666666617
BAR G3 A3 A3 ||| <UNK> ||| 1.666666666e-11
BAR B-3 B-3 B-3 ||| B-3 ||| 0.49999999945
BAR B-3 B-3 B-3 ||| <UNK> ||| 4.999999994e-11
BAR B-3 B-3 B-3 ||| C4 ||| 0.49999999945
F4 D4 G4 BAR ||| E4 ||| 0.749999999575
F4 D4 G4 BAR ||| A4 ||| 0.249999999875
F4 D4 G4 BAR ||| <UNK> ||| 2.4999999985e-11
E4 BAR E4 F4 ||| E4 ||| 0.249999999958
E4 BAR E4 F4 ||| D4 ||| 0.083333333325
E4 BAR E4 F4 ||| G4 ||| 0.249999999958
E4 BAR E4 F4 ||| F4 ||| 0.416666666592
E4 BAR E4 F4 ||| <UNK> ||| 8.33333333167e-12
G4 A4 B-4 ||| A4 ||| 0.666666666167
G4 A4 B-4 ||| C5 ||| 0.3333333331
G4 A4 B-4 ||| <UNK> ||| 3.33333333067e-11
E-4 D4 C4 ||| B-3 ||| 0.599999999732
E-4 D4 C4 ||| D4 ||| 0.399999999828
E-4 D4 C4 ||| <UNK> ||| 1.99999999904e-11
G4 A4 A4 ||| B4 ||| 0.499999999725
G4 A4 A4 ||| F4 ||| 0.499999999725
G4 A4 A4 ||| <UNK> ||| 2.4999999985e-11
BAR F3 G3 G3 ||| F3 ||| 0.111111111093
BAR F3 G3 G3 ||| G3 ||| 0.111111111093
BAR F3 G3 G3 ||| A3 ||| 0.111111111093
BAR F3 G3 G3 ||| B3 ||| 0.111111111093
BAR F3 G3 G3 ||| <UNK> ||| 1.11111111081e-11
BAR F3 G3 G3 ||| E3 ||| 0.444444444337
BAR F3 G3 G3 ||| C4 ||| 0.111111111093
B3 BAR E4 D4 ||| D4 ||| 0.142857142822
B3 BAR E4 D4 ||| <UNK> ||| 1.42857142808e-11
B3 BAR E4 D4 ||| C4 ||| 0.857142856863
BAR F3 E3 D3 ||| C3 ||| 0.499999999921
BAR F3 E3 D3 ||| A3 ||| 0.285714285672
BAR F3 E3 D3 ||| E3 ||| 0.214285714256
BAR F3 E3 D3 ||| <UNK> ||| 7.14285714163e-12
B#3 A#3 G#3 BAR ||| C#4 ||| 0.49999999945
B#3 A#3 G#3 BAR ||| <UNK> ||| 4.999999994e-11
B#3 A#3 G#3 BAR ||| B#3 ||| 0.49999999945
G3 G3 BAR G3 BAR ||| <UNK> ||| 1.42857142808e-11
G3 G3 BAR G3 BAR ||| R ||| 0.428571428439
G3 G3 BAR G3 BAR ||| G3 ||| 0.428571428439
G3 G3 BAR G3 BAR ||| C4 ||| 0.142857142822
G4 F#4 E4 ||| D4 ||| 0.49999999945
G4 F#4 E4 ||| A4 ||| 0.49999999945
G4 F#4 E4 ||| <UNK> ||| 4.999999994e-11
B3 E4 BAR E4 ||| F4 ||| 0.099999999986
B3 E4 BAR E4 ||| B3 ||| 0.199999999962
B3 E4 BAR E4 ||| E4 ||| 0.199999999962
B3 E4 BAR E4 ||| D4 ||| 0.399999999914
B3 E4 BAR E4 ||| C4 ||| 0.099999999986
B3 E4 BAR E4 ||| <UNK> ||| 9.9999999976e-12
E-4 D4 E-4 BAR ||| B-3 ||| 0.857142856863
E-4 D4 E-4 BAR ||| <UNK> ||| 1.42857142808e-11
E-4 D4 E-4 BAR ||| E-4 ||| 0.142857142822
BAR C4 B3 A3 ||| F3 ||| 0.0312500000008
BAR C4 B3 A3 ||| F4 ||| 0.0312500000008
BAR C4 B3 A3 ||| E4 ||| 0.0312500000008
BAR C4 B3 A3 ||| G#3 ||| 0.0312500000008
BAR C4 B3 A3 ||| A3 ||| 0.0312500000008
BAR C4 B3 A3 ||| B3 ||| 0.406249999973
BAR C4 B3 A3 ||| G3 ||| 0.343749999977
BAR C4 B3 A3 ||| D4 ||| 0.0312500000008
BAR C4 B3 A3 ||| <UNK> ||| 3.12499999977e-12
BAR C4 B3 A3 ||| E3 ||| 0.0312500000008
BAR C4 B3 A3 ||| C4 ||| 0.0312500000008
E4 F4 F4 BAR ||| E4 ||| 0.249999999937
E4 F4 F4 BAR ||| G4 ||| 0.3749999999
E4 F4 F4 BAR ||| F4 ||| 0.3749999999
E4 F4 F4 BAR ||| <UNK> ||| 1.24999999962e-11
E3 E3 BAR A3 ||| A3 ||| 0.111111111093
E3 E3 BAR A3 ||| G3 ||| 0.888888888663
E3 E3 BAR A3 ||| <UNK> ||| 1.11111111081e-11
BAR C4 G3 A3 ||| B-3 ||| 0.799999999818
BAR C4 G3 A3 ||| D4 ||| 0.199999999962
BAR C4 G3 A3 ||| <UNK> ||| 9.9999999976e-12
G3 G3 B3 BAR ||| A3 ||| 0.749999999575
G3 G3 B3 BAR ||| <UNK> ||| 2.4999999985e-11
G3 G3 B3 BAR ||| C4 ||| 0.249999999875
BAR B3 C4 D4 ||| G3 ||| 0.176470588216
BAR B3 C4 D4 ||| B3 ||| 0.0588235294093
BAR B3 C4 D4 ||| E4 ||| 0.352941176427
BAR B3 C4 D4 ||| D4 ||| 0.117647058813
BAR B3 C4 D4 ||| C4 ||| 0.294117647023
BAR B3 C4 D4 ||| <UNK> ||| 5.88235294035e-12
A4 A4 BAR A4 ||| G4 ||| 0.49999999945
A4 A4 BAR A4 ||| B-4 ||| 0.49999999945
A4 A4 BAR A4 ||| <UNK> ||| 4.999999994e-11
G3 B3 BAR A3 ||| D4 ||| 0.499999999725
G3 B3 BAR A3 ||| G3 ||| 0.499999999725
G3 B3 BAR A3 ||| <UNK> ||| 2.4999999985e-11
BAR G3 C4 BAR C4 ||| <UNK> ||| 2.4999999985e-11
BAR G3 C4 BAR C4 ||| B3 ||| 0.249999999875
BAR G3 C4 BAR C4 ||| G3 ||| 0.499999999725
BAR G3 C4 BAR C4 ||| C4 ||| 0.249999999875
E4 C4 BAR C4 ||| <UNK> ||| 1.42857142808e-11
E4 C4 BAR C4 ||| C4 ||| 0.428571428439
E4 C4 BAR C4 ||| G4 ||| 0.142857142822
E4 C4 BAR C4 ||| G3 ||| 0.285714285631
E4 C4 BAR C4 ||| B3 ||| 0.142857142822
E3 BAR G3 G3 ||| A3 ||| 0.399999999828
E3 BAR G3 G3 ||| F3 ||| 0.199999999924
E3 BAR G3 G3 ||| G3 ||| 0.399999999828
E3 BAR G3 G3 ||| <UNK> ||| 1.99999999904e-11
BAR A3 G#3 A3 BAR ||| <UNK> ||| 3.33333333067e-11
BAR A3 G#3 A3 BAR ||| B3 ||| 0.666666666167
BAR A3 G#3 A3 BAR ||| C4 ||| 0.3333333331
F4 E-4 F4 ||| E-4 ||| 0.624999999825
F4 E-4 F4 ||| F4 ||| 0.3749999999
F4 E-4 F4 ||| <UNK> ||| 1.24999999962e-11
BAR B3 B3 BAR C4 ||| <UNK> ||| 1.99999999904e-11
BAR B3 B3 BAR C4 ||| D4 ||| 0.199999999924
BAR B3 B3 BAR C4 ||| G4 ||| 0.399999999828
BAR B3 B3 BAR C4 ||| F4 ||| 0.199999999924
BAR B3 B3 BAR C4 ||| B3 ||| 0.199999999924
BAR B-3 B-3 C4 ||| B-3 ||| 0.49999999945
BAR B-3 B-3 C4 ||| D4 ||| 0.49999999945
BAR B-3 B-3 C4 ||| <UNK> ||| 4.999999994e-11
D4 D4 D4 ||| C#4 ||| 0.099999999986
D4 D4 D4 ||| A3 ||| 0.099999999986
D4 D4 D4 ||| B3 ||| 0.099999999986
D4 D4 D4 ||| D4 ||| 0.199999999962
D4 D4 D4 ||| C4 ||| 0.49999999989
D4 D4 D4 ||| <UNK> ||| 9.9999999976e-12
C4 BAR C4 G4 ||| G4 ||| 0.599999999732
C4 BAR C4 G4 ||| F4 ||| 0.399999999828
C4 BAR C4 G4 ||| <UNK> ||| 1.99999999904e-11
BAR E4 F4 G4 BAR ||| <UNK> ||| 2.4999999985e-11
BAR E4 F4 G4 BAR ||| G4 ||| 0.249999999875
BAR E4 F4 G4 BAR ||| F4 ||| 0.499999999725
BAR E4 F4 G4 BAR ||| C4 ||| 0.249999999875
BAR E3 D3 E3 ||| F3 ||| 0.49999999945
BAR E3 D3 E3 ||| D3 ||| 0.49999999945
BAR E3 D3 E3 ||| <UNK> ||| 4.999999994e-11
G3 B-3 BAR B-3 ||| A3 ||| 0.49999999945
G3 B-3 BAR B-3 ||| <UNK> ||| 4.999999994e-11
G3 B-3 BAR B-3 ||| B3 ||| 0.49999999945
BAR C4 B3 BAR E4 ||| E4 ||| 0.49999999945
BAR C4 B3 BAR E4 ||| END ||| 0.49999999945
BAR C4 B3 BAR E4 ||| <UNK> ||| 4.999999994e-11
B3 C#4 BAR D4 ||| C#4 ||| 0.3333333331
B3 C#4 BAR D4 ||| D4 ||| 0.3333333331
B3 C#4 BAR D4 ||| <UNK> ||| 3.33333333067e-11
B3 C#4 BAR D4 ||| C4 ||| 0.3333333331
B3 BAR G3 C4 BAR ||| <UNK> ||| 3.33333333067e-11
B3 BAR G3 C4 BAR ||| F4 ||| 0.3333333331
B3 BAR G3 C4 BAR ||| C4 ||| 0.666666666167
BAR C4 C4 A3 ||| B-3 ||| 0.166666666617
BAR C4 C4 A3 ||| A3 ||| 0.166666666617
BAR C4 C4 A3 ||| G3 ||| 0.499999999817
BAR C4 C4 A3 ||| D4 ||| 0.166666666617
BAR C4 C4 A3 ||| <UNK> ||| 1.666666666e-11
F4 F4 BAR E4 ||| E4 ||| 0.199999999924
F4 F4 BAR E4 ||| D4 ||| 0.199999999924
F4 F4 BAR E4 ||| R ||| 0.399999999828
F4 F4 BAR E4 ||| A4 ||| 0.199999999924
F4 F4 BAR E4 ||| <UNK> ||| 1.99999999904e-11
B3 BAR C4 G3 BAR ||| A3 ||| 0.3333333331
B3 BAR C4 G3 BAR ||| G3 ||| 0.666666666167
B3 BAR C4 G3 BAR ||| <UNK> ||| 3.33333333067e-11
D4 C4 BAR B-3 ||| A3 ||| 0.666666666167
D4 C4 BAR B-3 ||| D4 ||| 0.3333333331
D4 C4 BAR B-3 ||| <UNK> ||| 3.33333333067e-11
E-4 E-4 F4 BAR ||| G4 ||| 0.666666666167
E-4 E-4 F4 BAR ||| F4 ||| 0.3333333331
E-4 E-4 F4 BAR ||| <UNK> ||| 3.33333333067e-11
BAR B3 BAR C4 C4 ||| A3 ||| 0.49999999945
BAR B3 BAR C4 C4 ||| <UNK> ||| 4.999999994e-11
BAR B3 BAR C4 C4 ||| B3 ||| 0.49999999945
BAR D4 BAR F4 ||| E4 ||| 0.49999999945
BAR D4 BAR F4 ||| G4 ||| 0.49999999945
BAR D4 BAR F4 ||| <UNK> ||| 4.999999994e-11
BAR G4 D4 D4 ||| C#4 ||| 0.249999999875
BAR G4 D4 D4 ||| <UNK> ||| 2.4999999985e-11
BAR G4 D4 D4 ||| C4 ||| 0.749999999575
D4 C4 D4 BAR ||| <UNK> ||| 6.24999999906e-12
D4 C4 D4 BAR ||| E4 ||| 0.499999999931
D4 C4 D4 BAR ||| D4 ||| 0.187499999978
D4 C4 D4 BAR ||| R ||| 0.124999999987
D4 C4 D4 BAR ||| C4 ||| 0.187499999978
B-3 C4 D4 ||| E4 ||| 0.49999999945
B-3 C4 D4 ||| G3 ||| 0.49999999945
B-3 C4 D4 ||| <UNK> ||| 4.999999994e-11
E4 C4 B3 BAR ||| E4 ||| 0.49999999945
E4 C4 B3 BAR ||| A3 ||| 0.49999999945
E4 C4 B3 BAR ||| <UNK> ||| 4.999999994e-11
D4 E4 C4 ||| G4 ||| 0.299999999938
D4 E4 C4 ||| F4 ||| 0.099999999986
D4 E4 C4 ||| C#4 ||| 0.099999999986
D4 E4 C4 ||| A3 ||| 0.099999999986
D4 E4 C4 ||| A4 ||| 0.199999999962
D4 E4 C4 ||| D4 ||| 0.199999999962
D4 E4 C4 ||| <UNK> ||| 9.9999999976e-12
F3 BAR G3 G3 ||| A3 ||| 0.142857142822
F3 BAR G3 G3 ||| F3 ||| 0.714285714055
F3 BAR G3 G3 ||| G3 ||| 0.142857142822
F3 BAR G3 G3 ||| <UNK> ||| 1.42857142808e-11
BAR G3 F#3 B3 ||| <UNK> ||| 1.24999999962e-11
BAR G3 F#3 B3 ||| E4 ||| 0.124999999975
BAR G3 F#3 B3 ||| C4 ||| 0.624999999825
BAR G3 F#3 B3 ||| G3 ||| 0.124999999975
BAR G3 F#3 B3 ||| B3 ||| 0.124999999975
G3 C4 BAR A3 ||| A3 ||| 0.49999999945
G3 C4 BAR A3 ||| <UNK> ||| 4.999999994e-11
G3 C4 BAR A3 ||| B3 ||| 0.49999999945
BAR A3 G3 F3 ||| <UNK> ||| 3.99999999962e-12
BAR A3 G3 F3 ||| G3 ||| 0.359999999969
BAR A3 G3 F3 ||| E3 ||| 0.599999999946
BAR A3 G3 F3 ||| C4 ||| 0.0400000000002
BAR G3 G3 BAR F3 ||| F3 ||| 0.3333333331
BAR G3 G3 BAR F3 ||| G3 ||| 0.666666666167
BAR G3 G3 BAR F3 ||| <UNK> ||| 3.33333333067e-11
D4 D4 BAR E4 ||| G4 ||| 0.181818181788
D4 D4 BAR E4 ||| F4 ||| 0.181818181788
D4 D4 BAR E4 ||| A3 ||| 0.0909090908983
D4 D4 BAR E4 ||| B3 ||| 0.181818181788
D4 D4 BAR E4 ||| E4 ||| 0.181818181788
D4 D4 BAR E4 ||| D4 ||| 0.181818181788
D4 D4 BAR E4 ||| <UNK> ||| 9.09090908893e-12
G4 A4 F4 ||| G4 ||| 0.49999999945
G4 A4 F4 ||| F#4 ||| 0.49999999945
G4 A4 F4 ||| <UNK> ||| 4.999999994e-11
B3 C4 A3 BAR ||| A3 ||| 0.499999999725
B3 C4 A3 BAR ||| <UNK> ||| 2.4999999985e-11
B3 C4 A3 BAR ||| G#3 ||| 0.249999999875
B3 C4 A3 BAR ||| B3 ||| 0.249999999875
D4 C4 B3 BAR ||| G4 ||| 0.0312500000008
D4 C4 B3 BAR ||| A3 ||| 0.187499999989
D4 C4 B3 BAR ||| R ||| 0.0624999999984
D4 C4 B3 BAR ||| B3 ||| 0.0312500000008
D4 C4 B3 BAR ||| E4 ||| 0.156249999991
D4 C4 B3 BAR ||| D4 ||| 0.0624999999984
D4 C4 B3 BAR ||| <UNK> ||| 3.12499999977e-12
D4 C4 B3 BAR ||| C4 ||| 0.468749999968
G3 G3 G3 BAR ||| <UNK> ||| 4.16666666625e-12
G3 G3 G3 BAR ||| A3 ||| 0.208333333317
G3 G3 G3 BAR ||| F3 ||| 0.0416666666667
G3 G3 G3 BAR ||| G3 ||| 0.708333333267
G3 G3 G3 BAR ||| C4 ||| 0.0416666666667
B-3 BAR B-3 B-3 ||| B-3 ||| 0.142857142822
B-3 BAR B-3 B-3 ||| A-3 ||| 0.428571428439
B-3 BAR B-3 B-3 ||| <UNK> ||| 1.42857142808e-11
B-3 BAR B-3 B-3 ||| C4 ||| 0.428571428439
E4 F4 BAR E4 ||| END ||| 0.749999999787
E4 F4 BAR E4 ||| D4 ||| 0.124999999975
E4 F4 BAR E4 ||| F4 ||| 0.124999999975
E4 F4 BAR E4 ||| <UNK> ||| 1.24999999962e-11
F4 G4 E4 ||| F4 ||| 0.166666666617
F4 G4 E4 ||| D4 ||| 0.499999999817
F4 G4 E4 ||| <UNK> ||| 1.666666666e-11
F4 G4 E4 ||| END ||| 0.166666666617
F4 G4 E4 ||| C4 ||| 0.166666666617
C4 B-3 BAR B-3 ||| B-3 ||| 0.666666666167
C4 B-3 BAR B-3 ||| G3 ||| 0.3333333331
C4 B-3 BAR B-3 ||| <UNK> ||| 3.33333333067e-11
D4 BAR C4 E4 ||| D4 ||| 0.49999999945
D4 BAR C4 E4 ||| F4 ||| 0.49999999945
D4 BAR C4 E4 ||| <UNK> ||| 4.999999994e-11
BAR G3 G3 E3 BAR ||| D3 ||| 0.49999999945
BAR G3 G3 E3 BAR ||| E3 ||| 0.49999999945
BAR G3 G3 E3 BAR ||| <UNK> ||| 4.999999994e-11
D4 G3 A3 BAR ||| A3 ||| 0.399999999828
D4 G3 A3 BAR ||| <UNK> ||| 1.99999999904e-11
D4 G3 A3 BAR ||| B3 ||| 0.599999999732
D4 BAR D4 A3 ||| <UNK> ||| 3.33333333067e-11
