3
1.0 0.25 0.25 BAR ||| 1.0 ||| 0.363621405611
0.75 0.25 BAR 1.0 ||| 1.5 ||| 0.333308335333
0.75 0.25 BAR 1.0 ||| 0.5 ||| 0.333308335333
0.75 0.25 BAR 1.0 ||| 1.0 ||| 0.333308335333
0.75 0.25 BAR 1.0 ||| <UNK> ||| 1.666533344e-06
1.0 1.0 1.0 BAR ||| 1.5 ||| 0.0302307044465
1.0 1.0 1.0 BAR ||| 1.0 ||| 0.542561455506
1.0 1.0 1.0 BAR ||| 4.0 ||| 0.0143198115565
1.0 1.0 1.0 BAR ||| 0.25 ||| 0.000795552599948
1.0 1.0 1.0 BAR ||| 0.5 ||| 0.276849544242
1.0 1.0 1.0 BAR ||| 3.0 ||| 0.0644391241601
1.0 1.0 1.0 BAR ||| 0.75 ||| 0.00159109724445
1.0 1.0 1.0 BAR ||| 2.0 ||| 0.0692123920271
1.0 1.0 1.0 BAR ||| <UNK> ||| 7.95544644502e-09
1.0 BAR 2.0 2.0 BAR ||| 1.0 ||| 0.478251323451
1.0 BAR 2.0 2.0 BAR ||| 4.0 ||| 0.130432495322
1.0 BAR 2.0 2.0 BAR ||| 0.5 ||| 0.0434777882896
1.0 BAR 2.0 2.0 BAR ||| 3.0 ||| 0.130432495322
1.0 BAR 2.0 2.0 BAR ||| 2.0 ||| 0.217387202354
1.0 BAR 2.0 2.0 BAR ||| <UNK> ||| 4.34773535161e-07
BAR 0.75 0.25 1.0 ||| 1.0 ||| 0.399963603494
BAR 0.75 0.25 1.0 ||| 0.5 ||| 0.399963603494
BAR 0.75 0.25 1.0 ||| 0.75 ||| 0.199982801651
BAR 0.75 0.25 1.0 ||| <UNK> ||| 1.99980801843e-06
BAR 2.0 1.0 BAR 2.0 ||| 0.5 ||| 0.0552146226809
BAR 2.0 1.0 BAR 2.0 ||| 1.0 ||| 0.901837896428
BAR 2.0 1.0 BAR 2.0 ||| END ||| 0.0306748176447
BAR 2.0 1.0 BAR 2.0 ||| 0.75 ||| 0.0122699638676
BAR 2.0 1.0 BAR 2.0 ||| <UNK> ||| 6.13495125904e-08
BAR 0.5 0.5 BAR 0.5 ||| 0.25 ||| 0.0666652000469
BAR 0.5 0.5 BAR 0.5 ||| 0.5 ||| 0.866639600866
BAR 0.5 0.5 BAR 0.5 ||| 1.0 ||| 0.0666652000469
BAR 0.5 0.5 BAR 0.5 ||| <UNK> ||| 6.66645334016e-07
0.25 0.5 0.5 ||| <UNK> ||| 1.36985400644e-07
0.25 0.5 0.5 ||| 1.0 ||| 0.45205195911
0.25 0.5 0.5 ||| 2.0 ||| 0.0273972171142
0.25 0.5 0.5 ||| 0.5 ||| 0.479449039239
0.25 0.5 0.5 ||| 0.25 ||| 0.0410957571786
1.0 0.5 BAR 1.0 ||| 0.5 ||| 0.666615004133
1.0 0.5 BAR 1.0 ||| <UNK> ||| 1.666533344e-06
1.0 0.5 BAR 1.0 ||| 1.0 ||| 0.166655000933
1.0 0.5 BAR 1.0 ||| 0.25 ||| 0.166655000933
0.75 0.25 1.0 BAR ||| 0.5 ||| 0.285696123694
0.75 0.25 1.0 BAR ||| 2.0 ||| 0.142848776084
0.75 0.25 1.0 BAR ||| 1.0 ||| 0.571390818915
0.75 0.25 1.0 BAR ||| <UNK> ||| 1.4284734761e-06
BAR 3.0 BAR 2.0 1.0 BAR ||| <UNK> ||| 3.03025895381e-07
BAR 3.0 BAR 2.0 1.0 BAR ||| 0.5 ||| 0.0909080716402
BAR 3.0 BAR 2.0 1.0 BAR ||| 2.0 ||| 0.57574950425
BAR 3.0 BAR 2.0 1.0 BAR ||| 1.0 ||| 0.303026198407
BAR 3.0 BAR 2.0 1.0 BAR ||| 1.5 ||| 0.030302892564
BAR 4.0 BAR 1.0 1.0 ||| 0.5 ||| 0.354833538061
BAR 4.0 BAR 1.0 1.0 ||| <UNK> ||| 3.22575650442e-07
BAR 4.0 BAR 1.0 1.0 ||| 1.0 ||| 0.612894058415
BAR 4.0 BAR 1.0 1.0 ||| 1.5 ||| 0.0322578876198
1.5 0.5 BAR 0.5 ||| 0.25 ||| 0.111109506201
1.5 0.5 BAR 0.5 ||| 0.5 ||| 0.814800699839
1.5 0.5 BAR 0.5 ||| 1.0 ||| 0.0740731275888
1.5 0.5 BAR 0.5 ||| <UNK> ||| 3.70363786125e-07
BAR 1.0 BAR 1.0 ||| 1.0 ||| 0.759687173257
BAR 1.0 BAR 1.0 ||| <UNK> ||| 7.75190914018e-08
BAR 1.0 BAR 1.0 ||| 0.5 ||| 0.224805442584
BAR 1.0 BAR 1.0 ||| 0.75 ||| 0.00775198665927
BAR 1.0 BAR 1.0 ||| 0.25 ||| 0.00775198665927
BAR 1.0 1.0 2.0 BAR ||| 1.5 ||| 0.0168067389308
BAR 1.0 1.0 2.0 BAR ||| 1.0 ||| 0.747896226973
BAR 1.0 1.0 2.0 BAR ||| 4.0 ||| 0.00840341148204
BAR 1.0 1.0 2.0 BAR ||| 0.5 ||| 0.126049995765
BAR 1.0 1.0 2.0 BAR ||| 3.0 ||| 0.00840341148204
BAR 1.0 1.0 2.0 BAR ||| 2.0 ||| 0.0924366859697
BAR 1.0 1.0 2.0 BAR ||| <UNK> ||| 8.40332744876e-08
2.0 1.0 BAR 2.0 ||| 1.0 ||| 0.499971251725
2.0 1.0 BAR 2.0 ||| 2.0 ||| 0.374978751275
2.0 1.0 BAR 2.0 ||| 0.5 ||| 0.124993750375
2.0 1.0 BAR 2.0 ||| <UNK> ||| 1.2499250045e-06
BAR 1.5 0.5 2.0 BAR ||| 1.0 ||| 0.6874800006
BAR 1.5 0.5 2.0 BAR ||| <UNK> ||| 6.24981250562e-07
BAR 1.5 0.5 2.0 BAR ||| 0.5 ||| 0.249993125206
BAR 1.5 0.5 2.0 BAR ||| 8.0 ||| 0.0624987500375
0.5 BAR 2.0 1.0 ||| 1.0 ||| 0.824171586787
0.5 BAR 2.0 1.0 ||| <UNK> ||| 1.09889530253e-07
0.5 BAR 2.0 1.0 ||| 0.5 ||| 0.120878593168
0.5 BAR 2.0 1.0 ||| 0.75 ||| 0.0219780159401
0.5 BAR 2.0 1.0 ||| END ||| 0.0329669689654
2.0 BAR 2.0 2.0 BAR ||| 2.0 ||| 0.388879074336
2.0 BAR 2.0 2.0 BAR ||| 1.0 ||| 0.222216851995
2.0 BAR 2.0 2.0 BAR ||| 4.0 ||| 0.277770926109
2.0 BAR 2.0 2.0 BAR ||| 3.0 ||| 0.111108703768
2.0 BAR 2.0 2.0 BAR ||| <UNK> ||| 5.55540741136e-07
2.0 BAR 3.0 BAR 1.0 ||| 0.5 ||| 0.333308335333
2.0 BAR 3.0 BAR 1.0 ||| 2.0 ||| 0.166655000933
2.0 BAR 3.0 BAR 1.0 ||| 1.0 ||| 0.499961669733
2.0 BAR 3.0 BAR 1.0 ||| <UNK> ||| 1.666533344e-06
0.5 0.5 0.5 ||| 1.5 ||| 0.0136103176698
0.5 0.5 0.5 ||| END ||| 0.00143267142716
0.5 0.5 0.5 ||| 0.25 ||| 0.047994260002
0.5 0.5 0.5 ||| 0.5 ||| 0.599570001581
0.5 0.5 0.5 ||| 0.75 ||| 0.000716339295242
0.5 0.5 0.5 ||| 1.0 ||| 0.301575834702
0.5 0.5 0.5 ||| 2.0 ||| 0.0351002816274
0.5 0.5 0.5 ||| <UNK> ||| 7.1633213192e-09
0.25 0.25 2.0 BAR ||| <UNK> ||| 3.03025895381e-07
0.25 0.25 2.0 BAR ||| 0.5 ||| 0.242421019331
0.25 0.25 2.0 BAR ||| 2.0 ||| 0.0606054821021
0.25 0.25 2.0 BAR ||| 1.0 ||| 0.666657272864
0.25 0.25 2.0 BAR ||| 1.5 ||| 0.030302892564
1.0 0.5 0.5 BAR ||| 1.5 ||| 0.0164203647261
1.0 0.5 0.5 BAR ||| 1.0 ||| 0.438423316185
1.0 0.5 0.5 BAR ||| 4.0 ||| 0.024630538879
1.0 0.5 0.5 BAR ||| 0.25 ||| 0.00656815574267
1.0 0.5 0.5 BAR ||| 0.5 ||| 0.351395470164
1.0 0.5 0.5 BAR ||| 3.0 ||| 0.0623973399824
1.0 0.5 0.5 BAR ||| 2.0 ||| 0.100164141086
1.0 0.5 0.5 BAR ||| <UNK> ||| 1.64203483058e-08
BAR 4.0 BAR 0.5 0.5 ||| 0.5 ||| 0.333308335333
BAR 4.0 BAR 0.5 0.5 ||| 2.0 ||| 0.166655000933
BAR 4.0 BAR 0.5 0.5 ||| 1.0 ||| 0.499961669733
BAR 4.0 BAR 0.5 0.5 ||| <UNK> ||| 1.666533344e-06
0.5 BAR 2.0 1.0 BAR ||| 1.5 ||| 0.173909848838
0.5 BAR 2.0 1.0 BAR ||| 1.0 ||| 0.521728676967
0.5 BAR 2.0 1.0 BAR ||| 2.0 ||| 0.26086455587
0.5 BAR 2.0 1.0 BAR ||| 0.5 ||| 0.0434777882896
0.5 BAR 2.0 1.0 BAR ||| <UNK> ||| 4.34773535161e-07
2.0 1.0 BAR 1.0 ||| 0.25 ||| 0.0999962001824
2.0 1.0 BAR 1.0 ||| 0.5 ||| 0.399981800874
2.0 1.0 BAR 1.0 ||| 2.0 ||| 0.0999962001824
2.0 1.0 BAR 1.0 ||| 1.0 ||| 0.399981800874
2.0 1.0 BAR 1.0 ||| <UNK> ||| 9.99952002304e-07
0.5 1.5 0.5 BAR ||| 1.5 ||| 0.0681813016585
0.5 1.5 0.5 BAR ||| 1.0 ||| 0.249997500027
0.5 1.5 0.5 BAR ||| 4.0 ||| 0.0227272520663
0.5 1.5 0.5 BAR ||| 0.5 ||| 0.363632624008
0.5 1.5 0.5 BAR ||| 3.0 ||| 0.113635351251
0.5 1.5 0.5 BAR ||| 2.0 ||| 0.181816425639
0.5 1.5 0.5 BAR ||| <UNK> ||| 2.27270247961e-07
0.75 0.25 1.0 ||| 0.5 ||| 0.121210661178
0.75 0.25 1.0 ||| <UNK> ||| 3.03025895381e-07
0.75 0.25 1.0 ||| 1.0 ||| 0.666657272864
0.75 0.25 1.0 ||| END ||| 0.212118429793
0.5 2.0 BAR 1.0 ||| 1.0 ||| 0.829783103235
0.5 2.0 BAR 1.0 ||| 2.0 ||| 0.0319148370306
0.5 2.0 BAR 1.0 ||| 0.5 ||| 0.138297272525
0.5 2.0 BAR 1.0 ||| <UNK> ||| 1.06382435494e-07
1.5 0.5 BAR 3.0 ||| 0.5 ||| 0.0909060331913
1.5 0.5 BAR 3.0 ||| <UNK> ||| 9.090512414e-07
1.5 0.5 BAR 3.0 ||| 1.0 ||| 0.272716281471
1.5 0.5 BAR 3.0 ||| END ||| 0.636336778032
BAR 1.0 BAR 0.5 ||| 0.5 ||| 0.916654722381
BAR 1.0 BAR 0.5 ||| <UNK> ||| 2.77774074123e-07
BAR 1.0 BAR 0.5 ||| 1.0 ||| 0.0555550925988
BAR 1.0 BAR 0.5 ||| 0.25 ||| 0.0277776851864
0.25 0.5 1.0 ||| 0.5 ||| 0.124996875094
0.25 0.5 1.0 ||| 1.0 ||| 0.6874800006
0.25 0.5 1.0 ||| END ||| 0.18749500015
0.25 0.5 1.0 ||| <UNK> ||| 6.24981250562e-07
1.0 1.0 BAR 3.0 ||| 0.5 ||| 0.129309895959
1.0 1.0 BAR 3.0 ||| 1.0 ||| 0.681031750903
1.0 1.0 BAR 3.0 ||| END ||| 0.189654473844
1.0 1.0 BAR 3.0 ||| <UNK> ||| 8.6206539835e-08
1.0 1.0 BAR 1.0 ||| 1.5 ||| 0.00156128747118
1.0 1.0 BAR 1.0 ||| 1.0 ||| 0.715846734109
1.0 1.0 BAR 1.0 ||| 0.25 ||| 0.00390320696835
1.0 1.0 BAR 1.0 ||| 0.5 ||| 0.252927313501
1.0 1.0 BAR 1.0 ||| 0.75 ||| 0.0109289654599
1.0 1.0 BAR 1.0 ||| 2.0 ||| 0.0148321646218
1.0 1.0 BAR 1.0 ||| <UNK> ||| 7.80639832391e-09
1.0 BAR 0.5 0.5 ||| 1.5 ||| 0.00669344951425
1.0 BAR 0.5 0.5 ||| 1.0 ||| 0.518071969646
1.0 BAR 0.5 0.5 ||| 0.25 ||| 0.00669344951425
1.0 BAR 0.5 0.5 ||| 0.5 ||| 0.425702551088
1.0 BAR 0.5 0.5 ||| 0.75 ||| 0.0214190089945
1.0 BAR 0.5 0.5 ||| 2.0 ||| 0.0214190089945
1.0 BAR 0.5 0.5 ||| <UNK> ||| 1.33868722548e-08
2.0 BAR 2.0 1.0 BAR ||| 1.0 ||| 0.399981800874
2.0 BAR 2.0 1.0 BAR ||| 2.0 ||| 0.199991400413
2.0 BAR 2.0 1.0 BAR ||| 0.5 ||| 0.0999962001824
2.0 BAR 2.0 1.0 BAR ||| 3.0 ||| 0.299986600643
2.0 BAR 2.0 1.0 BAR ||| <UNK> ||| 9.99952002304e-07
0.25 1.0 1.0 BAR ||| 1.0 ||| 0.670882126286
0.25 1.0 1.0 BAR ||| <UNK> ||| 1.26581509378e-07
0.25 1.0 1.0 BAR ||| 0.5 ||| 0.278479447213
0.25 1.0 1.0 BAR ||| 0.75 ||| 0.0253164284571
0.25 1.0 1.0 BAR ||| 1.5 ||| 0.0253164284571
0.25 0.25 BAR 3.0 ||| 0.5 ||| 0.0909060331913
0.25 0.25 BAR 3.0 ||| 1.0 ||| 0.454526529751
0.25 0.25 BAR 3.0 ||| END ||| 0.454526529751
0.25 0.25 BAR 3.0 ||| <UNK> ||| 9.090512414e-07
0.5 0.5 1.0 ||| 1.0 ||| 0.661242148822
0.5 0.5 1.0 ||| 0.25 ||| 0.00591717035467
0.5 0.5 1.0 ||| 0.5 ||| 0.244082681716
0.5 0.5 1.0 ||| 0.75 ||| 0.00887574813556
0.5 0.5 1.0 ||| END ||| 0.079881614877
0.5 0.5 1.0 ||| <UNK> ||| 1.47928889045e-08
0.5 BAR 1.5 0.5 ||| 1.0 ||| 0.639988112228
0.5 BAR 1.5 0.5 ||| 2.0 ||| 0.159997328051
0.5 BAR 1.5 0.5 ||| 0.5 ||| 0.199996560066
0.5 BAR 1.5 0.5 ||| <UNK> ||| 3.99992320147e-07
BAR 1.0 BAR ||| <UNK> ||| 5.6497021929e-08
BAR 1.0 BAR ||| 1.0 ||| 0.728811639381
BAR 1.0 BAR ||| 2.0 ||| 0.0508473762331
BAR 1.0 BAR ||| 0.5 ||| 0.203389335441
BAR 1.0 BAR ||| 1.5 ||| 0.0169491630757
0.5 2.0 1.0 BAR ||| 2.0 ||| 0.222211482054
0.5 2.0 1.0 BAR ||| 1.0 ||| 0.444421853057
0.5 2.0 1.0 BAR ||| 3.0 ||| 0.333316667556
0.5 2.0 1.0 BAR ||| <UNK> ||| 1.11105185501e-06
BAR 1.5 0.5 1.0 ||| 0.5 ||| 0.22340322092
BAR 1.5 0.5 1.0 ||| 1.0 ||| 0.680847693544
BAR 1.5 0.5 1.0 ||| END ||| 0.0851060547776
BAR 1.5 0.5 1.0 ||| 0.75 ||| 0.0106383499318
BAR 1.5 0.5 1.0 ||| <UNK> ||| 1.06382435494e-07
0.5 1.0 BAR 0.5 ||| 0.25 ||| 0.103448047959
0.5 1.0 BAR 0.5 ||| 0.5 ||| 0.844825313126
0.5 1.0 BAR 0.5 ||| 1.0 ||| 0.0517240527153
0.5 1.0 BAR 0.5 ||| <UNK> ||| 5.74711058268e-08
1.0 0.5 1.0 ||| 0.5 ||| 0.355929477184
1.0 0.5 1.0 ||| <UNK> ||| 1.69490146521e-07
1.0 0.5 1.0 ||| 1.0 ||| 0.508470609053
1.0 0.5 1.0 ||| 0.25 ||| 0.0847452427506
1.0 0.5 1.0 ||| END ||| 0.0508472134464
BAR 1.0 ||| 1.0 ||| 0.784805484726
BAR 1.0 ||| 2.0 ||| 0.0253164284571
BAR 1.0 ||| 0.5 ||| 0.189872390649
BAR 1.0 ||| <UNK> ||| 1.26581509378e-07
2.0 BAR 1.0 1.0 ||| <UNK> ||| 4.20167219831e-08
2.0 BAR 1.0 1.0 ||| 1.0 ||| 0.689074282539
2.0 BAR 1.0 1.0 ||| 2.0 ||| 0.0336134196032
2.0 BAR 1.0 1.0 ||| 0.5 ||| 0.273108734907
2.0 BAR 1.0 1.0 ||| 1.5 ||| 0.00420171421503
1.0 0.5 2.0 BAR ||| 1.0 ||| 0.599972201334
1.0 0.5 2.0 BAR ||| 2.0 ||| 0.199991400413
1.0 0.5 2.0 BAR ||| 0.5 ||| 0.199991400413
1.0 0.5 2.0 BAR ||| <UNK> ||| 9.99952002304e-07
BAR 0.5 0.5 1.0 ||| 1.5 ||| 0.0133928624575
BAR 0.5 0.5 1.0 ||| 1.0 ||| 0.633928133504
BAR 0.5 0.5 1.0 ||| 0.25 ||| 0.00297620323128
BAR 0.5 0.5 1.0 ||| 0.5 ||| 0.258928401361
BAR 0.5 0.5 1.0 ||| 0.75 ||| 0.00892857993197
BAR 0.5 0.5 1.0 ||| 2.0 ||| 0.0818451945153
BAR 0.5 0.5 1.0 ||| <UNK> ||| 1.48809417517e-08
0.5 BAR 0.5 0.5 ||| 1.5 ||| 0.00564973810205
0.5 BAR 0.5 0.5 ||| 1.0 ||| 0.539547319258
0.5 BAR 0.5 0.5 ||| 0.25 ||| 0.0141243028823
0.5 BAR 0.5 0.5 ||| 0.5 ||| 0.435027686968
0.5 BAR 0.5 0.5 ||| 0.75 ||| 0.0028248831753
0.5 BAR 0.5 0.5 ||| 2.0 ||| 0.0028248831753
0.5 BAR 0.5 0.5 ||| <UNK> ||| 2.82485492675e-08
0.25 0.25 1.0 BAR ||| 1.0 ||| 0.209300221765
0.25 0.25 1.0 BAR ||| 4.0 ||| 0.0465113412687
0.25 0.25 1.0 BAR ||| 0.25 ||| 0.0232557869121
0.25 0.25 1.0 BAR ||| 0.5 ||| 0.209300221765
0.25 0.25 1.0 BAR ||| 3.0 ||| 0.255811330478
0.25 0.25 1.0 BAR ||| 2.0 ||| 0.255811330478
0.25 0.25 1.0 BAR ||| <UNK> ||| 2.32555543566e-07
BAR 1.0 0.75 0.25 ||| 1.0 ||| 0.58063649337
BAR 1.0 0.75 0.25 ||| 2.0 ||| 0.387091103106
BAR 1.0 0.75 0.25 ||| 0.5 ||| 0.0322578876198
BAR 1.0 0.75 0.25 ||| <UNK> ||| 3.22575650442e-07
0.25 0.5 0.5 BAR ||| 1.5 ||| 0.0416662500083
0.25 0.5 0.5 BAR ||| 1.0 ||| 0.374992916808
0.25 0.5 0.5 BAR ||| 0.5 ||| 0.374992916808
0.25 0.5 0.5 BAR ||| 3.0 ||| 0.166663750058
0.25 0.5 0.5 BAR ||| 2.0 ||| 0.0416662500083
0.25 0.5 0.5 BAR ||| <UNK> ||| 4.166583335e-07
BAR 0.5 0.5 BAR ||| 0.5 ||| 0.254235389271
BAR 0.5 0.5 BAR ||| <UNK> ||| 1.69490146521e-07
BAR 0.5 0.5 BAR ||| 1.0 ||| 0.72880779953
BAR 0.5 0.5 BAR ||| 1.5 ||| 0.0169491841422
BAR 2.0 1.0 BAR 1.0 ||| 1.0 ||| 0.803275610063
BAR 2.0 1.0 BAR 1.0 ||| 2.0 ||| 0.081966972589
BAR 2.0 1.0 BAR 1.0 ||| 0.5 ||| 0.114753728838
BAR 2.0 1.0 BAR 1.0 ||| <UNK> ||| 8.19668906221e-08
BAR 1.0 1.0 1.0 BAR ||| 1.5 ||| 0.0361990616491
BAR 1.0 1.0 1.0 BAR ||| 1.0 ||| 0.416288733853
BAR 1.0 1.0 1.0 BAR ||| 0.5 ||| 0.0814478321495
BAR 1.0 1.0 1.0 BAR ||| 3.0 ||| 0.1221717256
BAR 1.0 1.0 1.0 BAR ||| 2.0 ||| 0.343890701052
BAR 1.0 1.0 1.0 BAR ||| <UNK> ||| 4.52487705004e-08
0.25 0.25 BAR 1.0 ||| 0.5 ||| 0.608683383999
0.25 0.25 BAR 1.0 ||| 2.0 ||| 0.0434777882896
0.25 0.25 BAR 1.0 ||| 1.0 ||| 0.304341909386
0.25 0.25 BAR 1.0 ||| 0.75 ||| 0.0434777882896
0.25 0.25 BAR 1.0 ||| <UNK> ||| 4.34773535161e-07
BAR 1.5 0.25 0.25 ||| <UNK> ||| 6.66645334016e-07
BAR 1.5 0.25 0.25 ||| 1.0 ||| 0.266658800252
BAR 1.5 0.25 0.25 ||| 2.0 ||| 0.266658800252
BAR 1.5 0.25 0.25 ||| 0.5 ||| 0.399987867055
BAR 1.5 0.25 0.25 ||| 1.5 ||| 0.0666652000469
0.5 1.0 1.0 BAR ||| 1.5 ||| 0.0599314747139
0.5 1.0 1.0 BAR ||| 1.0 ||| 0.511985897683
0.5 1.0 1.0 BAR ||| 4.0 ||| 0.0119863086414
0.5 1.0 1.0 BAR ||| 0.25 ||| 0.001712344483
0.5 1.0 1.0 BAR ||| 0.5 ||| 0.287671013558
0.5 1.0 1.0 BAR ||| 3.0 ||| 0.0530821652749
0.5 1.0 1.0 BAR ||| 0.75 ||| 0.00513699920247
0.5 1.0 1.0 BAR ||| 2.0 ||| 0.0684931115125
0.5 1.0 1.0 BAR ||| <UNK> ||| 1.71232735973e-08
0.5 BAR 3.0 1.0 BAR ||| 1.0 ||| 0.743580848236
0.5 BAR 3.0 1.0 BAR ||| <UNK> ||| 2.56407100631e-07
0.5 BAR 3.0 1.0 BAR ||| 0.5 ||| 0.153844516785
0.5 BAR 3.0 1.0 BAR ||| 3.0 ||| 0.0512816765332
0.5 BAR 3.0 1.0 BAR ||| 1.5 ||| 0.0512816765332
1.0 0.5 0.5 ||| 0.5 ||| 0.381294652839
1.0 0.5 0.5 ||| <UNK> ||| 1.79855959837e-08
1.0 0.5 0.5 ||| 1.0 ||| 0.615107400627
1.0 0.5 0.5 ||| 0.25 ||| 0.00359713718233
0.25 BAR 0.5 0.5 ||| 0.5 ||| 0.555541296677
0.25 BAR 0.5 0.5 ||| <UNK> ||| 5.55540741136e-07
0.25 BAR 0.5 0.5 ||| 1.0 ||| 0.388879074336
0.25 BAR 0.5 0.5 ||| 0.25 ||| 0.0555546296543
BAR 1.0 0.5 0.5 ||| 1.5 ||| 0.0244604291496
BAR 1.0 0.5 0.5 ||| 1.0 ||| 0.621582318907
BAR 1.0 0.5 0.5 ||| 0.25 ||| 0.00143886231561
BAR 1.0 0.5 0.5 ||| 0.5 ||| 0.228776834802
BAR 1.0 0.5 0.5 ||| 0.75 ||| 0.00143886231561
BAR 1.0 0.5 0.5 ||| 2.0 ||| 0.122302088194
BAR 1.0 0.5 0.5 ||| <UNK> ||| 1.43884792713e-08
1.0 BAR 2.0 1.0 BAR ||| 1.5 ||| 0.0155038858842
1.0 BAR 2.0 1.0 BAR ||| 1.0 ||| 0.356588522626
1.0 BAR 2.0 1.0 BAR ||| 0.5 ||| 0.03488369479
1.0 BAR 2.0 1.0 BAR ||| 3.0 ||| 0.0930231215074
1.0 BAR 2.0 1.0 BAR ||| 2.0 ||| 0.499999108529
1.0 BAR 2.0 1.0 BAR ||| <UNK> ||| 3.87596178116e-08
1.0 1.0 BAR 4.0 BAR ||| 1.0 ||| 0.608683383999
1.0 1.0 BAR 4.0 BAR ||| 4.0 ||| 0.130432495322
1.0 1.0 BAR 4.0 BAR ||| 0.5 ||| 0.130432495322
1.0 1.0 BAR 4.0 BAR ||| 3.0 ||| 0.0434777882896
1.0 1.0 BAR 4.0 BAR ||| 2.0 ||| 0.0869551418057
1.0 1.0 BAR 4.0 BAR ||| <UNK> ||| 4.34773535161e-07
0.5 0.25 0.25 ||| 1.5 ||| 0.0140187068739
0.5 0.25 0.25 ||| 1.0 ||| 0.504671811951
0.5 0.25 0.25 ||| 0.25 ||| 0.028037367019
0.5 0.25 0.25 ||| 0.5 ||| 0.30841056992
0.5 0.25 0.25 ||| 2.0 ||| 0.144859534895
0.5 0.25 0.25 ||| <UNK> ||| 4.67288671502e-08
BAR 1.0 1.0 0.5 ||| 0.25 ||| 0.0536912398841
BAR 1.0 1.0 0.5 ||| 0.5 ||| 0.932884926656
BAR 1.0 1.0 0.5 ||| 1.0 ||| 0.0134228267495
BAR 1.0 1.0 0.5 ||| <UNK> ||| 2.23713406303e-08
0.25 0.25 0.5 BAR ||| 1.0 ||| 0.153841242785
0.25 0.25 0.5 BAR ||| 0.25 ||| 0.0769210059936
0.25 0.25 0.5 BAR ||| 0.5 ||| 0.384601953159
0.25 0.25 0.5 BAR ||| 3.0 ||| 0.153841242785
0.25 0.25 0.5 BAR ||| 2.0 ||| 0.230761479576
0.25 0.25 0.5 BAR ||| <UNK> ||| 7.69202367913e-07
0.5 BAR 1.0 1.0 ||| <UNK> ||| 3.35569929283e-08
0.5 BAR 1.0 1.0 ||| 1.0 ||| 0.684562689295
0.5 BAR 1.0 1.0 ||| 2.0 ||| 0.0939596137563
0.5 BAR 1.0 1.0 ||| 0.5 ||| 0.201341991127
0.5 BAR 1.0 1.0 ||| 1.5 ||| 0.020134229314
0.5 0.5 1.0 BAR ||| 1.5 ||| 0.041739112983
0.5 0.5 1.0 BAR ||| 1.0 ||| 0.474782229747
