3
F3 E3 F3 BAR ||| F3 ||| 0.0952363945967
A3 B-3 E-4 ||| C4 ||| 0.999530225492
G4 BAR F4 F3 ||| <UNK> ||| 4.99880028793e-06
G4 BAR F4 F3 ||| C4 ||| 0.999765056386
BAR C4 B3 C4 ||| F3 ||| 0.0200000079999
BAR C4 B3 C4 ||| F4 ||| 0.0599996240036
BAR C4 B3 C4 ||| A3 ||| 0.259997704022
BAR C4 B3 C4 ||| B3 ||| 0.0399998160018
BAR C4 B3 C4 ||| G3 ||| 0.219998088018
BAR C4 B3 C4 ||| D4 ||| 0.319997128028
BAR C4 B3 C4 ||| E3 ||| 0.0799994320055
BAR C4 B3 C4 ||| <UNK> ||| 1.99998080018e-07
BAR C4 E4 A4 ||| A3 ||| 0.499885027593
BAR C4 E4 A4 ||| G4 ||| 0.499885027593
BAR C4 E4 A4 ||| <UNK> ||| 4.99880028793e-06
D4 G3 BAR D4 ||| A3 ||| 0.499885027593
D4 G3 BAR D4 ||| G3 ||| 0.499885027593
D4 G3 BAR D4 ||| <UNK> ||| 4.99880028793e-06
G4 BAR F#4 F4 ||| E4 ||| 0.999765056386
G4 BAR F#4 F4 ||| <UNK> ||| 4.99880028793e-06
A3 B3 BAR E3 ||| A3 ||| 0.714261939591
A3 B3 BAR E3 ||| F#3 ||| 0.0714268367942
A3 B3 BAR E3 ||| END ||| 0.142852959327
A3 B3 BAR E3 ||| E3 ||| 0.0714268367942
A3 B3 BAR E3 ||| <UNK> ||| 7.14261225329e-07
BAR B-3 A3 G3 BAR ||| F3 ||| 0.999530225492
BAR B-3 A3 G3 BAR ||| <UNK> ||| 9.99520230289e-06
BAR E3 BAR A3 B3 ||| <UNK> ||| 4.99880028793e-06
BAR E3 BAR A3 B3 ||| C4 ||| 0.999765056386
E4 C4 D4 ||| E4 ||| 0.2499725033
E4 C4 D4 ||| <UNK> ||| 2.499700036e-06
E4 C4 D4 ||| G3 ||| 0.499942506899
E4 C4 D4 ||| B3 ||| 0.2499725033
BAR A4 BAR D4 E4 ||| F4 ||| 0.999530225492
BAR A4 BAR D4 E4 ||| <UNK> ||| 9.99520230289e-06
E4 G3 A3 BAR ||| <UNK> ||| 9.99520230289e-06
E4 G3 A3 BAR ||| B3 ||| 0.999530225492
B3 C4 D4 BAR ||| G3 ||| 0.119999048009
B3 C4 D4 BAR ||| C#4 ||| 0.0799994320055
B3 C4 D4 BAR ||| A3 ||| 0.0200000079999
B3 C4 D4 BAR ||| G#3 ||| 0.0200000079999
B3 C4 D4 BAR ||| B3 ||| 0.0799994320055
B3 C4 D4 BAR ||| E4 ||| 0.659993864059
B3 C4 D4 BAR ||| E3 ||| 0.0200000079999
B3 C4 D4 BAR ||| <UNK> ||| 1.99998080018e-07
BAR G3 BAR R BAR R BAR ||| R ||| 0.999843358396
BAR G3 BAR R BAR R BAR ||| <UNK> ||| 3.33280008532e-06
A2 D3 A2 ||| A3 ||| 0.499885027593
A2 D3 A2 ||| G2 ||| 0.499885027593
A2 D3 A2 ||| <UNK> ||| 4.99880028793e-06
BAR C3 D3 C3 ||| B2 ||| 0.999921672933
BAR C3 D3 C3 ||| <UNK> ||| 1.666533344e-06
B3 G3 C4 BAR ||| F3 ||| 0.166660833567
B3 G3 C4 BAR ||| G3 ||| 0.166660833567
B3 G3 C4 BAR ||| A3 ||| 0.0833308334333
B3 G3 C4 BAR ||| B3 ||| 0.0833308334333
B3 G3 C4 BAR ||| F4 ||| 0.0833308334333
B3 G3 C4 BAR ||| <UNK> ||| 8.33300001333e-07
B3 G3 C4 BAR ||| E3 ||| 0.0833308334333
B3 G3 C4 BAR ||| C4 ||| 0.333320833833
BAR C3 B2 A2 ||| F3 ||| 0.0399996320071
BAR C3 B2 A2 ||| G3 ||| 0.0399996320071
BAR C3 B2 A2 ||| G2 ||| 0.119998096037
BAR C3 B2 A2 ||| A3 ||| 0.0799988640218
BAR C3 B2 A2 ||| G#2 ||| 0.39999272014
BAR C3 B2 A2 ||| B2 ||| 0.0399996320071
BAR C3 B2 A2 ||| C3 ||| 0.0799988640218
BAR C3 B2 A2 ||| <UNK> ||| 3.99992320147e-07
BAR C3 B2 A2 ||| D3 ||| 0.119998096037
BAR C3 B2 A2 ||| E3 ||| 0.0399996320071
BAR C3 B2 A2 ||| A2 ||| 0.0399996320071
BAR C5 B4 BAR ||| A4 ||| 0.999882514098
BAR C5 B4 BAR ||| <UNK> ||| 2.499700036e-06
G3 C3 F3 ||| E3 ||| 0.999843358396
G3 C3 F3 ||| <UNK> ||| 3.33280008532e-06
D4 A3 A3 BAR ||| D4 ||| 0.499885027593
D4 A3 A3 BAR ||| <UNK> ||| 4.99880028793e-06
D4 A3 A3 BAR ||| B3 ||| 0.499885027593
BAR A2 ||| A3 ||| 0.285705204393
BAR A2 ||| B2 ||| 0.714261939591
BAR A2 ||| <UNK> ||| 7.14261225329e-07
BAR C3 R BAR R ||| END ||| 0.999530225492
BAR C3 R BAR R ||| <UNK> ||| 9.99520230289e-06
F3 BAR E3 F#3 BAR ||| G3 ||| 0.999530225492
F3 BAR E3 F#3 BAR ||| <UNK> ||| 9.99520230289e-06
BAR A3 G3 A3 ||| <UNK> ||| 7.69202367913e-07
BAR A3 G3 A3 ||| C#4 ||| 0.0769210059936
BAR A3 G3 A3 ||| B3 ||| 0.769203137115
BAR A3 G3 A3 ||| G3 ||| 0.0769210059936
BAR A3 G3 A3 ||| C4 ||| 0.0769210059936
C3 BAR F3 D3 ||| G3 ||| 0.999843358396
C3 BAR F3 D3 ||| <UNK> ||| 3.33280008532e-06
BAR E4 BAR ||| A3 ||| 0.499885027593
BAR E4 BAR ||| A4 ||| 0.499885027593
BAR E4 BAR ||| <UNK> ||| 4.99880028793e-06
E3 BAR C3 BAR A2 ||| B2 ||| 0.999530225492
E3 BAR C3 BAR A2 ||| <UNK> ||| 9.99520230289e-06
B3 F#3 G3 ||| A3 ||| 0.999530225492
B3 F#3 G3 ||| <UNK> ||| 9.99520230289e-06
E3 D3 BAR G#3 ||| E3 ||| 0.999530225492
E3 D3 BAR G#3 ||| <UNK> ||| 9.99520230289e-06
F2 F3 BAR E3 ||| D3 ||| 0.999530225492
F2 F3 BAR E3 ||| <UNK> ||| 9.99520230289e-06
BAR E3 A3 G3 BAR ||| F#3 ||| 0.199982801651
BAR E3 A3 G3 BAR ||| F3 ||| 0.79992520718
BAR E3 A3 G3 BAR ||| <UNK> ||| 1.99980801843e-06
D3 E3 A3 ||| F3 ||| 0.0624987500375
D3 E3 A3 ||| G3 ||| 0.624981875544
D3 E3 A3 ||| A3 ||| 0.18749500015
D3 E3 A3 ||| END ||| 0.0624987500375
D3 E3 A3 ||| D3 ||| 0.0624987500375
D3 E3 A3 ||| <UNK> ||| 6.24981250562e-07
BAR G#3 A3 F3 ||| E3 ||| 0.999530225492
BAR G#3 A3 F3 ||| <UNK> ||| 9.99520230289e-06
BAR G3 F3 C4 BAR ||| A3 ||| 0.999530225492
BAR G3 F3 C4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR R D4 E4 ||| F4 ||| 0.999530225492
BAR R D4 E4 ||| <UNK> ||| 9.99520230289e-06
BAR C4 C4 R ||| E4 ||| 0.999530225492
BAR C4 C4 R ||| <UNK> ||| 9.99520230289e-06
F4 G4 F#4 BAR ||| E4 ||| 0.999530225492
F4 G4 F#4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR C4 BAR A3 F3 ||| B-3 ||| 0.999530225492
BAR C4 BAR A3 F3 ||| <UNK> ||| 9.99520230289e-06
BAR D3 E3 C3 BAR ||| G3 ||| 0.999530225492
BAR D3 E3 C3 BAR ||| <UNK> ||| 9.99520230289e-06
F#4 BAR B3 C4 ||| D4 ||| 0.999530225492
F#4 BAR B3 C4 ||| <UNK> ||| 9.99520230289e-06
B3 C4 D4 ||| G4 ||| 0.0116279583556
B3 C4 D4 ||| G3 ||| 0.0813950108185
B3 C4 D4 ||| A3 ||| 0.0232558004327
B3 C4 D4 ||| B3 ||| 0.0232558004327
B3 C4 D4 ||| E4 ||| 0.674414956754
B3 C4 D4 ||| <UNK> ||| 1.16278420772e-07
B3 C4 D4 ||| D3 ||| 0.0813950108185
B3 C4 D4 ||| E3 ||| 0.0116279583556
B3 C4 D4 ||| C4 ||| 0.0930228528957
BAR B2 C3 B2 ||| A2 ||| 0.999765056386
BAR B2 C3 B2 ||| <UNK> ||| 4.99880028793e-06
BAR A3 G3 D3 ||| G3 ||| 0.999765056386
BAR A3 G3 D3 ||| <UNK> ||| 4.99880028793e-06
F4 BAR E4 A4 ||| G4 ||| 0.999843358396
F4 BAR E4 A4 ||| <UNK> ||| 3.33280008532e-06
BAR B3 BAR ||| <UNK> ||| 2.499700036e-06
BAR B3 BAR ||| E3 ||| 0.2499725033
BAR B3 BAR ||| C4 ||| 0.749912510499
G4 C4 E4 ||| F#4 ||| 0.999530225492
G4 C4 E4 ||| <UNK> ||| 9.99520230289e-06
E3 E2 BAR C3 ||| <UNK> ||| 9.99520230289e-06
E3 E2 BAR C3 ||| C4 ||| 0.999530225492
BAR F4 F#4 G4 ||| G3 ||| 0.999530225492
BAR F4 F#4 G4 ||| <UNK> ||| 9.99520230289e-06
C4 E3 C3 ||| F3 ||| 0.999530225492
C4 E3 C3 ||| <UNK> ||| 9.99520230289e-06
A2 A3 G3 BAR ||| F#3 ||| 0.428543471305
A2 A3 G3 BAR ||| F3 ||| 0.571390818915
A2 A3 G3 BAR ||| <UNK> ||| 1.4284734761e-06
BAR B2 E3 C3 ||| A2 ||| 0.999530225492
BAR B2 E3 C3 ||| <UNK> ||| 9.99520230289e-06
D4 C4 A3 ||| E4 ||| 0.333308335333
D4 C4 A3 ||| D4 ||| 0.666615004133
D4 C4 A3 ||| <UNK> ||| 1.666533344e-06
G3 C3 C3 BAR ||| F3 ||| 0.176466193896
G3 C3 C3 BAR ||| G3 ||| 0.0588224567777
G3 C3 C3 BAR ||| B2 ||| 0.0588224567777
G3 C3 C3 BAR ||| C3 ||| 0.0588224567777
G3 C3 C3 BAR ||| <UNK> ||| 5.8821868559e-07
G3 C3 C3 BAR ||| D3 ||| 0.117644325337
G3 C3 C3 BAR ||| C4 ||| 0.52939740525
BAR A2 BAR A3 D3 ||| E3 ||| 0.999530225492
BAR A2 BAR A3 D3 ||| <UNK> ||| 9.99520230289e-06
A3 D4 E4 BAR ||| A3 ||| 0.666563349864
A3 D4 E4 BAR ||| F4 ||| 0.333283341332
A3 D4 E4 BAR ||| <UNK> ||| 3.33280008532e-06
G3 BAR C3 C3 ||| <UNK> ||| 2.499700036e-06
G3 BAR C3 C3 ||| D3 ||| 0.499942506899
G3 BAR C3 C3 ||| B3 ||| 0.499942506899
B2 C3 G3 BAR ||| C3 ||| 0.999530225492
B2 C3 G3 BAR ||| <UNK> ||| 9.99520230289e-06
G3 BAR C3 G#3 BAR ||| A3 ||| 0.999530225492
G3 BAR C3 G#3 BAR ||| <UNK> ||| 9.99520230289e-06
E3 BAR D3 C3 ||| F3 ||| 0.19999426685
E3 BAR D3 C3 ||| G3 ||| 0.19999426685
E3 BAR D3 C3 ||| B-2 ||| 0.0666652000469
E3 BAR D3 C3 ||| B2 ||| 0.19999426685
E3 BAR D3 C3 ||| C3 ||| 0.0666652000469
E3 BAR D3 C3 ||| D3 ||| 0.133329733449
E3 BAR D3 C3 ||| E3 ||| 0.133329733449
E3 BAR D3 C3 ||| <UNK> ||| 6.66645334016e-07
F4 G4 G3 BAR ||| <UNK> ||| 6.24981250562e-07
F4 G4 G3 BAR ||| C4 ||| 0.999970625881
D4 G4 F#4 ||| E4 ||| 0.999765056386
D4 G4 F#4 ||| <UNK> ||| 4.99880028793e-06
D3 D4 BAR A3 ||| G3 ||| 0.999530225492
D3 D4 BAR A3 ||| <UNK> ||| 9.99520230289e-06
G4 BAR F4 E4 ||| D4 ||| 0.999968667669
G4 BAR F4 E4 ||| <UNK> ||| 6.66645334016e-07
F#3 G3 E3 ||| C3 ||| 0.499885027593
F#3 G3 E3 ||| A3 ||| 0.499885027593
F#3 G3 E3 ||| <UNK> ||| 4.99880028793e-06
BAR D4 C4 B-3 ||| A3 ||| 0.599972201334
BAR D4 C4 B-3 ||| <UNK> ||| 9.99952002304e-07
BAR D4 C4 B-3 ||| C4 ||| 0.399981800874
A3 C5 BAR C5 ||| B4 ||| 0.999530225492
A3 C5 BAR C5 ||| <UNK> ||| 9.99520230289e-06
D4 G3 BAR E3 ||| A3 ||| 0.999530225492
D4 G3 BAR E3 ||| <UNK> ||| 9.99520230289e-06
BAR C4 C5 BAR G4 ||| <UNK> ||| 9.99520230289e-06
BAR C4 C5 BAR G4 ||| C4 ||| 0.999530225492
BAR E4 D4 D4 ||| <UNK> ||| 9.99520230289e-06
BAR E4 D4 D4 ||| C4 ||| 0.999530225492
F4 G4 B4 BAR ||| A4 ||| 0.999765056386
F4 G4 B4 BAR ||| <UNK> ||| 4.99880028793e-06
D#4 E4 BAR A3 ||| A3 ||| 0.499885027593
D#4 E4 BAR A3 ||| END ||| 0.499885027593
D#4 E4 BAR A3 ||| <UNK> ||| 4.99880028793e-06
C3 F2 F3 BAR ||| E3 ||| 0.999530225492
C3 F2 F3 BAR ||| <UNK> ||| 9.99520230289e-06
BAR F4 R F4 ||| E4 ||| 0.999843358396
BAR F4 R F4 ||| <UNK> ||| 3.33280008532e-06
F#3 G3 B-2 ||| C3 ||| 0.999530225492
F#3 G3 B-2 ||| <UNK> ||| 9.99520230289e-06
E3 D3 BAR C#3 ||| F#3 ||| 0.2499725033
E3 D3 BAR C#3 ||| D3 ||| 0.749912510499
E3 D3 BAR C#3 ||| <UNK> ||| 2.499700036e-06
D3 BAR D3 C3 ||| B-2 ||| 0.199982801651
D3 BAR D3 C3 ||| F3 ||| 0.599944405337
D3 BAR D3 C3 ||| B2 ||| 0.199982801651
D3 BAR D3 C3 ||| <UNK> ||| 1.99980801843e-06
G4 BAR C4 G#4 BAR ||| A4 ||| 0.999530225492
G4 BAR C4 G#4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR D3 G2 BAR E3 ||| A3 ||| 0.999530225492
BAR D3 G2 BAR E3 ||| <UNK> ||| 9.99520230289e-06
G3 F#3 E3 BAR ||| F3 ||| 0.0833308334333
G3 F#3 E3 BAR ||| A3 ||| 0.0833308334333
G3 F#3 E3 BAR ||| B3 ||| 0.4999808341
G3 F#3 E3 BAR ||| D#3 ||| 0.166660833567
G3 F#3 E3 BAR ||| E3 ||| 0.166660833567
G3 F#3 E3 BAR ||| <UNK> ||| 8.33300001333e-07
E4 C4 BAR F4 ||| G4 ||| 0.370364156489
E4 C4 BAR F4 ||| F#4 ||| 0.0370367489763
E4 C4 BAR F4 ||| C#4 ||| 0.0740731275888
E4 C4 BAR F4 ||| F3 ||| 0.0740731275888
E4 C4 BAR F4 ||| R ||| 0.148145884814
E4 C4 BAR F4 ||| E4 ||| 0.148145884814
E4 C4 BAR F4 ||| D4 ||| 0.111109506201
E4 C4 BAR F4 ||| <UNK> ||| 3.70363786125e-07
E4 C4 BAR F4 ||| C4 ||| 0.0370367489763
BAR E3 F3 BAR G3 ||| F3 ||| 0.999530225492
BAR E3 F3 BAR G3 ||| <UNK> ||| 9.99520230289e-06
BAR F3 G3 C3 ||| <UNK> ||| 2.32555543566e-07
BAR F3 G3 C3 ||| F3 ||| 0.0232557869121
BAR F3 G3 C3 ||| END ||| 0.186044667408
BAR F3 G3 C3 ||| A3 ||| 0.162789113052
BAR F3 G3 C3 ||| G#3 ||| 0.0232557869121
BAR F3 G3 C3 ||| R ||| 0.0232557869121
BAR F3 G3 C3 ||| C3 ||| 0.139533558695
BAR F3 G3 C3 ||| G3 ||| 0.0232557869121
BAR F3 G3 C3 ||| C4 ||| 0.325577993548
BAR F3 G3 C3 ||| D3 ||| 0.0232557869121
BAR F3 G3 C3 ||| E3 ||| 0.0232557869121
BAR F3 G3 C3 ||| A2 ||| 0.0465113412687
A3 F3 D#3 ||| E3 ||| 0.999530225492
A3 F3 D#3 ||| <UNK> ||| 9.99520230289e-06
BAR A3 D4 D3 BAR ||| G3 ||| 0.999530225492
BAR A3 D4 D3 BAR ||| <UNK> ||| 9.99520230289e-06
BAR E3 F3 BAR F#3 ||| G3 ||| 0.999530225492
BAR E3 F3 BAR F#3 ||| <UNK> ||| 9.99520230289e-06
BAR F#3 G#3 A3 BAR ||| F3 ||| 0.199982801651
BAR F#3 G#3 A3 BAR ||| G3 ||| 0.199982801651
BAR F#3 G#3 A3 BAR ||| D3 ||| 0.399963603494
BAR F#3 G#3 A3 BAR ||| E3 ||| 0.199982801651
BAR F#3 G#3 A3 BAR ||| <UNK> ||| 1.99980801843e-06
D-4 C4 B3 BAR ||| <UNK> ||| 9.99520230289e-06
D-4 C4 B3 BAR ||| C4 ||| 0.999530225492
C3 BAR F3 C4 BAR ||| <UNK> ||| 3.33280008532e-06
C3 BAR F3 C4 BAR ||| F#3 ||| 0.333283341332
C3 BAR F3 C4 BAR ||| B3 ||| 0.666563349864
F3 BAR D3 G3 ||| C3 ||| 0.999530225492
F3 BAR D3 G3 ||| <UNK> ||| 9.99520230289e-06
E3 F3 B2 BAR ||| C3 ||| 0.999530225492
E3 F3 B2 BAR ||| <UNK> ||| 9.99520230289e-06
D3 G2 BAR A3 ||| G3 ||| 0.999906009023
D3 G2 BAR A3 ||| <UNK> ||| 1.99980801843e-06
F3 C3 B2 BAR ||| A2 ||| 0.999530225492
F3 C3 B2 BAR ||| <UNK> ||| 9.99520230289e-06
C4 E3 F3 ||| G3 ||| 0.999932861747
C4 E3 F3 ||| <UNK> ||| 1.4284734761e-06
A2 G2 F2 ||| B-2 ||| 0.199982801651
A2 G2 F2 ||| F#2 ||| 0.199982801651
A2 G2 F2 ||| <UNK> ||| 1.99980801843e-06
A2 G2 F2 ||| G2 ||| 0.199982801651
A2 G2 F2 ||| E2 ||| 0.399963603494
F3 BAR G3 R ||| G#3 ||| 0.599944405337
F3 BAR G3 R ||| <UNK> ||| 1.99980801843e-06
F3 BAR G3 R ||| E3 ||| 0.199982801651
F3 BAR G3 R ||| C4 ||| 0.199982801651
F#3 E3 BAR E3 ||| A3 ||| 0.499885027593
F#3 E3 BAR E3 ||| B2 ||| 0.499885027593
F#3 E3 BAR E3 ||| <UNK> ||| 4.99880028793e-06
BAR E3 BAR F3 D3 ||| E3 ||| 0.999530225492
BAR E3 BAR F3 D3 ||| <UNK> ||| 9.99520230289e-06
B-3 A3 BAR G3 ||| F#3 ||| 0.124993750375
B-3 A3 BAR G3 ||| F3 ||| 0.124993750375
B-3 A3 BAR G3 ||| A3 ||| 0.499971251725
B-3 A3 BAR G3 ||| R ||| 0.124993750375
B-3 A3 BAR G3 ||| E3 ||| 0.124993750375
B-3 A3 BAR G3 ||| <UNK> ||| 1.2499250045e-06
A3 BAR D4 E4 ||| F4 ||| 0.944419815472
A3 BAR D4 E4 ||| F#4 ||| 0.0555546296543
A3 BAR D4 E4 ||| <UNK> ||| 5.55540741136e-07
A3 A4 BAR E4 ||| D4 ||| 0.333283341332
A3 A4 BAR E4 ||| F4 ||| 0.666563349864
A3 A4 BAR E4 ||| <UNK> ||| 3.33280008532e-06
BAR F3 E3 BAR A2 ||| B2 ||| 0.999530225492
BAR F3 E3 BAR A2 ||| <UNK> ||| 9.99520230289e-06
BAR C4 C4 F3 BAR ||| F3 ||| 0.999530225492
BAR C4 C4 F3 BAR ||| <UNK> ||| 9.99520230289e-06
B3 C4 E3 ||| C3 ||| 0.124993750375
B3 C4 E3 ||| F3 ||| 0.874948753075
B3 C4 E3 ||| <UNK> ||| 1.2499250045e-06
BAR E3 BAR A3 BAR C4 ||| C3 ||| 0.999530225492
BAR E3 BAR A3 BAR C4 ||| <UNK> ||| 9.99520230289e-06
C3 BAR B2 G2 ||| C3 ||| 0.499885027593
C3 BAR B2 G2 ||| A2 ||| 0.499885027593
C3 BAR B2 G2 ||| <UNK> ||| 4.99880028793e-06
D4 D4 B3 ||| <UNK> ||| 4.99880028793e-06
D4 D4 B3 ||| C4 ||| 0.999765056386
D3 BAR E-3 D3 ||| C#3 ||| 0.999530225492
D3 BAR E-3 D3 ||| <UNK> ||| 9.99520230289e-06
B2 A2 E3 ||| A3 ||| 0.499885027593
B2 A2 E3 ||| F#3 ||| 0.499885027593
B2 A2 E3 ||| <UNK> ||| 4.99880028793e-06
BAR F#3 G3 F#3 ||| G3 ||| 0.333283341332
