G#3 ||| G5 ||| 0.00146412884334
E4 ||| B4 ||| 0.0490035935969
E4 ||| B5 ||| 0.027027027027
E4 ||| D4 ||| 0.00296442687747
E4 ||| D5 ||| 0.0526548672566
D#4 ||| F#4 ||| 0.00151285930408
D#4 ||| F#5 ||| 0.151515151515
D#4 ||| B4 ||| 0.0062071218556
D#4 ||| A5 ||| 0.00634920634921
D#4 ||| A4 ||| 0.00187969924812
D#4 ||| E5 ||| 0.00193330111165
D#4 ||| C5 ||| 0.0019995556543
D#3 ||| G4 ||| 0.000246791707799
D#3 ||| F#4 ||| 0.0983358547655
D#3 ||| F#5 ||| 0.040404040404
D#3 ||| B4 ||| 0.00228683436785
D#3 ||| A4 ||| 0.00728383458647
D#3 ||| B3 ||| 0.0164835164835
D#3 ||| E4 ||| 0.000812347684809
D#3 ||| C5 ||| 0.000444345700955
D#3 ||| G#4 ||| 0.00108342361863
E3 ||| G#3 ||| 0.333333333333
E3 ||| G#5 ||| 0.0555555555556
E3 ||| G#4 ||| 0.612134344529
E3 ||| G5 ||| 0.00439238653001
E3 ||| G4 ||| 0.152764067127
E3 ||| F#4 ||| 0.0741301059002
E3 ||| B-3 ||| 0.142857142857
E3 ||| A3 ||| 0.0263157894737
E3 ||| A5 ||| 0.0031746031746
E3 ||| A4 ||| 0.0671992481203
E3 ||| B-4 ||| 0.172995780591
E3 ||| E5 ||| 0.0434992750121
E3 ||| E4 ||| 0.164906580016
E3 ||| D#4 ||| 0.0625
E3 ||| C5 ||| 0.0797600533215
E3 ||| C4 ||| 0.126819126819
E3 ||| C#5 ||| 0.132596685083
E3 ||| C#4 ||| 0.102564102564
E3 ||| A#4 ||| 0.5
E3 ||| G3 ||| 0.0740740740741
E3 ||| F4 ||| 0.0697872340426
E3 ||| B4 ||| 0.0672982685397
E3 ||| B3 ||| 0.373626373626
E3 ||| D4 ||| 0.0909090909091
E3 ||| D5 ||| 0.0296460176991
E2 ||| G4 ||| 0.000740375123396
E2 ||| F#4 ||| 0.00151285930408
E2 ||| C#4 ||| 0.025641025641
E2 ||| A4 ||| 0.00046992481203
E2 ||| G#4 ||| 0.0151679306609
E2 ||| B3 ||| 0.0714285714286
E2 ||| E4 ||| 0.00649878147847
E2 ||| D4 ||| 0.00691699604743
E2 ||| C4 ||| 0.00623700623701
C#4 ||| G5 ||| 0.0161054172767
C#4 ||| G4 ||| 0.00172754195459
C#4 ||| F#4 ||| 0.00151285930408
C#4 ||| F#5 ||| 0.00505050505051
C#4 ||| B4 ||| 0.000653381247958
C#4 ||| A5 ||| 0.015873015873
C#4 ||| A4 ||| 0.0101033834586
C#4 ||| B-4 ||| 0.0464135021097
C#4 ||| E5 ||| 0.038666022233
C#4 ||| E4 ||| 0.000812347684809
C#4 ||| D5 ||| 0.000884955752212
C#3 ||| G4 ||| 0.0103652517275
C#3 ||| F#4 ||| 0.00907715582451
C#3 ||| F4 ||| 0.00851063829787
C#3 ||| B4 ||| 0.000326690623979
C#3 ||| A3 ||| 0.0657894736842
C#3 ||| A4 ||| 0.00281954887218
C#3 ||| B-4 ||| 0.0084388185654
C#3 ||| E5 ||| 0.00241662638956
C#3 ||| E4 ||| 0.0231519090171
C#3 ||| D4 ||| 0.00395256916996
D5 ||| E5 ||| 0.000966650555824
A#3 ||| E5 ||| 0.000483325277912
A#3 ||| E4 ||| 0.000406173842405
A#3 ||| C#5 ||| 0.0220994475138
E-4 ||| E-5 ||| 0.125
E-4 ||| G5 ||| 0.00146412884334
E-4 ||| G4 ||| 0.000246791707799
E-4 ||| C5 ||| 0.000444345700955
E-4 ||| B-4 ||| 0.0042194092827
F#3 ||| B4 ||| 0.00751388435152
F#3 ||| G4 ||| 0.00666337611056
F#3 ||| F#4 ||| 0.0121028744327
F#3 ||| F#5 ||| 0.010101010101
F#3 ||| C#5 ||| 0.00552486187845
F#3 ||| D5 ||| 0.0115044247788
F#3 ||| E-5 ||| 0.375
F#3 ||| E-4 ||| 0.25
F#3 ||| A3 ||| 0.0263157894737
F#3 ||| R ||| 0.00261096605744
F#3 ||| A5 ||| 0.00952380952381
F#3 ||| A4 ||| 0.0596804511278
F#3 ||| A#4 ||| 0.5
F#3 ||| E5 ||| 0.00579990333494
F#3 ||| E4 ||| 0.0129975629569
F#3 ||| D#4 ||| 0.21875
F#3 ||| D#5 ||| 0.222222222222
F#3 ||| D4 ||| 0.0434782608696
F#3 ||| C5 ||| 0.015329926683
D-4 ||| F5 ||| 0.0015625
D-4 ||| B-4 ||| 0.0042194092827
E-3 ||| G5 ||| 0.00146412884334
E-3 ||| G4 ||| 0.000740375123396
E-3 ||| F4 ||| 0.00170212765957
E-3 ||| A4 ||| 0.000234962406015
E-3 ||| B-4 ||| 0.0084388185654
E-3 ||| C5 ||| 0.000222172850478
C2 ||| G4 ||| 0.000493583415597
C2 ||| F4 ||| 0.000851063829787
C2 ||| F#4 ||| 0.00151285930408
C2 ||| E4 ||| 0.000812347684809
C2 ||| C4 ||| 0.002079002079
C2 ||| G3 ||| 0.296296296296
G3 ||| G5 ||| 0.0614934114202
G3 ||| G4 ||| 0.165597235933
G3 ||| F#4 ||| 0.0196671709531
G3 ||| F#5 ||| 0.0151515151515
G3 ||| B-3 ||| 0.285714285714
G3 ||| A5 ||| 0.00952380952381
G3 ||| A4 ||| 0.0704887218045
G3 ||| B-4 ||| 0.248945147679
G3 ||| E5 ||| 0.0231996133398
G3 ||| E4 ||| 0.0686433793664
G3 ||| D#5 ||| 0.0123456790123
G3 ||| A-4 ||| 0.125
G3 ||| C5 ||| 0.0790935347701
G3 ||| C4 ||| 0.039501039501
G3 ||| C#5 ||| 0.0165745856354
G3 ||| C#4 ||| 0.0641025641026
G3 ||| E-5 ||| 0.125
G3 ||| R ||| 0.00261096605744
G3 ||| F4 ||| 0.11914893617
G3 ||| F5 ||| 0.05
G3 ||| C6 ||| 0.153846153846
G3 ||| B4 ||| 0.352172492649
G3 ||| B3 ||| 0.0769230769231
G3 ||| D4 ||| 0.162055335968
G3 ||| D5 ||| 0.104424778761
C#2 ||| E4 ||| 0.000406173842405
A-3 ||| B4 ||| 0.000326690623979
A-3 ||| E4 ||| 0.000406173842405
A-3 ||| F4 ||| 0.000851063829787
A-3 ||| A-4 ||| 0.25
A-3 ||| C5 ||| 0.000444345700955
F2 ||| G4 ||| 0.000246791707799
F2 ||| F4 ||| 0.0102127659574
F2 ||| C#4 ||| 0.025641025641
F2 ||| A4 ||| 0.00234962406015
F2 ||| B4 ||| 0.000653381247958
F2 ||| E-4 ||| 0.25
F2 ||| A3 ||| 0.131578947368
F2 ||| G#4 ||| 0.00108342361863
F2 ||| B3 ||| 0.032967032967
F2 ||| E4 ||| 0.00203086921202
F2 ||| D4 ||| 0.00691699604743
F2 ||| C4 ||| 0.027027027027
F3 ||| G#4 ||| 0.0303358613218
F3 ||| G5 ||| 0.00439238653001
F3 ||| G4 ||| 0.0493583415597
F3 ||| G3 ||| 0.037037037037
F3 ||| A3 ||| 0.236842105263
F3 ||| A5 ||| 0.00952380952381
F3 ||| A4 ||| 0.175046992481
F3 ||| B-4 ||| 0.0590717299578
F3 ||| E5 ||| 0.00483325277912
F3 ||| E4 ||| 0.0292445166531
F3 ||| D#4 ||| 0.09375
F3 ||| A-4 ||| 0.125
F3 ||| C5 ||| 0.105976449678
F3 ||| C4 ||| 0.201663201663
F3 ||| C#5 ||| 0.0220994475138
F3 ||| C#4 ||| 0.025641025641
F3 ||| E-5 ||| 0.125
F3 ||| E-4 ||| 0.5
F3 ||| F4 ||| 0.154893617021
F3 ||| F5 ||| 0.03125
F3 ||| B4 ||| 0.0460633779811
F3 ||| B5 ||| 0.0540540540541
F3 ||| B3 ||| 0.0494505494505
F3 ||| D4 ||| 0.160079051383
F3 ||| D5 ||| 0.0265486725664
F4 ||| G5 ||| 0.0483162518302
F4 ||| G4 ||| 0.00172754195459
F4 ||| F4 ||| 0.000851063829787
F4 ||| F5 ||| 0.1640625
F4 ||| C#5 ||| 0.0110497237569
F4 ||| D5 ||| 0.0597345132743
F4 ||| B4 ||| 0.0192747468148
F4 ||| A5 ||| 0.215873015873
F4 ||| G#4 ||| 0.0032502708559
F4 ||| B-4 ||| 0.0126582278481
F4 ||| E5 ||| 0.0140164330594
F4 ||| G#5 ||| 0.0138888888889
F4 ||| D4 ||| 0.00197628458498
F4 ||| C4 ||| 0.002079002079
F4 ||| C6 ||| 0.0769230769231
F4 ||| C5 ||| 0.0486558542546
F4 ||| A4 ||| 0.0166823308271
A#2 ||| C#5 ||| 0.00552486187845
B4 ||| G5 ||| 0.0497803806735
B4 ||| D5 ||| 0.00265486725664
B4 ||| F5 ||| 0.0046875
B4 ||| A5 ||| 0.00634920634921
B4 ||| E5 ||| 0.00483325277912
B4 ||| G#5 ||| 0.0555555555556
B4 ||| D#5 ||| 0.0123456790123
B4 ||| C6 ||| 0.0769230769231
R ||| B4 ||| 0.00359359686377
R ||| R ||| 0.971279373368
R ||| A4 ||| 0.00046992481203
R ||| B-4 ||| 0.0084388185654
R ||| E5 ||| 0.000483325277912
R ||| E4 ||| 0.000406173842405
R ||| D5 ||| 0.000884955752212
R ||| C5 ||| 0.00133303710287
C5 ||| G5 ||| 0.0644216691069
C5 ||| F5 ||| 0.0015625
C5 ||| A5 ||| 0.0222222222222
C5 ||| E5 ||| 0.00773320444659
C5 ||| D5 ||| 0.00132743362832
C5 ||| C6 ||| 0.0769230769231
B2 ||| G4 ||| 0.0222112537019
B2 ||| F#4 ||| 0.036308623298
B2 ||| F4 ||| 0.0434042553191
B2 ||| D5 ||| 0.00840707964602
B2 ||| B4 ||| 0.00457366873571
B2 ||| C4 ||| 0.00831600831601
B2 ||| G#3 ||| 0.666666666667
B2 ||| F3 ||| 0.5
B2 ||| G3 ||| 0.0740740740741
B2 ||| G#4 ||| 0.0574214517876
B2 ||| B3 ||| 0.010989010989
B2 ||| E4 ||| 0.0243704305443
B2 ||| D#4 ||| 0.3125
B2 ||| D#5 ||| 0.0740740740741
B2 ||| D4 ||| 0.110671936759
B2 ||| C5 ||| 0.00111086425239
B2 ||| A4 ||| 0.0143327067669
B3 ||| G#5 ||| 0.0833333333333
B3 ||| G#4 ||| 0.113759479957
B3 ||| G5 ||| 0.0527086383602
B3 ||| G4 ||| 0.103899308983
B3 ||| F#4 ||| 0.0468986384266
B3 ||| F#5 ||| 0.030303030303
B3 ||| A5 ||| 0.0285714285714
B3 ||| A4 ||| 0.0446428571429
B3 ||| E5 ||| 0.0343160947318
B3 ||| E4 ||| 0.0134037367994
B3 ||| D#4 ||| 0.03125
B3 ||| D#5 ||| 0.481481481481
B3 ||| A-4 ||| 0.25
B3 ||| C5 ||| 0.0393245945345
B3 ||| C4 ||| 0.00623700623701
B3 ||| C#5 ||| 0.0220994475138
B3 ||| R ||| 0.00522193211488
B3 ||| F4 ||| 0.0187234042553
B3 ||| F5 ||| 0.0625
B3 ||| B4 ||| 0.0581509310683
B3 ||| B5 ||| 0.027027027027
B3 ||| D4 ||| 0.0306324110672
B3 ||| D5 ||| 0.242477876106
D4 ||| G5 ||| 0.0585651537335
D4 ||| G4 ||| 0.0113524185587
D4 ||| F#4 ||| 0.0514372163389
D4 ||| F#5 ||| 0.348484848485
D4 ||| F5 ||| 0.3296875
D4 ||| C#5 ||| 0.0331491712707
D4 ||| F4 ||| 0.0246808510638
D4 ||| B4 ||| 0.0542306435805
D4 ||| B5 ||| 0.108108108108
D4 ||| R ||| 0.00522193211488
D4 ||| G#5 ||| 0.0416666666667
D4 ||| G#4 ||| 0.0292524377031
D4 ||| B-4 ||| 0.0126582278481
D4 ||| E4 ||| 0.00365556458164
D4 ||| E5 ||| 0.071532141131
D4 ||| A5 ||| 0.0920634920635
D4 ||| D4 ||| 0.00592885375494
D4 ||| D5 ||| 0.137168141593
D4 ||| C5 ||| 0.0377693845812
D4 ||| A4 ||| 0.0502819548872
C4 ||| G5 ||| 0.165446559297
C4 ||| G4 ||| 0.171026653504
C4 ||| F#4 ||| 0.052950075643
C4 ||| F#5 ||| 0.0555555555556
C4 ||| F5 ||| 0.0546875
C4 ||| F4 ||| 0.016170212766
C4 ||| D5 ||| 0.111504424779
C4 ||| B4 ||| 0.0228683436785
C4 ||| C4 ||| 0.027027027027
C4 ||| R ||| 0.00783289817232
C4 ||| G#5 ||| 0.0138888888889
C4 ||| G#4 ||| 0.0130010834236
C4 ||| B-4 ||| 0.084388185654
C4 ||| E4 ||| 0.0304630381803
C4 ||| E5 ||| 0.246495891735
C4 ||| A5 ||| 0.0349206349206
C4 ||| D4 ||| 0.00691699604743
C4 ||| D#5 ||| 0.0123456790123
C4 ||| C6 ||| 0.230769230769
C4 ||| C5 ||| 0.189735614308
C4 ||| A4 ||| 0.0688439849624
D2 ||| F4 ||| 0.00170212765957
D2 ||| A3 ||| 0.0131578947368
D2 ||| F#4 ||| 0.00907715582451
D2 ||| A4 ||| 0.000234962406015
D2 ||| E4 ||| 0.000406173842405
D2 ||| D4 ||| 0.00296442687747
D2 ||| C5 ||| 0.000222172850478
D3 ||| G#4 ||| 0.0411700975081
D3 ||| G4 ||| 0.0498519249753
D3 ||| F#4 ||| 0.341906202723
D3 ||| F#5 ||| 0.020202020202
D3 ||| B-3 ||| 0.142857142857
D3 ||| A3 ||| 0.302631578947
D3 ||| A4 ||| 0.106203007519
D3 ||| B-4 ||| 0.0632911392405
D3 ||| E5 ||| 0.00434992750121
D3 ||| E4 ||| 0.0544272948822
D3 ||| A-4 ||| 0.125
D3 ||| C5 ||| 0.0359920017774
D3 ||| C4 ||| 0.120582120582
D3 ||| C#5 ||| 0.00552486187845
D3 ||| C#4 ||| 0.0128205128205
D3 ||| G3 ||| 0.037037037037
D3 ||| F4 ||| 0.294468085106
D3 ||| F5 ||| 0.0125
D3 ||| B4 ||| 0.0682783404116
D3 ||| B3 ||| 0.131868131868
D3 ||| D4 ||| 0.127470355731
D3 ||| D5 ||| 0.0402654867257
