3
B4 D5 BAR D5 ||| D5 ||| 0.153841242785
BAR B4 A4 BAR G4 ||| C5 ||| 0.999530225492
BAR B4 A4 BAR G4 ||| <UNK> ||| 9.99520230289e-06
BAR G4 BAR A4 G#4 ||| A4 ||| 0.999765056386
BAR G4 BAR A4 G#4 ||| <UNK> ||| 4.99880028793e-06
B4 E4 A4 BAR ||| A4 ||| 0.999765056386
B4 E4 A4 BAR ||| <UNK> ||| 4.99880028793e-06
C5 F5 BAR E5 ||| E5 ||| 0.999530225492
C5 F5 BAR E5 ||| <UNK> ||| 9.99520230289e-06
F#4 BAR D4 BAR B4 ||| A4 ||| 0.999530225492
F#4 BAR D4 BAR B4 ||| <UNK> ||| 9.99520230289e-06
D#5 BAR E5 D5 ||| C5 ||| 0.999765056386
D#5 BAR E5 D5 ||| <UNK> ||| 4.99880028793e-06
G#4 A4 E4 BAR ||| E4 ||| 0.499942506899
G#4 A4 E4 BAR ||| R ||| 0.2499725033
G#4 A4 E4 BAR ||| A4 ||| 0.2499725033
G#4 A4 E4 BAR ||| <UNK> ||| 2.499700036e-06
BAR E4 A4 D4 ||| G4 ||| 0.999530225492
BAR E4 A4 D4 ||| <UNK> ||| 9.99520230289e-06
BAR B-4 A4 G4 BAR ||| F4 ||| 0.999530225492
BAR B-4 A4 G4 BAR ||| <UNK> ||| 9.99520230289e-06
A4 E5 BAR E5 ||| <UNK> ||| 3.33280008532e-06
A4 E5 BAR E5 ||| D#5 ||| 0.666563349864
A4 E5 BAR E5 ||| D5 ||| 0.333283341332
BAR G5 G5 A5 ||| B5 ||| 0.499885027593
BAR G5 G5 A5 ||| G5 ||| 0.499885027593
BAR G5 G5 A5 ||| <UNK> ||| 4.99880028793e-06
C4 F4 G4 BAR ||| G4 ||| 0.999530225492
C4 F4 G4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR C4 B3 C4 ||| E4 ||| 0.499942506899
BAR C4 B3 C4 ||| D4 ||| 0.2499725033
BAR C4 B3 C4 ||| <UNK> ||| 2.499700036e-06
BAR C4 B3 C4 ||| C#4 ||| 0.2499725033
BAR G4 E4 E4 ||| D4 ||| 0.333283341332
BAR G4 E4 E4 ||| G4 ||| 0.333283341332
BAR G4 E4 E4 ||| F4 ||| 0.333283341332
BAR G4 E4 E4 ||| <UNK> ||| 3.33280008532e-06
BAR G4 F4 E-4 ||| D4 ||| 0.999530225492
BAR G4 F4 E-4 ||| <UNK> ||| 9.99520230289e-06
F#4 G4 D4 BAR ||| D4 ||| 0.199991400413
F#4 G4 D4 BAR ||| G4 ||| 0.799962601795
F#4 G4 D4 BAR ||| <UNK> ||| 9.99952002304e-07
BAR E4 BAR E4 E4 ||| E4 ||| 0.714238166526
BAR E4 BAR E4 E4 ||| D#4 ||| 0.142848776084
BAR E4 BAR E4 E4 ||| A4 ||| 0.142848776084
BAR E4 BAR E4 E4 ||| <UNK> ||| 1.4284734761e-06
BAR G3 R G3 BAR ||| <UNK> ||| 9.99520230289e-06
BAR G3 R G3 BAR ||| C4 ||| 0.999530225492
BAR B4 R C5 BAR ||| C5 ||| 0.999882514098
BAR B4 R C5 BAR ||| <UNK> ||| 2.499700036e-06
G4 BAR G4 C5 ||| B4 ||| 0.421042521031
G4 BAR G4 C5 ||| A4 ||| 0.0526307756436
G4 BAR G4 C5 ||| B-4 ||| 0.0526307756436
G4 BAR G4 C5 ||| E5 ||| 0.0526307756436
G4 BAR G4 C5 ||| D5 ||| 0.0526307756436
G4 BAR G4 C5 ||| C5 ||| 0.36841227169
G4 BAR G4 C5 ||| <UNK> ||| 5.26302493411e-07
G5 BAR G5 C6 ||| G5 ||| 0.999530225492
G5 BAR G5 C6 ||| <UNK> ||| 9.99520230289e-06
BAR E4 E5 D5 ||| C5 ||| 0.999530225492
BAR E4 E5 D5 ||| <UNK> ||| 9.99520230289e-06
BAR C5 C6 B5 ||| A5 ||| 0.999530225492
BAR C5 C6 B5 ||| <UNK> ||| 9.99520230289e-06
BAR E5 D5 BAR C5 ||| E5 ||| 0.333283341332
BAR E5 D5 BAR C5 ||| D5 ||| 0.666563349864
BAR E5 D5 BAR C5 ||| <UNK> ||| 3.33280008532e-06
BAR B3 C4 BAR A4 ||| A4 ||| 0.999530225492
BAR B3 C4 BAR A4 ||| <UNK> ||| 9.99520230289e-06
C#5 A5 BAR A5 ||| G#5 ||| 0.999530225492
C#5 A5 BAR A5 ||| <UNK> ||| 9.99520230289e-06
E4 F4 B3 ||| D4 ||| 0.499885027593
E4 F4 B3 ||| <UNK> ||| 4.99880028793e-06
E4 F4 B3 ||| C4 ||| 0.499885027593
C5 G4 BAR G4 ||| B4 ||| 0.333308335333
C5 G4 BAR G4 ||| G4 ||| 0.166655000933
C5 G4 BAR G4 ||| A4 ||| 0.499961669733
C5 G4 BAR G4 ||| <UNK> ||| 1.666533344e-06
B4 G4 G5 ||| F5 ||| 0.999530225492
B4 G4 G5 ||| <UNK> ||| 9.99520230289e-06
B4 BAR G4 BAR B4 ||| C5 ||| 0.999530225492
B4 BAR G4 BAR B4 ||| <UNK> ||| 9.99520230289e-06
A3 G3 G3 ||| G#3 ||| 0.999530225492
A3 G3 G3 ||| <UNK> ||| 9.99520230289e-06
BAR B4 B4 C5 BAR ||| C5 ||| 0.999843358396
BAR B4 B4 C5 BAR ||| <UNK> ||| 3.33280008532e-06
BAR A4 G#4 A4 BAR ||| D4 ||| 0.0909060331913
BAR A4 G#4 A4 BAR ||| <UNK> ||| 9.090512414e-07
BAR A4 G#4 A4 BAR ||| A4 ||| 0.727241902172
BAR A4 G#4 A4 BAR ||| G#4 ||| 0.181811157331
BAR B4 BAR B4 B4 ||| C#5 ||| 0.999530225492
BAR B4 BAR B4 B4 ||| <UNK> ||| 9.99520230289e-06
D4 BAR D4 C#4 BAR ||| D4 ||| 0.999530225492
D4 BAR D4 C#4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR D5 BAR C5 B4 ||| C5 ||| 0.999530225492
BAR D5 BAR C5 B4 ||| <UNK> ||| 9.99520230289e-06
G#5 B5 BAR A5 ||| A5 ||| 0.999530225492
G#5 B5 BAR A5 ||| <UNK> ||| 9.99520230289e-06
C4 F4 E4 BAR ||| D4 ||| 0.124993750375
C4 F4 E4 BAR ||| F4 ||| 0.874948753075
C4 F4 E4 BAR ||| <UNK> ||| 1.2499250045e-06
E-5 E-5 BAR D5 ||| C#5 ||| 0.999530225492
E-5 E-5 BAR D5 ||| <UNK> ||| 9.99520230289e-06
C4 C4 F4 ||| E4 ||| 0.999530225492
C4 C4 F4 ||| <UNK> ||| 9.99520230289e-06
G4 BAR F#4 G4 BAR ||| G4 ||| 0.749912510499
G4 BAR F#4 G4 BAR ||| A4 ||| 0.2499725033
G4 BAR F#4 G4 BAR ||| <UNK> ||| 2.499700036e-06
BAR C#5 BAR D5 ||| D5 ||| 0.999530225492
BAR C#5 BAR D5 ||| <UNK> ||| 9.99520230289e-06
B3 BAR E4 D4 ||| E4 ||| 0.399963603494
B3 BAR E4 D4 ||| D4 ||| 0.199982801651
B3 BAR E4 D4 ||| <UNK> ||| 1.99980801843e-06
B3 BAR E4 D4 ||| C4 ||| 0.399963603494
BAR F4 E4 BAR E4 ||| F4 ||| 0.499885027593
BAR F4 E4 BAR E4 ||| A4 ||| 0.499885027593
BAR F4 E4 BAR E4 ||| <UNK> ||| 4.99880028793e-06
D5 D5 E5 BAR ||| F5 ||| 0.222216851995
D5 D5 E5 BAR ||| A4 ||| 0.0555546296543
D5 D5 E5 BAR ||| E5 ||| 0.388879074336
D5 D5 E5 BAR ||| D5 ||| 0.277770926109
D5 D5 E5 BAR ||| C5 ||| 0.0555546296543
D5 D5 E5 BAR ||| <UNK> ||| 5.55540741136e-07
BAR C5 BAR C5 A4 ||| E5 ||| 0.333283341332
BAR C5 BAR C5 A4 ||| A4 ||| 0.666563349864
BAR C5 BAR C5 A4 ||| <UNK> ||| 3.33280008532e-06
BAR E5 B4 E5 ||| D5 ||| 0.999765056386
BAR E5 B4 E5 ||| <UNK> ||| 4.99880028793e-06
F4 BAR F4 C4 ||| <UNK> ||| 3.33280008532e-06
F4 BAR F4 C4 ||| C4 ||| 0.999843358396
B3 E4 BAR E4 ||| <UNK> ||| 1.4284734761e-06
B3 E4 BAR E4 ||| F4 ||| 0.428543471305
B3 E4 BAR E4 ||| A4 ||| 0.428543471305
B3 E4 BAR E4 ||| C4 ||| 0.142848776084
B4 BAR G4 R ||| G4 ||| 0.142852959327
B4 BAR G4 R ||| B4 ||| 0.0714268367942
B4 BAR G4 R ||| R ||| 0.21427908186
B4 BAR G4 R ||| A4 ||| 0.142852959327
B4 BAR G4 R ||| C5 ||| 0.428557449459
B4 BAR G4 R ||| <UNK> ||| 7.14261225329e-07
F5 E5 E5 BAR ||| E5 ||| 0.666649444904
F5 E5 E5 BAR ||| D5 ||| 0.277770926109
F5 E5 E5 BAR ||| C5 ||| 0.0555546296543
F5 E5 E5 BAR ||| <UNK> ||| 5.55540741136e-07
BAR C4 BAR ||| E4 ||| 0.399963603494
BAR C4 BAR ||| <UNK> ||| 1.99980801843e-06
BAR C4 BAR ||| C4 ||| 0.599944405337
E5 G5 BAR G5 ||| G5 ||| 0.2499725033
E5 G5 BAR G5 ||| <UNK> ||| 2.499700036e-06
E5 G5 BAR G5 ||| F5 ||| 0.499942506899
E5 G5 BAR G5 ||| F#5 ||| 0.2499725033
E4 F4 F4 BAR ||| E4 ||| 0.333320833833
E4 F4 F4 BAR ||| G4 ||| 0.0833308334333
E4 F4 F4 BAR ||| F4 ||| 0.583310834233
E4 F4 F4 BAR ||| <UNK> ||| 8.33300001333e-07
G4 BAR A4 G4 BAR ||| <UNK> ||| 1.666533344e-06
G4 BAR A4 G4 BAR ||| G4 ||| 0.499961669733
G4 BAR A4 G4 BAR ||| F4 ||| 0.333308335333
G4 BAR A4 G4 BAR ||| C4 ||| 0.166655000933
BAR F5 F5 BAR E5 BAR ||| R ||| 0.999765056386
BAR F5 F5 BAR E5 BAR ||| <UNK> ||| 4.99880028793e-06
F4 BAR E4 E5 ||| D5 ||| 0.999530225492
F4 BAR E4 E5 ||| <UNK> ||| 9.99520230289e-06
BAR A5 G5 BAR F5 ||| E5 ||| 0.999530225492
BAR A5 G5 BAR F5 ||| <UNK> ||| 9.99520230289e-06
BAR E4 G4 F#4 ||| G4 ||| 0.999530225492
BAR E4 G4 F#4 ||| <UNK> ||| 9.99520230289e-06
F4 E4 BAR E4 ||| F#4 ||| 0.0476187415001
F4 E4 BAR E4 ||| F4 ||| 0.0238094897963
F4 E4 BAR E4 ||| R ||| 0.0238094897963
F4 E4 BAR E4 ||| END ||| 0.166665000019
F4 E4 BAR E4 ||| A4 ||| 0.190474251723
F4 E4 BAR E4 ||| E4 ||| 0.261902006834
F4 E4 BAR E4 ||| D4 ||| 0.214283503427
F4 E4 BAR E4 ||| <UNK> ||| 2.38092517038e-07
F4 E4 BAR E4 ||| C5 ||| 0.0476187415001
F4 E4 BAR E4 ||| G#4 ||| 0.0238094897963
E4 C4 BAR C4 ||| <UNK> ||| 4.99880028793e-06
E4 C4 BAR C4 ||| C4 ||| 0.499885027593
E4 C4 BAR C4 ||| B3 ||| 0.499885027593
B3 E4 BAR D4 ||| E4 ||| 0.499885027593
B3 E4 BAR D4 ||| D4 ||| 0.499885027593
B3 E4 BAR D4 ||| <UNK> ||| 4.99880028793e-06
BAR F#4 G4 BAR G4 ||| F#4 ||| 0.666563349864
BAR F#4 G4 BAR G4 ||| A4 ||| 0.333283341332
BAR F#4 G4 BAR G4 ||| <UNK> ||| 3.33280008532e-06
BAR A4 D4 BAR B-4 ||| A4 ||| 0.999530225492
BAR A4 D4 BAR B-4 ||| <UNK> ||| 9.99520230289e-06
BAR G4 C5 BAR C5 ||| B4 ||| 0.666563349864
BAR G4 C5 BAR C5 ||| C5 ||| 0.333283341332
BAR G4 C5 BAR C5 ||| <UNK> ||| 3.33280008532e-06
D4 D4 D4 ||| D4 ||| 0.499885027593
D4 D4 D4 ||| <UNK> ||| 4.99880028793e-06
D4 D4 D4 ||| C4 ||| 0.499885027593
B4 C5 BAR R ||| C5 ||| 0.999530225492
B4 C5 BAR R ||| <UNK> ||| 9.99520230289e-06
BAR E4 BAR A4 ||| G4 ||| 0.166660833567
BAR E4 BAR A4 ||| B4 ||| 0.2499908337
BAR E4 BAR A4 ||| G#4 ||| 0.166660833567
BAR E4 BAR A4 ||| E4 ||| 0.0833308334333
BAR E4 BAR A4 ||| <UNK> ||| 8.33300001333e-07
BAR E4 BAR A4 ||| C5 ||| 0.166660833567
BAR E4 BAR A4 ||| A4 ||| 0.166660833567
G4 G4 B4 BAR ||| G4 ||| 0.499942506899
G4 G4 B4 BAR ||| A4 ||| 0.2499725033
G4 G4 B4 BAR ||| C5 ||| 0.2499725033
G4 G4 B4 BAR ||| <UNK> ||| 2.499700036e-06
E5 BAR B4 B4 ||| C5 ||| 0.999765056386
E5 BAR B4 B4 ||| <UNK> ||| 4.99880028793e-06
G5 G4 BAR D5 ||| G4 ||| 0.999530225492
G5 G4 BAR D5 ||| <UNK> ||| 9.99520230289e-06
C5 BAR A4 F4 ||| G4 ||| 0.999530225492
C5 BAR A4 F4 ||| <UNK> ||| 9.99520230289e-06
G#4 E4 F4 BAR ||| G4 ||| 0.999530225492
G#4 E4 F4 BAR ||| <UNK> ||| 9.99520230289e-06
E5 BAR F5 A4 ||| B4 ||| 0.499885027593
E5 BAR F5 A4 ||| D5 ||| 0.499885027593
E5 BAR F5 A4 ||| <UNK> ||| 4.99880028793e-06
C5 B-4 C5 BAR ||| D5 ||| 0.999530225492
C5 B-4 C5 BAR ||| <UNK> ||| 9.99520230289e-06
F4 E4 BAR B3 ||| E4 ||| 0.999882514098
F4 E4 BAR B3 ||| <UNK> ||| 2.499700036e-06
C#5 BAR D5 R ||| C5 ||| 0.999530225492
C#5 BAR D5 R ||| <UNK> ||| 9.99520230289e-06
F4 F4 E4 BAR ||| E4 ||| 0.727241902172
F4 F4 E4 BAR ||| D4 ||| 0.0909060331913
F4 F4 E4 BAR ||| G4 ||| 0.181811157331
F4 F4 E4 BAR ||| <UNK> ||| 9.090512414e-07
BAR F#4 B3 B3 ||| <UNK> ||| 9.99520230289e-06
BAR F#4 B3 B3 ||| B3 ||| 0.999530225492
BAR C4 A4 A4 ||| G4 ||| 0.999530225492
BAR C4 A4 A4 ||| <UNK> ||| 9.99520230289e-06
F5 BAR E5 E5 BAR ||| G5 ||| 0.499885027593
F5 BAR E5 E5 BAR ||| F5 ||| 0.499885027593
F5 BAR E5 E5 BAR ||| <UNK> ||| 4.99880028793e-06
F#4 BAR E4 D4 ||| G4 ||| 0.999765056386
F#4 BAR E4 D4 ||| <UNK> ||| 4.99880028793e-06
B-4 BAR C5 C5 BAR ||| C5 ||| 0.999530225492
B-4 BAR C5 C5 BAR ||| <UNK> ||| 9.99520230289e-06
BAR E4 A4 A4 ||| G4 ||| 0.148145884814
BAR E4 A4 A4 ||| B4 ||| 0.0740731275888
BAR E4 A4 A4 ||| G#4 ||| 0.703691564002
BAR E4 A4 A4 ||| E4 ||| 0.0370367489763
BAR E4 A4 A4 ||| D5 ||| 0.0370367489763
BAR E4 A4 A4 ||| <UNK> ||| 3.70363786125e-07
G4 D4 E4 ||| F4 ||| 0.666563349864
G4 D4 E4 ||| F#4 ||| 0.333283341332
G4 D4 E4 ||| <UNK> ||| 3.33280008532e-06
G4 F4 C5 ||| B4 ||| 0.999530225492
G4 F4 C5 ||| <UNK> ||| 9.99520230289e-06
D4 E4 C4 ||| E4 ||| 0.333283341332
D4 E4 C4 ||| G4 ||| 0.333283341332
D4 E4 C4 ||| A4 ||| 0.333283341332
D4 E4 C4 ||| <UNK> ||| 3.33280008532e-06
C5 BAR F5 G5 ||| F5 ||| 0.999530225492
C5 BAR F5 G5 ||| <UNK> ||| 9.99520230289e-06
D#4 BAR E4 G4 ||| G4 ||| 0.499885027593
D#4 BAR E4 G4 ||| F#4 ||| 0.499885027593
D#4 BAR E4 G4 ||| <UNK> ||| 4.99880028793e-06
BAR D4 A4 A4 ||| G4 ||| 0.666563349864
BAR D4 A4 A4 ||| G#4 ||| 0.333283341332
BAR D4 A4 A4 ||| <UNK> ||| 3.33280008532e-06
F#5 G5 BAR G5 ||| G5 ||| 0.222211482054
F#5 G5 BAR G5 ||| D5 ||| 0.111106296553
F#5 G5 BAR G5 ||| F#5 ||| 0.666632224059
F#5 G5 BAR G5 ||| <UNK> ||| 1.11105185501e-06
BAR F#4 BAR E4 ||| F#4 ||| 0.999530225492
BAR F#4 BAR E4 ||| <UNK> ||| 9.99520230289e-06
B4 BAR C5 C5 ||| B4 ||| 0.589736587857
B4 BAR C5 C5 ||| D5 ||| 0.102563096659
B4 BAR C5 C5 ||| C5 ||| 0.282048067101
B4 BAR C5 C5 ||| B-4 ||| 0.0256409664702
B4 BAR C5 C5 ||| <UNK> ||| 2.56407100631e-07
C5 B4 D5 ||| C5 ||| 0.999765056386
C5 B4 D5 ||| <UNK> ||| 4.99880028793e-06
BAR B-4 C5 C5 ||| C5 ||| 0.999530225492
BAR B-4 C5 C5 ||| <UNK> ||| 9.99520230289e-06
C5 A4 BAR B4 BAR ||| B4 ||| 0.999530225492
C5 A4 BAR B4 BAR ||| <UNK> ||| 9.99520230289e-06
B4 G4 C5 ||| B4 ||| 0.999765056386
B4 G4 C5 ||| <UNK> ||| 4.99880028793e-06
G#4 A4 G4 ||| D4 ||| 0.111106296553
G#4 A4 G4 ||| F4 ||| 0.555527038558
G#4 A4 G4 ||| A4 ||| 0.222211482054
G#4 A4 G4 ||| C5 ||| 0.111106296553
G#4 A4 G4 ||| <UNK> ||| 1.11105185501e-06
C#4 A3 A3 BAR ||| D4 ||| 0.999765056386
C#4 A3 A3 BAR ||| <UNK> ||| 4.99880028793e-06
R E5 BAR E5 ||| D5 ||| 0.714238166526
R E5 BAR E5 ||| F5 ||| 0.142848776084
R E5 BAR E5 ||| C5 ||| 0.142848776084
R E5 BAR E5 ||| <UNK> ||| 1.4284734761e-06
C5 BAR C5 B4 ||| G4 ||| 0.344826990356
C5 BAR C5 B4 ||| D5 ||| 0.0076628594706
C5 BAR C5 B4 ||| B4 ||| 0.0268199123618
C5 BAR C5 B4 ||| R ||| 0.0114942700489
C5 BAR C5 B4 ||| A4 ||| 0.256704547057
C5 BAR C5 B4 ||| D#5 ||| 0.00383144889235
C5 BAR C5 B4 ||| C5 ||| 0.348658400935
C5 BAR C5 B4 ||| <UNK> ||| 3.83141057825e-08
BAR D4 E4 E4 BAR ||| E4 ||| 0.499885027593
BAR D4 E4 E4 BAR ||| G#4 ||| 0.499885027593
BAR D4 E4 E4 BAR ||| <UNK> ||| 4.99880028793e-06
BAR C5 BAR D5 ||| D5 ||| 0.499885027593
BAR C5 BAR D5 ||| C5 ||| 0.499885027593
BAR C5 BAR D5 ||| <UNK> ||| 4.99880028793e-06
BAR F4 G4 A4 ||| G4 ||| 0.34999210019
BAR F4 G4 A4 ||| B4 ||| 0.199995700103
BAR F4 G4 A4 ||| G#4 ||| 0.0499993000168
BAR F4 G4 A4 ||| B-4 ||| 0.0999981000456
BAR F4 G4 A4 ||| <UNK> ||| 4.99988000288e-07
BAR F4 G4 A4 ||| C5 ||| 0.0499993000168
BAR F4 G4 A4 ||| A4 ||| 0.249994500132
D5 BAR E5 D5 BAR ||| E5 ||| 0.199982801651
D5 BAR E5 D5 BAR ||| G5 ||| 0.399963603494
D5 BAR E5 D5 BAR ||| C5 ||| 0.399963603494
D5 BAR E5 D5 BAR ||| <UNK> ||| 1.99980801843e-06
BAR E5 E-5 D5 BAR ||| D5 ||| 0.999530225492
BAR E5 E-5 D5 BAR ||| <UNK> ||| 9.99520230289e-06
D#5 E5 C5 ||| B4 ||| 0.999530225492
D#5 E5 C5 ||| <UNK> ||| 9.99520230289e-06
G#4 BAR A4 A4 ||| G4 ||| 0.166663750058
G#4 BAR A4 A4 ||| G#4 ||| 0.249995416758
G#4 BAR A4 A4 ||| B4 ||| 0.166663750058
G#4 BAR A4 A4 ||| A4 ||| 0.374992916808
G#4 BAR A4 A4 ||| B-4 ||| 0.0416662500083
G#4 BAR A4 A4 ||| <UNK> ||| 4.166583335e-07
B-3 C4 C5 BAR ||| B4 ||| 0.999530225492
B-3 C4 C5 BAR ||| <UNK> ||| 9.99520230289e-06
G#4 A4 A3 ||| E4 ||| 0.79992520718
G#4 A4 A3 ||| <UNK> ||| 1.99980801843e-06
G#4 A4 A3 ||| B3 ||| 0.199982801651
D4 E4 F#4 ||| E4 ||| 0.333308335333
D4 E4 F#4 ||| G4 ||| 0.666615004133
D4 E4 F#4 ||| <UNK> ||| 1.666533344e-06
G5 F#5 G5 ||| F5 ||| 0.999765056386
G5 F#5 G5 ||| <UNK> ||| 4.99880028793e-06
BAR A4 C5 BAR D5 ||| D5 ||| 0.499885027593
BAR A4 C5 BAR D5 ||| C5 ||| 0.499885027593
BAR A4 C5 BAR D5 ||| <UNK> ||| 4.99880028793e-06
B4 B4 G4 ||| END ||| 0.999530225492
B4 B4 G4 ||| <UNK> ||| 9.99520230289e-06
BAR D4 R D4 BAR ||| G4 ||| 0.999530225492
BAR D4 R D4 BAR ||| <UNK> ||| 9.99520230289e-06
A5 G5 F#5 ||| E5 ||| 0.333283341332
A5 G5 F#5 ||| G5 ||| 0.666563349864
A5 G5 F#5 ||| <UNK> ||| 3.33280008532e-06
BAR D5 F#5 G5 ||| D5 ||| 0.333308335333
BAR D5 F#5 G5 ||| G#5 ||| 0.666615004133
BAR D5 F#5 G5 ||| <UNK> ||| 1.666533344e-06
B-4 BAR B-4 A4 ||| G4 ||| 0.857085514136
B-4 BAR B-4 A4 ||| A4 ||| 0.142848776084
B-4 BAR B-4 A4 ||| <UNK> ||| 1.4284734761e-06
E4 D#4 E4 ||| E4 ||| 0.599944405337
E4 D#4 E4 ||| F#4 ||| 0.199982801651
E4 D#4 E4 ||| A4 ||| 0.199982801651
E4 D#4 E4 ||| <UNK> ||| 1.99980801843e-06
G4 C5 C5 BAR ||| B4 ||| 0.199982801651
G4 C5 C5 BAR ||| C5 ||| 0.79992520718
G4 C5 C5 BAR ||| <UNK> ||| 1.99980801843e-06
B4 A4 BAR A4 ||| G4 ||| 0.196076782022
B4 A4 BAR A4 ||| B4 ||| 0.0196078546712
B4 A4 BAR A4 ||| G#4 ||| 0.705875905482
B4 A4 BAR A4 ||| A4 ||| 0.0588231718603
B4 A4 BAR A4 ||| D5 ||| 0.0196078546712
B4 A4 BAR A4 ||| <UNK> ||| 1.96076585946e-07
C5 F5 E5 BAR ||| E5 ||| 0.399963603494
C5 F5 E5 BAR ||| D5 ||| 0.599944405337
C5 F5 E5 BAR ||| <UNK> ||| 1.99980801843e-06
BAR G4 G4 A4 ||| <UNK> ||| 3.22575650442e-07
BAR G4 G4 A4 ||| G4 ||| 0.322575973017
BAR G4 G4 A4 ||| B4 ||| 0.483863798238
BAR G4 G4 A4 ||| G#4 ||| 0.0322578876198
BAR G4 G4 A4 ||| E4 ||| 0.0322578876198
BAR G4 G4 A4 ||| D5 ||| 0.0322578876198
BAR G4 G4 A4 ||| A4 ||| 0.0967730177081
C6 E5 F5 BAR ||| G5 ||| 0.999530225492
C6 E5 F5 BAR ||| <UNK> ||| 9.99520230289e-06
B4 G4 E5 BAR ||| E5 ||| 0.199982801651
B4 G4 E5 BAR ||| D5 ||| 0.199982801651
B4 G4 E5 BAR ||| F5 ||| 0.599944405337
B4 G4 E5 BAR ||| <UNK> ||| 1.99980801843e-06
F4 E4 G#4 ||| A4 ||| 0.999530225492
F4 E4 G#4 ||| <UNK> ||| 9.99520230289e-06
B4 BAR C5 D5 ||| G4 ||| 0.0571423591905
B4 BAR C5 D5 ||| F5 ||| 0.0285713224504
B4 BAR C5 D5 ||| C#5 ||| 0.0571423591905
B4 BAR C5 D5 ||| E5 ||| 0.399994800071
B4 BAR C5 D5 ||| D5 ||| 0.228568579631
B4 BAR C5 D5 ||| C5 ||| 0.228568579631
B4 BAR C5 D5 ||| <UNK> ||| 2.85710367401e-07
C#5 D5 BAR D5 ||| C#5 ||| 0.428557449459
C#5 D5 BAR D5 ||| E5 ||| 0.0714268367942
C#5 D5 BAR D5 ||| D5 ||| 0.0714268367942
C#5 D5 BAR D5 ||| C5 ||| 0.428557449459
C#5 D5 BAR D5 ||| <UNK> ||| 7.14261225329e-07
B3 G4 A4 BAR ||| A4 ||| 0.999530225492
B3 G4 A4 BAR ||| <UNK> ||| 9.99520230289e-06
C#4 C4 BAR D4 ||| G4 ||| 0.999530225492
C#4 C4 BAR D4 ||| <UNK> ||| 9.99520230289e-06
G#4 A4 E4 ||| F#4 ||| 0.333283341332
G#4 A4 E4 ||| G#4 ||| 0.666563349864
G#4 A4 E4 ||| <UNK> ||| 3.33280008532e-06
BAR R E4 ||| A4 ||| 0.999530225492
BAR R E4 ||| <UNK> ||| 9.99520230289e-06
BAR B4 A4 G4 ||| G4 ||| 0.224997550029
BAR B4 A4 G4 ||| F#4 ||| 0.124998750015
BAR B4 A4 G4 ||| A4 ||| 0.399995450055
BAR B4 A4 G4 ||| F4 ||| 0.124998750015
BAR B4 A4 G4 ||| D4 ||| 0.0249999500006
BAR B4 A4 G4 ||| C5 ||| 0.0999990500114
BAR B4 A4 G4 ||| <UNK> ||| 2.49997000036e-07
