3
A4 BAR G4 E4 BAR ||| F4 ||| 0.499885027593
BAR E4 BAR E4 E4 ||| G4 ||| 0.0999962001824
BAR E4 BAR E4 E4 ||| F4 ||| 0.0999962001824
BAR E4 BAR E4 E4 ||| A3 ||| 0.0999962001824
BAR E4 BAR E4 E4 ||| E4 ||| 0.199991400413
BAR E4 BAR E4 E4 ||| D4 ||| 0.399981800874
BAR E4 BAR E4 E4 ||| <UNK> ||| 9.99952002304e-07
BAR E4 BAR E4 E4 ||| C4 ||| 0.0999962001824
D4 B3 C4 BAR ||| <UNK> ||| 9.99952002304e-07
D4 B3 C4 BAR ||| D4 ||| 0.199991400413
D4 B3 C4 BAR ||| B3 ||| 0.199991400413
D4 B3 C4 BAR ||| F4 ||| 0.0999962001824
D4 B3 C4 BAR ||| C4 ||| 0.499977001104
G4 BAR G4 C5 ||| B4 ||| 0.428543471305
G4 BAR G4 C5 ||| <UNK> ||| 1.4284734761e-06
G4 BAR G4 C5 ||| C5 ||| 0.285696123694
G4 BAR G4 C5 ||| B-4 ||| 0.142848776084
G4 BAR G4 C5 ||| C4 ||| 0.142848776084
G4 BAR F4 F4 BAR ||| G4 ||| 0.999530225492
G4 BAR F4 F4 BAR ||| <UNK> ||| 9.99520230289e-06
G4 E4 E4 BAR ||| D4 ||| 0.333283341332
G4 E4 E4 BAR ||| F4 ||| 0.666563349864
G4 E4 E4 BAR ||| <UNK> ||| 3.33280008532e-06
BAR G#3 BAR A3 B3 ||| <UNK> ||| 9.99520230289e-06
BAR G#3 BAR A3 B3 ||| C4 ||| 0.999530225492
BAR E5 D5 BAR C5 ||| B4 ||| 0.2499725033
BAR E5 D5 BAR C5 ||| <UNK> ||| 2.499700036e-06
BAR E5 D5 BAR C5 ||| G4 ||| 0.2499725033
BAR E5 D5 BAR C5 ||| B-4 ||| 0.2499725033
BAR E5 D5 BAR C5 ||| D5 ||| 0.2499725033
G4 BAR D4 G4 ||| G4 ||| 0.999530225492
G4 BAR D4 G4 ||| <UNK> ||| 9.99520230289e-06
BAR C5 E5 A4 ||| G4 ||| 0.999765056386
BAR C5 E5 A4 ||| <UNK> ||| 4.99880028793e-06
G3 A3 BAR B3 ||| C#4 ||| 0.0399996320071
G3 A3 BAR B3 ||| A3 ||| 0.279995024096
G3 A3 BAR B3 ||| E4 ||| 0.159997328051
G3 A3 BAR B3 ||| D4 ||| 0.0399996320071
G3 A3 BAR B3 ||| <UNK> ||| 3.99992320147e-07
G3 A3 BAR B3 ||| E3 ||| 0.0399996320071
G3 A3 BAR B3 ||| C4 ||| 0.439991952155
C5 G4 BAR G4 ||| G4 ||| 0.444421853057
C5 G4 BAR G4 ||| F4 ||| 0.111106296553
C5 G4 BAR G4 ||| A4 ||| 0.333316667556
C5 G4 BAR G4 ||| C5 ||| 0.111106296553
C5 G4 BAR G4 ||| <UNK> ||| 1.11105185501e-06
R C4 D4 BAR ||| E4 ||| 0.999921672933
R C4 D4 BAR ||| <UNK> ||| 1.666533344e-06
G#3 BAR A3 C4 ||| D4 ||| 0.999765056386
G#3 BAR A3 C4 ||| <UNK> ||| 4.99880028793e-06
A3 G3 G3 ||| E4 ||| 0.166655000933
A3 G3 G3 ||| A3 ||| 0.666615004133
A3 G3 G3 ||| G3 ||| 0.166655000933
A3 G3 G3 ||| <UNK> ||| 1.666533344e-06
E4 BAR E4 BAR F4 ||| D4 ||| 0.999530225492
E4 BAR E4 BAR F4 ||| <UNK> ||| 9.99520230289e-06
BAR A4 G#4 A4 BAR ||| B4 ||| 0.399963603494
BAR A4 G#4 A4 BAR ||| G4 ||| 0.199982801651
BAR A4 G#4 A4 BAR ||| A4 ||| 0.199982801651
BAR A4 G#4 A4 BAR ||| C5 ||| 0.199982801651
BAR A4 G#4 A4 BAR ||| <UNK> ||| 1.99980801843e-06
A4 BAR D5 C5 BAR ||| B4 ||| 0.999530225492
A4 BAR D5 C5 BAR ||| <UNK> ||| 9.99520230289e-06
BAR G3 A3 A3 ||| G#3 ||| 0.499885027593
BAR G3 A3 A3 ||| G3 ||| 0.499885027593
BAR G3 A3 A3 ||| <UNK> ||| 4.99880028793e-06
BAR B-3 B-3 A3 ||| D4 ||| 0.999530225492
BAR B-3 B-3 A3 ||| <UNK> ||| 9.99520230289e-06
F4 D4 G4 BAR ||| E4 ||| 0.499977001104
F4 D4 G4 BAR ||| G4 ||| 0.399981800874
F4 D4 G4 BAR ||| A4 ||| 0.0999962001824
F4 D4 G4 BAR ||| <UNK> ||| 9.99952002304e-07
A3 BAR A3 D4 ||| D4 ||| 0.285696123694
A3 BAR A3 D4 ||| <UNK> ||| 1.4284734761e-06
A3 BAR A3 D4 ||| G3 ||| 0.285696123694
A3 BAR A3 D4 ||| C4 ||| 0.428543471305
D4 C#4 BAR A4 ||| A4 ||| 0.999530225492
D4 C#4 BAR A4 ||| <UNK> ||| 9.99520230289e-06
B4 A4 F4 ||| D4 ||| 0.999530225492
B4 A4 F4 ||| <UNK> ||| 9.99520230289e-06
E-4 D4 C4 ||| B-3 ||| 0.499885027593
E-4 D4 C4 ||| <UNK> ||| 4.99880028793e-06
E-4 D4 C4 ||| B3 ||| 0.499885027593
B3 C4 E4 BAR ||| G4 ||| 0.111106296553
B3 C4 E4 BAR ||| F4 ||| 0.444421853057
B3 C4 E4 BAR ||| A4 ||| 0.111106296553
B3 C4 E4 BAR ||| E4 ||| 0.222211482054
B3 C4 E4 BAR ||| D4 ||| 0.111106296553
B3 C4 E4 BAR ||| <UNK> ||| 1.11105185501e-06
C4 C4 F4 ||| E4 ||| 0.999530225492
C4 C4 F4 ||| <UNK> ||| 9.99520230289e-06
C4 C4 BAR F3 ||| G3 ||| 0.999530225492
C4 C4 BAR F3 ||| <UNK> ||| 9.99520230289e-06
G3 C4 B-3 ||| A3 ||| 0.999530225492
G3 C4 B-3 ||| <UNK> ||| 9.99520230289e-06
BAR C#5 BAR D5 ||| G4 ||| 0.999530225492
BAR C#5 BAR D5 ||| <UNK> ||| 9.99520230289e-06
B3 BAR E4 D4 ||| E4 ||| 0.133329733449
B3 BAR E4 D4 ||| D4 ||| 0.333323333653
B3 BAR E4 D4 ||| <UNK> ||| 6.66645334016e-07
B3 BAR E4 D4 ||| C4 ||| 0.533316933858
B4 BAR E5 F5 ||| E5 ||| 0.999530225492
B4 BAR E5 F5 ||| <UNK> ||| 9.99520230289e-06
D5 E5 BAR A4 ||| A4 ||| 0.999530225492
D5 E5 BAR A4 ||| <UNK> ||| 9.99520230289e-06
F4 BAR F4 C4 ||| <UNK> ||| 4.99880028793e-06
F4 BAR F4 C4 ||| C4 ||| 0.999765056386
C5 D5 BAR C5 ||| <UNK> ||| 2.499700036e-06
C5 D5 BAR C5 ||| D5 ||| 0.2499725033
C5 D5 BAR C5 ||| F4 ||| 0.2499725033
C5 D5 BAR C5 ||| A4 ||| 0.2499725033
C5 D5 BAR C5 ||| G#4 ||| 0.2499725033
B3 E4 BAR E4 ||| F4 ||| 0.15384369827
B3 E4 BAR E4 ||| C#4 ||| 0.0384612130238
B3 E4 BAR E4 ||| B3 ||| 0.0769220414392
B3 E4 BAR E4 ||| E4 ||| 0.115382869855
B3 E4 BAR E4 ||| D4 ||| 0.499991154009
B3 E4 BAR E4 ||| <UNK> ||| 3.84608284155e-07
B3 E4 BAR E4 ||| D#4 ||| 0.0769220414392
B3 E4 BAR E4 ||| C4 ||| 0.0384612130238
B3 D4 E4 ||| D4 ||| 0.499885027593
B3 D4 E4 ||| A3 ||| 0.499885027593
B3 D4 E4 ||| <UNK> ||| 4.99880028793e-06
G4 G3 C4 ||| G3 ||| 0.999765056386
G4 G3 C4 ||| <UNK> ||| 4.99880028793e-06
E4 F4 F4 BAR ||| E4 ||| 0.285696123694
E4 F4 F4 BAR ||| G4 ||| 0.285696123694
E4 F4 F4 BAR ||| F4 ||| 0.428543471305
E4 F4 F4 BAR ||| <UNK> ||| 1.4284734761e-06
BAR E3 A3 BAR A3 ||| <UNK> ||| 9.99520230289e-06
BAR E3 A3 BAR A3 ||| B3 ||| 0.999530225492
BAR F#4 E4 F#4 ||| E4 ||| 0.2499725033
BAR F#4 E4 F#4 ||| G4 ||| 0.499942506899
BAR F#4 E4 F#4 ||| G#4 ||| 0.2499725033
BAR F#4 E4 F#4 ||| <UNK> ||| 2.499700036e-06
C4 BAR C4 G4 ||| G4 ||| 0.499961669733
C4 BAR C4 G4 ||| F4 ||| 0.499961669733
C4 BAR C4 G4 ||| <UNK> ||| 1.666533344e-06
B3 B3 B3 BAR ||| <UNK> ||| 4.99880028793e-06
B3 B3 B3 BAR ||| B3 ||| 0.999765056386
E4 F4 BAR R ||| F4 ||| 0.999530225492
E4 F4 BAR R ||| <UNK> ||| 9.99520230289e-06
A4 A4 BAR A4 ||| <UNK> ||| 3.33328000085e-07
A4 A4 BAR A4 ||| G4 ||| 0.266662733396
A4 A4 BAR A4 ||| F4 ||| 0.0333331333365
A4 A4 BAR A4 ||| B4 ||| 0.133331533362
A4 A4 BAR A4 ||| A4 ||| 0.266662733396
A4 A4 BAR A4 ||| B-4 ||| 0.0666659333451
A4 A4 BAR A4 ||| D5 ||| 0.0333331333365
A4 A4 BAR A4 ||| C5 ||| 0.0999987333536
A4 A4 BAR A4 ||| G#4 ||| 0.0999987333536
BAR G3 C4 BAR C4 ||| D4 ||| 0.499885027593
BAR G3 C4 BAR C4 ||| <UNK> ||| 4.99880028793e-06
BAR G3 C4 BAR C4 ||| B3 ||| 0.499885027593
E4 C4 BAR C4 ||| G4 ||| 0.0666652000469
E4 C4 BAR C4 ||| F4 ||| 0.0666652000469
E4 C4 BAR C4 ||| A3 ||| 0.0666652000469
E4 C4 BAR C4 ||| B3 ||| 0.466652400457
E4 C4 BAR C4 ||| D4 ||| 0.133329733449
E4 C4 BAR C4 ||| <UNK> ||| 6.66645334016e-07
E4 C4 BAR C4 ||| C4 ||| 0.19999426685
C#4 C#4 BAR D4 ||| F4 ||| 0.999530225492
C#4 C#4 BAR D4 ||| <UNK> ||| 9.99520230289e-06
D4 G4 BAR C5 ||| C5 ||| 0.999530225492
D4 G4 BAR C5 ||| <UNK> ||| 9.99520230289e-06
B3 E4 BAR D4 ||| E4 ||| 0.599972201334
B3 E4 BAR D4 ||| D4 ||| 0.199991400413
B3 E4 BAR D4 ||| <UNK> ||| 9.99952002304e-07
B3 E4 BAR D4 ||| C4 ||| 0.199991400413
BAR B3 B3 BAR C4 ||| <UNK> ||| 1.2499250045e-06
BAR B3 B3 BAR C4 ||| D4 ||| 0.374978751275
BAR B3 B3 BAR C4 ||| G4 ||| 0.249986250825
BAR B3 B3 BAR C4 ||| F4 ||| 0.249986250825
BAR B3 B3 BAR C4 ||| B3 ||| 0.124993750375
D4 D4 D4 ||| <UNK> ||| 1.666533344e-06
D4 D4 D4 ||| C#4 ||| 0.166655000933
D4 D4 D4 ||| D4 ||| 0.166655000933
D4 D4 D4 ||| C4 ||| 0.499961669733
D4 D4 D4 ||| B3 ||| 0.166655000933
B4 C5 BAR R ||| B4 ||| 0.999530225492
B4 C5 BAR R ||| <UNK> ||| 9.99520230289e-06
BAR E4 BAR A4 ||| A4 ||| 0.999765056386
BAR E4 BAR A4 ||| <UNK> ||| 4.99880028793e-06
G4 G4 B4 BAR ||| B4 ||| 0.374978751275
G4 G4 B4 BAR ||| A4 ||| 0.499971251725
G4 G4 B4 BAR ||| C5 ||| 0.124993750375
G4 G4 B4 BAR ||| <UNK> ||| 1.2499250045e-06
E4 BAR A4 A4 BAR ||| C5 ||| 0.999530225492
E4 BAR A4 A4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR C4 B3 BAR E4 ||| E4 ||| 0.499885027593
BAR C4 B3 BAR E4 ||| END ||| 0.499885027593
BAR C4 B3 BAR E4 ||| <UNK> ||| 4.99880028793e-06
C5 E4 D4 ||| <UNK> ||| 9.99520230289e-06
C5 E4 D4 ||| C4 ||| 0.999530225492
BAR G3 B3 BAR ||| A3 ||| 0.999530225492
BAR G3 B3 BAR ||| <UNK> ||| 9.99520230289e-06
A4 BAR B4 A4 ||| G4 ||| 0.299986600643
A4 BAR B4 A4 ||| A4 ||| 0.499977001104
A4 BAR B4 A4 ||| C5 ||| 0.199991400413
A4 BAR B4 A4 ||| <UNK> ||| 9.99952002304e-07
B3 G4 F4 BAR ||| E4 ||| 0.999530225492
B3 G4 F4 BAR ||| <UNK> ||| 9.99520230289e-06
E4 BAR C4 C4 ||| <UNK> ||| 1.666533344e-06
E4 BAR C4 C4 ||| C4 ||| 0.499961669733
E4 BAR C4 C4 ||| G3 ||| 0.333308335333
E4 BAR C4 C4 ||| B3 ||| 0.166655000933
C#4 E4 F4 ||| E4 ||| 0.999530225492
C#4 E4 F4 ||| <UNK> ||| 9.99520230289e-06
BAR B3 BAR C4 C4 ||| A3 ||| 0.333283341332
BAR B3 BAR C4 C4 ||| <UNK> ||| 3.33280008532e-06
BAR B3 BAR C4 C4 ||| C4 ||| 0.666563349864
C#4 BAR D4 R ||| A4 ||| 0.999530225492
C#4 BAR D4 R ||| <UNK> ||| 9.99520230289e-06
BAR G3 F#3 C4 ||| <UNK> ||| 9.99520230289e-06
BAR G3 F#3 C4 ||| B3 ||| 0.999530225492
F#4 BAR E4 D4 ||| C#4 ||| 0.499885027593
F#4 BAR E4 D4 ||| <UNK> ||| 4.99880028793e-06
F#4 BAR E4 D4 ||| C4 ||| 0.499885027593
B-4 BAR C5 C5 BAR ||| D5 ||| 0.999530225492
B-4 BAR C5 C5 BAR ||| <UNK> ||| 9.99520230289e-06
BAR E4 A4 A4 ||| B4 ||| 0.111108703768
BAR E4 A4 A4 ||| G4 ||| 0.277770926109
BAR E4 A4 A4 ||| G#4 ||| 0.61109537079
BAR E4 A4 A4 ||| <UNK> ||| 5.55540741136e-07
G4 D4 E4 ||| END ||| 0.333308335333
G4 D4 E4 ||| G4 ||| 0.166655000933
G4 D4 E4 ||| F4 ||| 0.499961669733
G4 D4 E4 ||| <UNK> ||| 1.666533344e-06
E4 C4 B3 BAR ||| E4 ||| 0.333283341332
E4 C4 B3 BAR ||| A3 ||| 0.666563349864
E4 C4 B3 BAR ||| <UNK> ||| 3.33280008532e-06
D4 BAR A3 A3 ||| A3 ||| 0.999530225492
D4 BAR A3 A3 ||| <UNK> ||| 9.99520230289e-06
B3 D#4 BAR E4 ||| D4 ||| 0.999765056386
B3 D#4 BAR E4 ||| <UNK> ||| 4.99880028793e-06
BAR C4 R BAR R BAR ||| R ||| 0.999530225492
BAR C4 R BAR R BAR ||| <UNK> ||| 9.99520230289e-06
D#4 BAR E4 G4 ||| C5 ||| 0.999530225492
D#4 BAR E4 G4 ||| <UNK> ||| 9.99520230289e-06
C4 D4 BAR F4 ||| E4 ||| 0.999530225492
C4 D4 BAR F4 ||| <UNK> ||| 9.99520230289e-06
C4 D4 BAR C#4 ||| END ||| 0.999882514098
C4 D4 BAR C#4 ||| <UNK> ||| 2.499700036e-06
B4 BAR C5 C5 ||| <UNK> ||| 2.499700036e-06
B4 BAR C5 C5 ||| G4 ||| 0.2499725033
B4 BAR C5 C5 ||| A4 ||| 0.2499725033
B4 BAR C5 C5 ||| C5 ||| 0.2499725033
B4 BAR C5 C5 ||| G#4 ||| 0.2499725033
A3 C4 BAR D4 ||| E4 ||| 0.199982801651
A3 C4 BAR D4 ||| A3 ||| 0.399963603494
A3 C4 BAR D4 ||| <UNK> ||| 1.99980801843e-06
A3 C4 BAR D4 ||| C4 ||| 0.399963603494
F4 B3 BAR A3 ||| B-3 ||| 0.333283341332
F4 B3 BAR A3 ||| A3 ||| 0.333283341332
F4 B3 BAR A3 ||| <UNK> ||| 3.33280008532e-06
F4 B3 BAR A3 ||| B3 ||| 0.333283341332
E3 A3 A3 BAR ||| G#3 ||| 0.999765056386
E3 A3 A3 BAR ||| <UNK> ||| 4.99880028793e-06
BAR C4 A3 BAR B3 BAR ||| G3 ||| 0.999765056386
BAR C4 A3 BAR B3 BAR ||| <UNK> ||| 4.99880028793e-06
G#4 A4 G4 ||| F4 ||| 0.499942506899
G#4 A4 G4 ||| A4 ||| 0.499942506899
G#4 A4 G4 ||| <UNK> ||| 2.499700036e-06
F4 E4 C4 ||| E4 ||| 0.124993750375
F4 E4 C4 ||| D4 ||| 0.499971251725
F4 E4 C4 ||| G4 ||| 0.249986250825
F4 E4 C4 ||| A3 ||| 0.124993750375
F4 E4 C4 ||| <UNK> ||| 1.2499250045e-06
R E5 BAR E5 ||| D5 ||| 0.999765056386
R E5 BAR E5 ||| <UNK> ||| 4.99880028793e-06
C5 BAR C5 B4 ||| G4 ||| 0.241375659989
C5 BAR C5 B4 ||| B4 ||| 0.103446908465
C5 BAR C5 B4 ||| A4 ||| 0.379304411513
C5 BAR C5 B4 ||| B-4 ||| 0.0344825327029
C5 BAR C5 B4 ||| E5 ||| 0.0689647205839
C5 BAR C5 B4 ||| C5 ||| 0.172411284227
C5 BAR C5 B4 ||| <UNK> ||| 3.4482187881e-07
B4 BAR B4 D4 ||| E4 ||| 0.999530225492
B4 BAR B4 D4 ||| <UNK> ||| 9.99520230289e-06
BAR C5 BAR D5 ||| A4 ||| 0.499885027593
BAR C5 BAR D5 ||| C5 ||| 0.499885027593
BAR C5 BAR D5 ||| <UNK> ||| 4.99880028793e-06
G#3 B3 E4 BAR ||| E4 ||| 0.999530225492
G#3 B3 E4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR D4 C4 G4 ||| F#4 ||| 0.2499725033
BAR D4 C4 G4 ||| <UNK> ||| 2.499700036e-06
BAR D4 C4 G4 ||| F4 ||| 0.499942506899
BAR D4 C4 G4 ||| G3 ||| 0.2499725033
G4 BAR R C5 ||| C5 ||| 0.999765056386
G4 BAR R C5 ||| <UNK> ||| 4.99880028793e-06
A3 D3 G3 ||| F3 ||| 0.499885027593
A3 D3 G3 ||| E3 ||| 0.499885027593
A3 D3 G3 ||| <UNK> ||| 4.99880028793e-06
B4 C5 BAR F#4 ||| B4 ||| 0.79992520718
B4 C5 BAR F#4 ||| G4 ||| 0.199982801651
B4 C5 BAR F#4 ||| <UNK> ||| 1.99980801843e-06
A3 D4 B3 ||| <UNK> ||| 4.99880028793e-06
A3 D4 B3 ||| C4 ||| 0.999765056386
G4 E4 BAR B4 ||| A4 ||| 0.999530225492
G4 E4 BAR B4 ||| <UNK> ||| 9.99520230289e-06
C5 BAR G4 D5 ||| C5 ||| 0.999530225492
C5 BAR G4 D5 ||| <UNK> ||| 9.99520230289e-06
A4 E4 E4 BAR ||| E4 ||| 0.499961669733
A4 E4 E4 BAR ||| F4 ||| 0.166655000933
A4 E4 E4 BAR ||| A4 ||| 0.333308335333
A4 E4 E4 BAR ||| <UNK> ||| 1.666533344e-06
C4 BAR A3 D4 BAR ||| E4 ||| 0.499885027593
C4 BAR A3 D4 BAR ||| D4 ||| 0.499885027593
C4 BAR A3 D4 BAR ||| <UNK> ||| 4.99880028793e-06
G#4 A4 A3 ||| <UNK> ||| 9.99520230289e-06
G#4 A4 A3 ||| B3 ||| 0.999530225492
D4 E4 F#4 ||| G4 ||| 0.705863010927
D4 E4 F#4 ||| G#4 ||| 0.117644325337
D4 E4 F#4 ||| B3 ||| 0.0588224567777
D4 E4 F#4 ||| E4 ||| 0.0588224567777
D4 E4 F#4 ||| D4 ||| 0.0588224567777
D4 E4 F#4 ||| <UNK> ||| 5.8821868559e-07
BAR C4 C4 C4 BAR ||| <UNK> ||| 1.99980801843e-06
BAR C4 C4 C4 BAR ||| D4 ||| 0.399963603494
BAR C4 C4 C4 BAR ||| B3 ||| 0.199982801651
BAR C4 C4 C4 BAR ||| F4 ||| 0.199982801651
BAR C4 C4 C4 BAR ||| C4 ||| 0.199982801651
BAR D4 C4 C4 BAR ||| <UNK> ||| 4.99880028793e-06
BAR D4 C4 C4 BAR ||| G4 ||| 0.499885027593
BAR D4 C4 C4 BAR ||| C4 ||| 0.499885027593
BAR A4 C5 BAR D5 ||| F5 ||| 0.999530225492
BAR A4 C5 BAR D5 ||| <UNK> ||| 9.99520230289e-06
G4 A4 BAR A4 ||| G4 ||| 0.533316933858
G4 A4 BAR A4 ||| F4 ||| 0.19999426685
G4 A4 BAR A4 ||| B4 ||| 0.0666652000469
G4 A4 BAR A4 ||| G#4 ||| 0.0666652000469
G4 A4 BAR A4 ||| E4 ||| 0.0666652000469
G4 A4 BAR A4 ||| D4 ||| 0.0666652000469
G4 A4 BAR A4 ||| <UNK> ||| 6.66645334016e-07
F4 E4 C#4 ||| END ||| 0.999530225492
F4 E4 C#4 ||| <UNK> ||| 9.99520230289e-06
BAR F3 BAR ||| G3 ||| 0.999530225492
BAR F3 BAR ||| <UNK> ||| 9.99520230289e-06
BAR G3 C4 E4 ||| D4 ||| 0.999530225492
BAR G3 C4 E4 ||| <UNK> ||| 9.99520230289e-06
F#4 E4 A4 ||| D5 ||| 0.199982801651
F#4 E4 A4 ||| A4 ||| 0.79992520718
F#4 E4 A4 ||| <UNK> ||| 1.99980801843e-06
B-4 BAR B-4 A4 ||| G4 ||| 0.999530225492
B-4 BAR B-4 A4 ||| <UNK> ||| 9.99520230289e-06
F3 BAR G3 E4 ||| D4 ||| 0.999843358396
F3 BAR G3 E4 ||| <UNK> ||| 3.33280008532e-06
E4 D#4 E4 ||| B4 ||| 0.222211482054
E4 D#4 E4 ||| E4 ||| 0.444421853057
E4 D#4 E4 ||| D#4 ||| 0.333316667556
E4 D#4 E4 ||| <UNK> ||| 1.11105185501e-06
G4 C5 C5 BAR ||| E5 ||| 0.499885027593
G4 C5 C5 BAR ||| B4 ||| 0.499885027593
G4 C5 C5 BAR ||| <UNK> ||| 4.99880028793e-06
B4 A4 BAR A4 ||| <UNK> ||| 5.26302493411e-07
B4 A4 BAR A4 ||| G4 ||| 0.421042521031
B4 A4 BAR A4 ||| F4 ||| 0.0526307756436
