G#3 ||| D5 ||| 0.0684931506849
C3 ||| A5 ||| 0.0036496350365
C3 ||| G#4 ||| 0.0277777777778
C3 ||| E5 ||| 0.0918580375783
C3 ||| E4 ||| 0.278761061947
C3 ||| D4 ||| 0.063829787234
C3 ||| C4 ||| 0.333333333333
C3 ||| C6 ||| 0.00205761316872
C3 ||| C5 ||| 0.115384615385
C3 ||| A4 ||| 0.074780058651
E4 ||| G5 ||| 0.184514003295
E4 ||| G4 ||| 0.0027397260274
E4 ||| F#5 ||| 0.00980392156863
E4 ||| F6 ||| 0.1
E4 ||| C#6 ||| 0.333333333333
E4 ||| D5 ||| 0.00130463144162
E4 ||| B4 ||| 0.0281597904388
E4 ||| B5 ||| 0.276515151515
E4 ||| A5 ||| 0.0936739659367
E4 ||| A4 ||| 0.00439882697947
E4 ||| E5 ||| 0.0260960334029
E4 ||| G#5 ||| 0.455284552846
E4 ||| E6 ||| 0.0917431192661
E4 ||| D6 ||| 0.070652173913
E4 ||| C6 ||| 0.164609053498
E4 ||| C5 ||| 0.015607580825
E4 ||| F5 ||| 0.0182291666667
D#4 ||| F#5 ||| 0.00653594771242
D#4 ||| B4 ||| 0.00196463654224
D#4 ||| B5 ||| 0.0208333333333
D#4 ||| A5 ||| 0.0401459854015
D#4 ||| C6 ||| 0.00617283950617
D#4 ||| C5 ||| 0.00390189520624
D#3 ||| G5 ||| 0.00329489291598
D#3 ||| F#4 ||| 0.0263157894737
D#3 ||| F#5 ||| 0.00653594771242
D#3 ||| B4 ||| 0.0216110019646
D#3 ||| B5 ||| 0.00378787878788
D#3 ||| A5 ||| 0.0109489051095
D#3 ||| A4 ||| 0.0212609970674
D#3 ||| C5 ||| 0.0133779264214
C5 ||| G5 ||| 0.00494233937397
C5 ||| F5 ||| 0.00260416666667
C5 ||| F6 ||| 0.1
C5 ||| A5 ||| 0.0036496350365
C5 ||| E6 ||| 0.119266055046
C5 ||| C6 ||| 0.00411522633745
E2 ||| G4 ||| 0.00547945205479
E2 ||| F4 ||| 0.00735294117647
E2 ||| B4 ||| 0.0124426981009
E2 ||| G#4 ||| 0.0486111111111
E2 ||| E5 ||| 0.00104384133612
E2 ||| E4 ||| 0.0530973451327
E2 ||| C5 ||| 0.00167224080268
E2 ||| A4 ||| 0.00219941348974
C#4 ||| G5 ||| 0.0280065897858
C#4 ||| B4 ||| 0.00130975769483
C#4 ||| B5 ||| 0.00189393939394
C#4 ||| A5 ||| 0.036496350365
C#4 ||| A4 ||| 0.00219941348974
C#4 ||| B-5 ||| 1.0
C#4 ||| E5 ||| 0.00835073068894
C#4 ||| E6 ||| 0.0366972477064
C#3 ||| E5 ||| 0.0114822546973
C#3 ||| B4 ||| 0.00130975769483
C#3 ||| G4 ||| 0.0630136986301
C#3 ||| A4 ||| 0.0175953079179
C#2 ||| G4 ||| 0.0027397260274
A#3 ||| E5 ||| 0.00104384133612
A#3 ||| G5 ||| 0.00164744645799
A#3 ||| G4 ||| 0.0027397260274
A#3 ||| F#5 ||| 0.00653594771242
A#2 ||| E5 ||| 0.000521920668058
A#2 ||| F#5 ||| 0.00326797385621
G4 ||| G5 ||| 0.00494233937397
G4 ||| D5 ||| 0.00978473581213
G4 ||| F5 ||| 0.0130208333333
G4 ||| F6 ||| 0.2
G4 ||| C#6 ||| 0.333333333333
G4 ||| B4 ||| 0.000654878847413
G4 ||| B5 ||| 0.0852272727273
G4 ||| A5 ||| 0.0133819951338
G4 ||| D6 ||| 0.125
G4 ||| E5 ||| 0.00417536534447
G4 ||| E6 ||| 0.0642201834862
G4 ||| C6 ||| 0.0699588477366
G4 ||| C5 ||| 0.00111482720178
E-3 ||| A4 ||| 0.000733137829912
E-3 ||| C5 ||| 0.000557413600892
C2 ||| E5 ||| 0.000521920668058
C2 ||| E4 ||| 0.00442477876106
C2 ||| G4 ||| 0.0027397260274
C2 ||| C4 ||| 0.333333333333
F#4 ||| D5 ||| 0.00130463144162
F#4 ||| C#6 ||| 0.333333333333
F#4 ||| B5 ||| 0.0113636363636
F#4 ||| A5 ||| 0.014598540146
F#4 ||| D6 ||| 0.0652173913043
F#4 ||| E6 ||| 0.0275229357798
F#4 ||| C6 ||| 0.0432098765432
A-3 ||| E5 ||| 0.000521920668058
A-3 ||| D5 ||| 0.000652315720809
A-3 ||| F5 ||| 0.00520833333333
A-3 ||| C5 ||| 0.000557413600892
F2 ||| G4 ||| 0.0027397260274
F2 ||| F4 ||| 0.00735294117647
F2 ||| B4 ||| 0.00130975769483
F2 ||| A4 ||| 0.00879765395894
F2 ||| D4 ||| 0.148936170213
F2 ||| D5 ||| 0.00195694716243
F2 ||| C5 ||| 0.000557413600892
F3 ||| G5 ||| 0.0263591433278
F3 ||| G4 ||| 0.0383561643836
F3 ||| F4 ||| 0.0514705882353
F3 ||| F5 ||| 0.0494791666667
F3 ||| C#5 ||| 0.0666666666667
F3 ||| D5 ||| 0.165688193085
F3 ||| B4 ||| 0.0432220039293
F3 ||| B5 ||| 0.00189393939394
F3 ||| A5 ||| 0.0304136253041
F3 ||| G#4 ||| 0.0277777777778
F3 ||| E5 ||| 0.0224425887265
F3 ||| E4 ||| 0.00442477876106
F3 ||| D4 ||| 0.106382978723
F3 ||| C4 ||| 0.111111111111
F3 ||| D6 ||| 0.0163043478261
F3 ||| C6 ||| 0.00205761316872
F3 ||| C5 ||| 0.0652173913043
F3 ||| A4 ||| 0.1642228739
F4 ||| G5 ||| 0.00658978583196
F4 ||| D5 ||| 0.016960208741
F4 ||| F5 ||| 0.0182291666667
F4 ||| F6 ||| 0.1
F4 ||| B4 ||| 0.000654878847413
F4 ||| B5 ||| 0.032196969697
F4 ||| A5 ||| 0.138686131387
F4 ||| D6 ||| 0.195652173913
F4 ||| E5 ||| 0.0062630480167
F4 ||| G#5 ||| 0.0243902439024
F4 ||| E6 ||| 0.0275229357798
F4 ||| C6 ||| 0.0432098765432
F4 ||| C5 ||| 0.00557413600892
B4 ||| F6 ||| 0.1
B4 ||| B5 ||| 0.00568181818182
B4 ||| A5 ||| 0.00608272506083
B4 ||| D6 ||| 0.0489130434783
B4 ||| E6 ||| 0.0642201834862
B4 ||| C6 ||| 0.00411522633745
R ||| E5 ||| 0.00313152400835
R ||| R ||| 1.0
R ||| A4 ||| 0.00293255131965
R ||| C5 ||| 0.00167224080268
R ||| D5 ||| 0.00260926288324
E3 ||| G#5 ||| 0.170731707317
E3 ||| G#4 ||| 0.597222222222
E3 ||| G5 ||| 0.135090609555
E3 ||| G4 ||| 0.27397260274
E3 ||| F#4 ||| 0.184210526316
E3 ||| F#5 ||| 0.0294117647059
E3 ||| A5 ||| 0.0121654501217
E3 ||| A4 ||| 0.0740469208211
E3 ||| E5 ||| 0.122651356994
E3 ||| E4 ||| 0.181415929204
E3 ||| E6 ||| 0.0183486238532
E3 ||| C6 ||| 0.0082304526749
E3 ||| C5 ||| 0.13768115942
E3 ||| C4 ||| 0.111111111111
E3 ||| C#5 ||| 0.0666666666667
E3 ||| C#4 ||| 0.333333333333
E3 ||| F4 ||| 0.0220588235294
E3 ||| F5 ||| 0.0208333333333
E3 ||| B4 ||| 0.366077275704
E3 ||| B5 ||| 0.0568181818182
E3 ||| D4 ||| 0.0212765957447
E3 ||| D5 ||| 0.0678408349641
B2 ||| G5 ||| 0.00658978583196
B2 ||| G4 ||| 0.123287671233
B2 ||| F#4 ||| 0.131578947368
B2 ||| F#5 ||| 0.0424836601307
B2 ||| F5 ||| 0.0104166666667
B2 ||| F4 ||| 0.139705882353
B2 ||| D5 ||| 0.0384866275277
B2 ||| B4 ||| 0.0406024885396
B2 ||| A5 ||| 0.00243309002433
B2 ||| G#4 ||| 0.131944444444
B2 ||| E5 ||| 0.00991649269311
B2 ||| E4 ||| 0.0530973451327
B2 ||| D4 ||| 0.063829787234
B2 ||| D#5 ||| 0.2
B2 ||| C5 ||| 0.0133779264214
B2 ||| A4 ||| 0.032991202346
B3 ||| G5 ||| 0.202635914333
B3 ||| G4 ||| 0.0109589041096
B3 ||| F#4 ||| 0.0526315789474
B3 ||| F#5 ||| 0.28431372549
B3 ||| F5 ||| 0.143229166667
B3 ||| F4 ||| 0.0367647058824
B3 ||| D5 ||| 0.0998043052838
B3 ||| B4 ||| 0.0294695481336
B3 ||| D#5 ||| 0.475
B3 ||| G#5 ||| 0.186991869919
B3 ||| G#4 ||| 0.00694444444444
B3 ||| B5 ||| 0.0814393939394
B3 ||| E5 ||| 0.0767223382046
B3 ||| A5 ||| 0.0583941605839
B3 ||| E6 ||| 0.0275229357798
B3 ||| D6 ||| 0.0978260869565
B3 ||| C6 ||| 0.0288065843621
B3 ||| C5 ||| 0.015607580825
B3 ||| A4 ||| 0.0175953079179
D4 ||| G5 ||| 0.0494233937397
D4 ||| D5 ||| 0.016960208741
D4 ||| F#5 ||| 0.12091503268
D4 ||| F6 ||| 0.3
D4 ||| F5 ||| 0.184895833333
D4 ||| B4 ||| 0.0163719711853
D4 ||| B5 ||| 0.195075757576
D4 ||| A5 ||| 0.119221411192
D4 ||| A4 ||| 0.0190615835777
D4 ||| E5 ||| 0.018267223382
D4 ||| G#5 ||| 0.121951219512
D4 ||| E6 ||| 0.0825688073394
D4 ||| D6 ||| 0.130434782609
D4 ||| C6 ||| 0.102880658436
D4 ||| C5 ||| 0.0161649944259
D4 ||| G#4 ||| 0.0138888888889
C4 ||| G5 ||| 0.102141680395
C4 ||| G4 ||| 0.027397260274
C4 ||| F#5 ||| 0.117647058824
C4 ||| F5 ||| 0.046875
C4 ||| D5 ||| 0.0215264187867
C4 ||| B4 ||| 0.00327439423707
C4 ||| B5 ||| 0.0170454545455
C4 ||| A5 ||| 0.13503649635
C4 ||| G#4 ||| 0.00694444444444
C4 ||| E4 ||| 0.0132743362832
C4 ||| E5 ||| 0.215553235908
C4 ||| G#5 ||| 0.0162601626016
C4 ||| E6 ||| 0.256880733945
C4 ||| D6 ||| 0.0597826086957
C4 ||| C6 ||| 0.144032921811
C4 ||| C5 ||| 0.0323299888517
C4 ||| A4 ||| 0.0373900293255
D2 ||| G4 ||| 0.0027397260274
D2 ||| F4 ||| 0.00735294117647
D2 ||| F5 ||| 0.00260416666667
D2 ||| B4 ||| 0.000654878847413
D2 ||| D4 ||| 0.0425531914894
D2 ||| D5 ||| 0.000652315720809
D2 ||| C5 ||| 0.000557413600892
D3 ||| G5 ||| 0.00658978583196
D3 ||| G4 ||| 0.0958904109589
D3 ||| F#4 ||| 0.289473684211
D3 ||| F5 ||| 0.153645833333
D3 ||| F4 ||| 0.433823529412
D3 ||| B4 ||| 0.159135559921
D3 ||| B5 ||| 0.00757575757576
D3 ||| A5 ||| 0.00973236009732
D3 ||| G#4 ||| 0.131944444444
D3 ||| E4 ||| 0.0530973451327
D3 ||| E5 ||| 0.027139874739
D3 ||| G#5 ||| 0.00813008130081
D3 ||| D4 ||| 0.170212765957
D3 ||| D5 ||| 0.106327462492
D3 ||| C5 ||| 0.0607580824972
D3 ||| A4 ||| 0.0923753665689
