3
A4 BAR G4 E4 BAR ||| G4 ||| 0.999765056386
E5 E5 BAR A5 ||| G5 ||| 0.249986250825
E5 E5 BAR A5 ||| A5 ||| 0.249986250825
E5 E5 BAR A5 ||| <UNK> ||| 1.2499250045e-06
C5 BAR F5 E5 ||| D5 ||| 0.999843358396
C5 BAR F5 E5 ||| <UNK> ||| 3.33280008532e-06
BAR A5 B5 BAR C6 BAR ||| C5 ||| 0.999765056386
BAR A5 B5 BAR C6 BAR ||| <UNK> ||| 4.99880028793e-06
B5 BAR A5 G5 BAR ||| A5 ||| 0.999765056386
B5 BAR A5 G5 BAR ||| <UNK> ||| 4.99880028793e-06
F#5 BAR E5 R ||| D5 ||| 0.999530225492
F#5 BAR E5 R ||| <UNK> ||| 9.99520230289e-06
E5 A5 B5 ||| C6 ||| 0.999530225492
E5 A5 B5 ||| <UNK> ||| 9.99520230289e-06
F#5 BAR G5 F5 ||| E5 ||| 0.999765056386
F#5 BAR G5 F5 ||| <UNK> ||| 4.99880028793e-06
A4 A4 BAR D5 ||| D5 ||| 0.999843358396
A4 A4 BAR D5 ||| <UNK> ||| 3.33280008532e-06
C5 BAR D5 E5 BAR ||| C5 ||| 0.999765056386
C5 BAR D5 E5 BAR ||| <UNK> ||| 4.99880028793e-06
BAR E5 BAR A5 B5 ||| C6 ||| 0.999921672933
BAR E5 BAR A5 B5 ||| <UNK> ||| 1.666533344e-06
BAR C5 BAR E5 G5 BAR ||| D5 ||| 0.999530225492
BAR C5 BAR E5 G5 BAR ||| <UNK> ||| 9.99520230289e-06
E6 A5 E6 BAR ||| F6 ||| 0.999530225492
E6 A5 E6 BAR ||| <UNK> ||| 9.99520230289e-06
BAR C6 A5 B5 ||| C6 ||| 0.999765056386
BAR C6 A5 B5 ||| <UNK> ||| 4.99880028793e-06
E5 D5 BAR G#5 ||| A5 ||| 0.999530225492
E5 D5 BAR G#5 ||| <UNK> ||| 9.99520230289e-06
B4 BAR E4 E5 BAR ||| D5 ||| 0.999765056386
B4 BAR E4 E5 BAR ||| <UNK> ||| 4.99880028793e-06
BAR A4 G4 G4 BAR ||| C5 ||| 0.999765056386
BAR A4 G4 G4 BAR ||| <UNK> ||| 4.99880028793e-06
R C6 BAR G5 ||| A5 ||| 0.999530225492
R C6 BAR G5 ||| <UNK> ||| 9.99520230289e-06
B5 A5 BAR E6 ||| D6 ||| 0.999765056386
B5 A5 BAR E6 ||| <UNK> ||| 4.99880028793e-06
BAR A4 BAR B4 B4 ||| C5 ||| 0.999765056386
BAR A4 BAR B4 B4 ||| <UNK> ||| 4.99880028793e-06
F5 G5 D5 BAR ||| C5 ||| 0.999765056386
F5 G5 D5 BAR ||| <UNK> ||| 4.99880028793e-06
BAR A5 ||| E5 ||| 0.599944405337
BAR A5 ||| B5 ||| 0.199982801651
BAR A5 ||| A5 ||| 0.199982801651
BAR A5 ||| <UNK> ||| 1.99980801843e-06
E5 BAR C5 A4 ||| B4 ||| 0.999882514098
E5 BAR C5 A4 ||| <UNK> ||| 2.499700036e-06
B5 B5 BAR E5 ||| E5 ||| 0.499885027593
B5 B5 BAR E5 ||| E6 ||| 0.499885027593
B5 B5 BAR E5 ||| <UNK> ||| 4.99880028793e-06
BAR G5 G5 E5 ||| F5 ||| 0.999530225492
BAR G5 G5 E5 ||| <UNK> ||| 9.99520230289e-06
G4 A4 BAR G4 ||| F4 ||| 0.499885027593
G4 A4 BAR G4 ||| C5 ||| 0.499885027593
G4 A4 BAR G4 ||| <UNK> ||| 4.99880028793e-06
C6 BAR G5 A5 ||| B5 ||| 0.999530225492
C6 BAR G5 A5 ||| <UNK> ||| 9.99520230289e-06
BAR G5 G5 G5 ||| F5 ||| 0.999765056386
BAR G5 G5 G5 ||| <UNK> ||| 4.99880028793e-06
A4 B4 BAR B4 ||| B4 ||| 0.2499725033
A4 B4 BAR B4 ||| D5 ||| 0.2499725033
A4 B4 BAR B4 ||| C5 ||| 0.499942506899
A4 B4 BAR B4 ||| <UNK> ||| 2.499700036e-06
A4 G#4 B4 BAR ||| D5 ||| 0.333283341332
A4 G#4 B4 BAR ||| C5 ||| 0.666563349864
A4 G#4 B4 BAR ||| <UNK> ||| 3.33280008532e-06
BAR D5 C5 B4 BAR ||| B4 ||| 0.0454540082762
BAR D5 C5 B4 BAR ||| A4 ||| 0.818164421867
BAR D5 C5 B4 BAR ||| C5 ||| 0.136361115757
BAR D5 C5 B4 BAR ||| <UNK> ||| 4.54535537406e-07
BAR E5 E5 F#5 ||| G#5 ||| 0.999882514098
BAR E5 E5 F#5 ||| <UNK> ||| 2.499700036e-06
BAR E6 E6 ||| B5 ||| 0.499885027593
BAR E6 E6 ||| E6 ||| 0.499885027593
BAR E6 E6 ||| <UNK> ||| 4.99880028793e-06
C6 BAR B5 R ||| D6 ||| 0.999765056386
C6 BAR B5 R ||| <UNK> ||| 4.99880028793e-06
BAR E5 BAR C5 D5 ||| E5 ||| 0.999765056386
BAR E5 BAR C5 D5 ||| <UNK> ||| 4.99880028793e-06
G4 BAR C5 D5 ||| E5 ||| 0.999932861747
G4 BAR C5 D5 ||| <UNK> ||| 1.4284734761e-06
C5 C5 E5 BAR ||| G5 ||| 0.999530225492
C5 C5 E5 BAR ||| <UNK> ||| 9.99520230289e-06
BAR B4 B4 E5 ||| D5 ||| 0.999882514098
BAR B4 B4 E5 ||| <UNK> ||| 2.499700036e-06
BAR E4 R G4 BAR ||| A4 ||| 0.999530225492
BAR E4 R G4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR E5 E5 BAR C5 ||| C5 ||| 0.999530225492
BAR E5 E5 BAR C5 ||| <UNK> ||| 9.99520230289e-06
B4 BAR A4 BAR R ||| A5 ||| 0.999530225492
B4 BAR A4 BAR R ||| <UNK> ||| 9.99520230289e-06
C5 A4 BAR C5 ||| D5 ||| 0.999765056386
C5 A4 BAR C5 ||| <UNK> ||| 4.99880028793e-06
B4 A4 E5 BAR ||| G5 ||| 0.0555546296543
B4 A4 E5 BAR ||| D#5 ||| 0.166662777881
B4 A4 E5 BAR ||| F5 ||| 0.111108703768
B4 A4 E5 BAR ||| E5 ||| 0.499987222563
B4 A4 E5 BAR ||| D5 ||| 0.166662777881
B4 A4 E5 BAR ||| <UNK> ||| 5.55540741136e-07
BAR A5 R E6 BAR ||| F6 ||| 0.999530225492
BAR A5 R E6 BAR ||| <UNK> ||| 9.99520230289e-06
A4 G#4 BAR A4 ||| END ||| 0.235288062455
A4 G#4 BAR A4 ||| B4 ||| 0.235288062455
A4 G#4 BAR A4 ||| R ||| 0.0588224567777
A4 G#4 BAR A4 ||| A4 ||| 0.117644325337
A4 G#4 BAR A4 ||| E5 ||| 0.0588224567777
A4 G#4 BAR A4 ||| E4 ||| 0.117644325337
A4 G#4 BAR A4 ||| <UNK> ||| 5.8821868559e-07
A4 G#4 BAR A4 ||| C5 ||| 0.117644325337
A4 G#4 BAR A4 ||| G#4 ||| 0.0588224567777
A4 E5 F#5 BAR ||| G5 ||| 0.999882514098
A4 E5 F#5 BAR ||| <UNK> ||| 2.499700036e-06
BAR E4 BAR ||| G4 ||| 0.299986600643
BAR E4 BAR ||| A4 ||| 0.699967401565
BAR E4 BAR ||| <UNK> ||| 9.99952002304e-07
BAR C5 D5 E5 ||| G5 ||| 0.0117647570931
BAR C5 D5 E5 ||| D5 ||| 0.352939301049
BAR C5 D5 E5 ||| F5 ||| 0.0705879543268
BAR C5 D5 E5 ||| B5 ||| 0.0117647570931
BAR C5 D5 E5 ||| A5 ||| 0.0117647570931
BAR C5 D5 E5 ||| E5 ||| 0.447056416623
BAR C5 D5 E5 ||| D#5 ||| 0.0235293965399
BAR C5 D5 E5 ||| C5 ||| 0.0705879543268
BAR C5 D5 E5 ||| <UNK> ||| 1.17646394467e-07
A4 A4 BAR E5 ||| E5 ||| 0.666615004133
A4 A4 BAR E5 ||| F5 ||| 0.166655000933
A4 A4 BAR E5 ||| C5 ||| 0.166655000933
A4 A4 BAR E5 ||| <UNK> ||| 1.666533344e-06
G5 BAR A5 C6 BAR ||| B5 ||| 0.999530225492
G5 BAR A5 C6 BAR ||| <UNK> ||| 9.99520230289e-06
B5 BAR C6 D6 ||| B5 ||| 0.0714268367942
B5 BAR C6 D6 ||| E6 ||| 0.928540307189
B5 BAR C6 D6 ||| <UNK> ||| 7.14261225329e-07
G#4 A4 BAR B4 BAR ||| B4 ||| 0.666563349864
G#4 A4 BAR B4 BAR ||| E5 ||| 0.333283341332
G#4 A4 BAR B4 BAR ||| <UNK> ||| 3.33280008532e-06
B5 A5 C6 BAR ||| B5 ||| 0.999765056386
B5 A5 C6 BAR ||| <UNK> ||| 4.99880028793e-06
E6 E6 E6 BAR ||| D6 ||| 0.999530225492
E6 E6 E6 BAR ||| <UNK> ||| 9.99520230289e-06
BAR E4 A4 B4 ||| C5 ||| 0.999530225492
BAR E4 A4 B4 ||| <UNK> ||| 9.99520230289e-06
D5 G#5 A5 ||| B5 ||| 0.999530225492
D5 G#5 A5 ||| <UNK> ||| 9.99520230289e-06
BAR G#5 A5 B5 ||| C6 ||| 0.999882514098
BAR G#5 A5 B5 ||| <UNK> ||| 2.499700036e-06
BAR C6 D6 E6 BAR ||| B5 ||| 0.499885027593
BAR C6 D6 E6 BAR ||| A5 ||| 0.499885027593
BAR C6 D6 E6 BAR ||| <UNK> ||| 4.99880028793e-06
A4 BAR A4 E5 BAR ||| D5 ||| 0.999530225492
A4 BAR A4 E5 BAR ||| <UNK> ||| 9.99520230289e-06
F5 A5 BAR A5 ||| G5 ||| 0.999530225492
F5 A5 BAR A5 ||| <UNK> ||| 9.99520230289e-06
G#4 BAR A4 E5 ||| E5 ||| 0.999530225492
G#4 BAR A4 E5 ||| <UNK> ||| 9.99520230289e-06
BAR R D4 E4 ||| F4 ||| 0.999530225492
BAR R D4 E4 ||| <UNK> ||| 9.99520230289e-06
C5 BAR B4 R ||| E5 ||| 0.399963603494
C5 BAR B4 R ||| D5 ||| 0.399963603494
C5 BAR B4 R ||| A4 ||| 0.199982801651
C5 BAR B4 R ||| <UNK> ||| 1.99980801843e-06
B4 BAR E5 D5 ||| D5 ||| 0.333283341332
B4 BAR E5 D5 ||| C5 ||| 0.666563349864
B4 BAR E5 D5 ||| <UNK> ||| 3.33280008532e-06
D5 BAR E5 R ||| E5 ||| 0.999530225492
D5 BAR E5 R ||| <UNK> ||| 9.99520230289e-06
D5 C5 BAR E5 ||| E5 ||| 0.199991400413
D5 C5 BAR E5 ||| <UNK> ||| 9.99952002304e-07
D5 C5 BAR E5 ||| D5 ||| 0.0999962001824
D5 C5 BAR E5 ||| F#5 ||| 0.599972201334
D5 C5 BAR E5 ||| F5 ||| 0.0999962001824
F#5 E5 E5 ||| D5 ||| 0.666615004133
F#5 E5 E5 ||| F5 ||| 0.333308335333
F#5 E5 E5 ||| <UNK> ||| 1.666533344e-06
C5 BAR D5 E5 ||| E5 ||| 0.166655000933
C5 BAR D5 E5 ||| D5 ||| 0.499961669733
C5 BAR D5 E5 ||| A4 ||| 0.333308335333
C5 BAR D5 E5 ||| <UNK> ||| 1.666533344e-06
BAR R A5 G5 ||| C6 ||| 0.999530225492
BAR R A5 G5 ||| <UNK> ||| 9.99520230289e-06
A5 G#5 E5 BAR ||| R ||| 0.499942506899
A5 G#5 E5 BAR ||| A5 ||| 0.499942506899
A5 G#5 E5 BAR ||| <UNK> ||| 2.499700036e-06
G5 BAR F#5 F#5 ||| E5 ||| 0.999765056386
G5 BAR F#5 F#5 ||| <UNK> ||| 4.99880028793e-06
BAR C5 C5 BAR C5 ||| B4 ||| 0.333283341332
BAR C5 C5 BAR C5 ||| C5 ||| 0.666563349864
BAR C5 C5 BAR C5 ||| <UNK> ||| 3.33280008532e-06
B5 A5 E5 BAR ||| A5 ||| 0.999530225492
B5 A5 E5 BAR ||| <UNK> ||| 9.99520230289e-06
B4 BAR A4 C5 ||| B4 ||| 0.555527038558
B4 BAR A4 C5 ||| D5 ||| 0.222211482054
B4 BAR A4 C5 ||| C5 ||| 0.222211482054
B4 BAR A4 C5 ||| <UNK> ||| 1.11105185501e-06
F4 BAR E4 A4 ||| B4 ||| 0.0909060331913
F4 BAR E4 A4 ||| G4 ||| 0.0909060331913
F4 BAR E4 A4 ||| A4 ||| 0.818147026312
F4 BAR E4 A4 ||| <UNK> ||| 9.090512414e-07
BAR B4 C5 B4 BAR ||| A4 ||| 0.999932861747
BAR B4 C5 B4 BAR ||| <UNK> ||| 1.4284734761e-06
F4 E4 F4 BAR ||| E4 ||| 0.333283341332
F4 E4 F4 BAR ||| G4 ||| 0.666563349864
F4 E4 F4 BAR ||| <UNK> ||| 3.33280008532e-06
BAR G4 G4 BAR C5 ||| B4 ||| 0.499885027593
BAR G4 G4 BAR C5 ||| D5 ||| 0.499885027593
BAR G4 G4 BAR C5 ||| <UNK> ||| 4.99880028793e-06
F#5 E5 BAR A5 ||| B4 ||| 0.2499725033
F#5 E5 BAR A5 ||| B5 ||| 0.2499725033
F#5 E5 BAR A5 ||| G5 ||| 0.499942506899
F#5 E5 BAR A5 ||| <UNK> ||| 2.499700036e-06
D5 E5 BAR E5 ||| E5 ||| 0.333308335333
D5 E5 BAR E5 ||| D5 ||| 0.499961669733
D5 E5 BAR E5 ||| F5 ||| 0.166655000933
D5 E5 BAR E5 ||| <UNK> ||| 1.666533344e-06
F5 B4 A4 BAR ||| A4 ||| 0.999530225492
F5 B4 A4 BAR ||| <UNK> ||| 9.99520230289e-06
C5 G4 BAR C5 ||| C5 ||| 0.999530225492
C5 G4 BAR C5 ||| <UNK> ||| 9.99520230289e-06
A4 G4 E4 BAR ||| G4 ||| 0.999530225492
A4 G4 E4 BAR ||| <UNK> ||| 9.99520230289e-06
R C6 BAR B5 ||| A5 ||| 0.999530225492
R C6 BAR B5 ||| <UNK> ||| 9.99520230289e-06
BAR C6 C6 G5 BAR ||| A5 ||| 0.999921672933
BAR C6 C6 G5 BAR ||| <UNK> ||| 1.666533344e-06
G5 E5 BAR G5 ||| G#5 ||| 0.999530225492
G5 E5 BAR G5 ||| <UNK> ||| 9.99520230289e-06
F5 E5 BAR D5 ||| E5 ||| 0.454540723192
F5 E5 BAR D5 ||| D5 ||| 0.272724524823
F5 E5 BAR D5 ||| C5 ||| 0.272724524823
F5 E5 BAR D5 ||| <UNK> ||| 2.27270247961e-07
B5 A5 A5 BAR ||| D6 ||| 0.166655000933
B5 A5 A5 BAR ||| B5 ||| 0.499961669733
B5 A5 A5 BAR ||| G5 ||| 0.166655000933
B5 A5 A5 BAR ||| C6 ||| 0.166655000933
B5 A5 A5 BAR ||| <UNK> ||| 1.666533344e-06
BAR E5 F5 G5 ||| <UNK> ||| 8.33300001333e-07
BAR E5 F5 G5 ||| F5 ||| 0.333320833833
BAR E5 F5 G5 ||| A5 ||| 0.0833308334333
BAR E5 F5 G5 ||| E5 ||| 0.2499908337
BAR E5 F5 G5 ||| D5 ||| 0.0833308334333
BAR E5 F5 G5 ||| C5 ||| 0.166660833567
BAR E5 F5 G5 ||| F#5 ||| 0.0833308334333
A4 B4 BAR E5 ||| E5 ||| 0.999765056386
A4 B4 BAR E5 ||| <UNK> ||| 4.99880028793e-06
BAR E6 D6 C6 ||| B5 ||| 0.999765056386
BAR E6 D6 C6 ||| <UNK> ||| 4.99880028793e-06
E5 D5 C6 ||| B5 ||| 0.999530225492
E5 D5 C6 ||| <UNK> ||| 9.99520230289e-06
A4 A4 A4 BAR ||| C5 ||| 0.999530225492
A4 A4 A4 BAR ||| <UNK> ||| 9.99520230289e-06
G4 G4 BAR A4 ||| B4 ||| 0.428543471305
G4 G4 BAR A4 ||| A4 ||| 0.571390818915
G4 G4 BAR A4 ||| <UNK> ||| 1.4284734761e-06
BAR A5 BAR A5 G#5 ||| A5 ||| 0.999530225492
BAR A5 BAR A5 G#5 ||| <UNK> ||| 9.99520230289e-06
BAR C5 B4 BAR C5 ||| D5 ||| 0.666615004133
BAR C5 B4 BAR C5 ||| C5 ||| 0.333308335333
BAR C5 B4 BAR C5 ||| <UNK> ||| 1.666533344e-06
BAR D6 E6 D6 ||| A5 ||| 0.333283341332
BAR D6 E6 D6 ||| C6 ||| 0.666563349864
BAR D6 E6 D6 ||| <UNK> ||| 3.33280008532e-06
D5 BAR E5 C5 ||| B4 ||| 0.333283341332
D5 BAR E5 C5 ||| F5 ||| 0.333283341332
