3
A#2 B2 E3 BAR ||| B2 ||| 0.999530225492
G3 A3 BAR B3 ||| A3 ||| 0.0769210059936
G3 A3 BAR B3 ||| <UNK> ||| 7.69202367913e-07
G3 A3 BAR B3 ||| G3 ||| 0.0769210059936
G3 A3 BAR B3 ||| B2 ||| 0.384601953159
G3 A3 BAR B3 ||| C4 ||| 0.46152218995
E4 F4 B3 ||| <UNK> ||| 4.99880028793e-06
E4 F4 B3 ||| C4 ||| 0.999765056386
R C4 D4 BAR ||| E4 ||| 0.999530225492
R C4 D4 BAR ||| <UNK> ||| 9.99520230289e-06
G#3 BAR A3 C4 ||| D4 ||| 0.499942506899
G#3 BAR A3 C4 ||| <UNK> ||| 2.499700036e-06
G#3 BAR A3 C4 ||| B3 ||| 0.499942506899
A3 G3 G3 ||| F3 ||| 0.999530225492
A3 G3 G3 ||| <UNK> ||| 9.99520230289e-06
G3 A2 B2 ||| C3 ||| 0.999765056386
G3 A2 B2 ||| <UNK> ||| 4.99880028793e-06
BAR G3 A3 A3 ||| G3 ||| 0.999765056386
BAR G3 A3 A3 ||| <UNK> ||| 4.99880028793e-06
E4 BAR A3 A4 BAR ||| E4 ||| 0.333283341332
E4 BAR A3 A4 BAR ||| D4 ||| 0.333283341332
E4 BAR A3 A4 BAR ||| A4 ||| 0.333283341332
E4 BAR A3 A4 BAR ||| <UNK> ||| 3.33280008532e-06
G3 C3 C4 ||| <UNK> ||| 2.499700036e-06
G3 C3 C4 ||| B3 ||| 0.999882514098
B3 C4 BAR F#3 ||| G#3 ||| 0.624963752175
B3 C4 BAR F#3 ||| G3 ||| 0.374978751275
B3 C4 BAR F#3 ||| <UNK> ||| 1.2499250045e-06
C4 F3 B3 BAR ||| <UNK> ||| 9.99520230289e-06
C4 F3 B3 BAR ||| C4 ||| 0.999530225492
C4 F4 E4 BAR ||| D4 ||| 0.77773740956
C4 F4 E4 BAR ||| <UNK> ||| 1.11105185501e-06
C4 F4 E4 BAR ||| C4 ||| 0.222211482054
BAR R F4 E4 ||| F4 ||| 0.999530225492
BAR R F4 E4 ||| <UNK> ||| 9.99520230289e-06
C4 C4 BAR F3 ||| G3 ||| 0.999530225492
C4 C4 BAR F3 ||| <UNK> ||| 9.99520230289e-06
B3 BAR E4 D4 ||| <UNK> ||| 3.33280008532e-06
B3 BAR E4 D4 ||| C4 ||| 0.999843358396
G4 BAR C4 R ||| C5 ||| 0.999765056386
G4 BAR C4 R ||| <UNK> ||| 4.99880028793e-06
BAR R E4 A3 ||| <UNK> ||| 2.499700036e-06
BAR R E4 A3 ||| B3 ||| 0.999882514098
E3 D3 G3 ||| F#3 ||| 0.199991400413
E3 D3 G3 ||| G3 ||| 0.0999962001824
E3 D3 G3 ||| G#3 ||| 0.199991400413
E3 D3 G3 ||| F3 ||| 0.199991400413
E3 D3 G3 ||| C3 ||| 0.199991400413
E3 D3 G3 ||| D3 ||| 0.0999962001824
E3 D3 G3 ||| <UNK> ||| 9.99952002304e-07
E3 E3 BAR A3 ||| D4 ||| 0.0833308334333
E3 E3 BAR A3 ||| <UNK> ||| 8.33300001333e-07
E3 E3 BAR A3 ||| G3 ||| 0.583310834233
E3 E3 BAR A3 ||| G#3 ||| 0.0833308334333
E3 E3 BAR A3 ||| B3 ||| 0.2499908337
BAR C3 D3 G2 BAR ||| E3 ||| 0.999530225492
BAR C3 D3 G2 BAR ||| <UNK> ||| 9.99520230289e-06
BAR F3 G3 F3 ||| E3 ||| 0.999530225492
BAR F3 G3 F3 ||| <UNK> ||| 9.99520230289e-06
BAR A2 A2 BAR A2 ||| B2 ||| 0.999765056386
BAR A2 A2 BAR A2 ||| <UNK> ||| 4.99880028793e-06
C#4 C#4 BAR D4 ||| A3 ||| 0.999530225492
C#4 C#4 BAR D4 ||| <UNK> ||| 9.99520230289e-06
B2 A2 G#2 BAR ||| A2 ||| 0.999906009023
B2 A2 G#2 BAR ||| <UNK> ||| 1.99980801843e-06
BAR E4 BAR A4 ||| G4 ||| 0.999530225492
BAR E4 BAR A4 ||| <UNK> ||| 9.99520230289e-06
D#3 BAR E3 E2 ||| A2 ||| 0.999765056386
D#3 BAR E3 E2 ||| <UNK> ||| 4.99880028793e-06
E3 F3 D3 BAR ||| G3 ||| 0.222211482054
E3 F3 D3 BAR ||| A3 ||| 0.333316667556
E3 F3 D3 BAR ||| A2 ||| 0.111106296553
E3 F3 D3 BAR ||| C3 ||| 0.222211482054
E3 F3 D3 BAR ||| D#3 ||| 0.111106296553
E3 F3 D3 BAR ||| <UNK> ||| 1.11105185501e-06
C3 D3 G2 ||| C3 ||| 0.333283341332
C3 D3 G2 ||| G#3 ||| 0.333283341332
C3 D3 G2 ||| G3 ||| 0.333283341332
C3 D3 G2 ||| <UNK> ||| 3.33280008532e-06
B2 C#3 D#3 ||| E3 ||| 0.999843358396
B2 C#3 D#3 ||| <UNK> ||| 3.33280008532e-06
G2 A2 B2 ||| C3 ||| 0.999882514098
G2 A2 B2 ||| <UNK> ||| 2.499700036e-06
BAR A4 BAR D4 ||| E4 ||| 0.999530225492
BAR A4 BAR D4 ||| <UNK> ||| 9.99520230289e-06
A-3 G3 F#3 BAR ||| G3 ||| 0.999530225492
A-3 G3 F#3 BAR ||| <UNK> ||| 9.99520230289e-06
A3 BAR E3 C3 ||| B2 ||| 0.999530225492
A3 BAR E3 C3 ||| <UNK> ||| 9.99520230289e-06
D4 BAR G#3 E3 ||| A3 ||| 0.999765056386
D4 BAR G#3 E3 ||| <UNK> ||| 4.99880028793e-06
A2 C#4 BAR D4 ||| E4 ||| 0.999530225492
A2 C#4 BAR D4 ||| <UNK> ||| 9.99520230289e-06
C#4 BAR D4 R ||| A3 ||| 0.999530225492
C#4 BAR D4 R ||| <UNK> ||| 9.99520230289e-06
BAR E4 G#3 A3 ||| <UNK> ||| 9.99520230289e-06
BAR E4 G#3 A3 ||| B3 ||| 0.999530225492
B3 G3 C4 ||| G4 ||| 0.0769210059936
B3 G3 C4 ||| B-3 ||| 0.0769210059936
B3 G3 C4 ||| A3 ||| 0.307681716367
B3 G3 C4 ||| B3 ||| 0.384601953159
B3 G3 C4 ||| <UNK> ||| 7.69202367913e-07
B3 G3 C4 ||| E3 ||| 0.0769210059936
B3 G3 C4 ||| C4 ||| 0.0769210059936
F#4 BAR E4 D4 ||| <UNK> ||| 3.33280008532e-06
F#4 BAR E4 D4 ||| C4 ||| 0.999843358396
E4 C4 B3 BAR ||| A3 ||| 0.999765056386
E4 C4 B3 BAR ||| <UNK> ||| 4.99880028793e-06
D4 BAR A3 A3 ||| E4 ||| 0.999530225492
D4 BAR A3 A3 ||| <UNK> ||| 9.99520230289e-06
G3 A3 A2 BAR ||| D3 ||| 0.999530225492
G3 A3 A2 BAR ||| <UNK> ||| 9.99520230289e-06
C3 BAR F3 B-3 ||| A3 ||| 0.999530225492
C3 BAR F3 B-3 ||| <UNK> ||| 9.99520230289e-06
B2 A2 F3 BAR ||| E3 ||| 0.999530225492
B2 A2 F3 BAR ||| <UNK> ||| 9.99520230289e-06
C3 C3 B-2 ||| A2 ||| 0.999530225492
C3 C3 B-2 ||| <UNK> ||| 9.99520230289e-06
C4 D4 BAR C#4 ||| D#4 ||| 0.999882514098
C4 D4 BAR C#4 ||| <UNK> ||| 2.499700036e-06
F4 R E4 BAR ||| D4 ||| 0.999765056386
F4 R E4 BAR ||| <UNK> ||| 4.99880028793e-06
A3 C4 BAR D4 ||| <UNK> ||| 9.99520230289e-06
A3 C4 BAR D4 ||| B3 ||| 0.999530225492
C3 A2 D3 BAR ||| G2 ||| 0.999530225492
C3 A2 D3 BAR ||| <UNK> ||| 9.99520230289e-06
F4 G#3 G#3 BAR ||| A3 ||| 0.999765056386
F4 G#3 G#3 BAR ||| <UNK> ||| 4.99880028793e-06
E3 A3 A3 BAR ||| G3 ||| 0.153841242785
E3 A3 A3 BAR ||| A3 ||| 0.230761479576
E3 A3 A3 BAR ||| B3 ||| 0.230761479576
E3 A3 A3 BAR ||| E4 ||| 0.307681716367
E3 A3 A3 BAR ||| D4 ||| 0.0769210059936
E3 A3 A3 BAR ||| <UNK> ||| 7.69202367913e-07
G#4 A4 G4 ||| F4 ||| 0.999530225492
G#4 A4 G4 ||| <UNK> ||| 9.99520230289e-06
C5 BAR C5 B4 ||| B4 ||| 0.999530225492
C5 BAR C5 B4 ||| <UNK> ||| 9.99520230289e-06
C3 BAR G3 B3 ||| A3 ||| 0.999530225492
C3 BAR G3 B3 ||| <UNK> ||| 9.99520230289e-06
R A3 BAR A3 ||| G#3 ||| 0.999530225492
R A3 BAR A3 ||| <UNK> ||| 9.99520230289e-06
A3 D3 G3 ||| C3 ||| 0.999530225492
A3 D3 G3 ||| <UNK> ||| 9.99520230289e-06
C#3 D3 D#3 BAR ||| E3 ||| 0.999765056386
C#3 D3 D#3 BAR ||| <UNK> ||| 4.99880028793e-06
A3 D4 B3 ||| E4 ||| 0.333283341332
A3 D4 B3 ||| A3 ||| 0.333283341332
A3 D4 B3 ||| G3 ||| 0.333283341332
A3 D4 B3 ||| <UNK> ||| 3.33280008532e-06
E3 BAR C4 C#4 ||| D4 ||| 0.999530225492
E3 BAR C4 C#4 ||| <UNK> ||| 9.99520230289e-06
B2 BAR E2 E3 ||| D3 ||| 0.999530225492
B2 BAR E2 E3 ||| <UNK> ||| 9.99520230289e-06
A3 G#3 A3 ||| F3 ||| 0.388879074336
A3 G#3 A3 ||| G3 ||| 0.166662777881
A3 G#3 A3 ||| D#3 ||| 0.0555546296543
A3 G#3 A3 ||| B3 ||| 0.166662777881
A3 G#3 A3 ||| E4 ||| 0.0555546296543
A3 G#3 A3 ||| <UNK> ||| 5.55540741136e-07
A3 G#3 A3 ||| D3 ||| 0.0555546296543
A3 G#3 A3 ||| C4 ||| 0.111108703768
BAR A2 B2 C3 ||| F2 ||| 0.0555550925988
BAR A2 B2 C3 ||| F3 ||| 0.0277776851864
BAR A2 B2 C3 ||| G3 ||| 0.0277776851864
BAR A2 B2 C3 ||| A2 ||| 0.111109907423
BAR A2 B2 C3 ||| B2 ||| 0.0833325000111
BAR A2 B2 C3 ||| C3 ||| 0.111109907423
BAR A2 B2 C3 ||| <UNK> ||| 2.77774074123e-07
BAR A2 B2 C3 ||| D3 ||| 0.555548426021
BAR A2 B2 C3 ||| E2 ||| 0.0277776851864
A4 E4 E4 BAR ||| A4 ||| 0.999765056386
A4 E4 E4 BAR ||| <UNK> ||| 4.99880028793e-06
C#4 C4 BAR B3 ||| A3 ||| 0.999530225492
C#4 C4 BAR B3 ||| <UNK> ||| 9.99520230289e-06
D#4 E4 G#3 BAR ||| A3 ||| 0.999530225492
D#4 E4 G#3 BAR ||| <UNK> ||| 9.99520230289e-06
D#3 BAR E3 A2 ||| A2 ||| 0.499885027593
D#3 BAR E3 A2 ||| B2 ||| 0.499885027593
D#3 BAR E3 A2 ||| <UNK> ||| 4.99880028793e-06
B3 BAR A3 G3 ||| F3 ||| 0.695638091031
B3 BAR A3 G3 ||| F#3 ||| 0.304341909386
B3 BAR A3 G3 ||| <UNK> ||| 4.34773535161e-07
BAR C4 C4 C4 BAR ||| F4 ||| 0.999906009023
BAR C4 C4 C4 BAR ||| <UNK> ||| 1.99980801843e-06
BAR E3 C#3 A2 ||| D3 ||| 0.999765056386
BAR E3 C#3 A2 ||| <UNK> ||| 4.99880028793e-06
B2 A3 G#3 ||| A3 ||| 0.999530225492
B2 A3 G#3 ||| <UNK> ||| 9.99520230289e-06
D3 E3 BAR F2 ||| G2 ||| 0.999530225492
D3 E3 BAR F2 ||| <UNK> ||| 9.99520230289e-06
C3 BAR C3 D3 ||| C3 ||| 0.285696123694
C3 BAR C3 D3 ||| E3 ||| 0.714238166526
C3 BAR C3 D3 ||| <UNK> ||| 1.4284734761e-06
F3 E3 A3 ||| G3 ||| 0.999765056386
F3 E3 A3 ||| <UNK> ||| 4.99880028793e-06
E4 D#4 E4 ||| D4 ||| 0.666563349864
E4 D#4 E4 ||| G#3 ||| 0.333283341332
E4 D#4 E4 ||| <UNK> ||| 3.33280008532e-06
A2 BAR B2 C#3 ||| D3 ||| 0.999530225492
A2 BAR B2 C#3 ||| <UNK> ||| 9.99520230289e-06
B2 C3 D3 BAR ||| A2 ||| 0.0666652000469
B2 C3 D3 BAR ||| E-3 ||| 0.0666652000469
B2 C3 D3 BAR ||| C3 ||| 0.0666652000469
B2 C3 D3 BAR ||| D3 ||| 0.0666652000469
B2 C3 D3 BAR ||| E3 ||| 0.733310534063
B2 C3 D3 BAR ||| <UNK> ||| 6.66645334016e-07
G3 BAR G#3 A3 ||| F3 ||| 0.999530225492
G3 BAR G#3 A3 ||| <UNK> ||| 9.99520230289e-06
G3 D3 G3 ||| F#3 ||| 0.999530225492
G3 D3 G3 ||| <UNK> ||| 9.99520230289e-06
A3 BAR G#3 F#3 ||| G#3 ||| 0.666563349864
A3 BAR G#3 F#3 ||| E3 ||| 0.333283341332
A3 BAR G#3 F#3 ||| <UNK> ||| 3.33280008532e-06
B-2 A2 G2 BAR ||| G#2 ||| 0.999530225492
B-2 A2 G2 BAR ||| <UNK> ||| 9.99520230289e-06
BAR B3 G3 A3 ||| <UNK> ||| 2.499700036e-06
BAR B3 G3 A3 ||| B3 ||| 0.499942506899
BAR B3 G3 A3 ||| D3 ||| 0.2499725033
BAR B3 G3 A3 ||| C4 ||| 0.2499725033
E3 BAR C3 B2 ||| A2 ||| 0.999530225492
E3 BAR C3 B2 ||| <UNK> ||| 9.99520230289e-06
BAR F2 F3 E3 BAR ||| D2 ||| 0.999530225492
BAR F2 F3 E3 BAR ||| <UNK> ||| 9.99520230289e-06
BAR B4 A4 G4 ||| F4 ||| 0.999530225492
BAR B4 A4 G4 ||| <UNK> ||| 9.99520230289e-06
A2 BAR G3 F3 ||| E3 ||| 0.999530225492
A2 BAR G3 F3 ||| <UNK> ||| 9.99520230289e-06
A3 BAR E3 BAR E3 ||| D3 ||| 0.999530225492
A3 BAR E3 BAR E3 ||| <UNK> ||| 9.99520230289e-06
A2 E3 F3 BAR ||| E3 ||| 0.999530225492
A2 E3 F3 BAR ||| <UNK> ||| 9.99520230289e-06
C4 G#3 A3 BAR ||| <UNK> ||| 1.99980801843e-06
C4 G#3 A3 BAR ||| F3 ||| 0.199982801651
C4 G#3 A3 BAR ||| F#3 ||| 0.199982801651
C4 G#3 A3 BAR ||| D3 ||| 0.599944405337
D3 BAR C3 E3 ||| G3 ||| 0.499885027593
D3 BAR C3 E3 ||| D3 ||| 0.499885027593
D3 BAR C3 E3 ||| <UNK> ||| 4.99880028793e-06
D3 BAR C3 G3 ||| A3 ||| 0.999530225492
D3 BAR C3 G3 ||| <UNK> ||| 9.99520230289e-06
BAR B2 B3 A3 ||| G#3 ||| 0.999530225492
BAR B2 B3 A3 ||| <UNK> ||| 9.99520230289e-06
BAR C4 E4 A4 ||| A3 ||| 0.499885027593
BAR C4 E4 A4 ||| G4 ||| 0.499885027593
BAR C4 E4 A4 ||| <UNK> ||| 4.99880028793e-06
C4 D4 A3 ||| G3 ||| 0.999530225492
C4 D4 A3 ||| <UNK> ||| 9.99520230289e-06
BAR C4 D4 E4 ||| F4 ||| 0.384601953159
BAR C4 D4 E4 ||| E4 ||| 0.0769210059936
BAR C4 D4 E4 ||| D4 ||| 0.153841242785
BAR C4 D4 E4 ||| C4 ||| 0.0769210059936
BAR C4 D4 E4 ||| E3 ||| 0.307681716367
BAR C4 D4 E4 ||| <UNK> ||| 7.69202367913e-07
E3 D3 E3 BAR ||| A3 ||| 0.333326190639
E3 D3 E3 BAR ||| R ||| 0.0476184353881
E3 D3 E3 BAR ||| A2 ||| 0.523798027474
E3 D3 E3 BAR ||| F3 ||| 0.0952363945967
E3 D3 E3 BAR ||| <UNK> ||| 4.76179592086e-07
F3 D3 G3 ||| F3 ||| 0.499885027593
F3 D3 G3 ||| G2 ||| 0.499885027593
F3 D3 G3 ||| <UNK> ||| 4.99880028793e-06
G3 A3 G3 ||| F3 ||| 0.999843358396
G3 A3 G3 ||| <UNK> ||| 3.33280008532e-06
G2 C3 A2 ||| B2 ||| 0.999530225492
G2 C3 A2 ||| <UNK> ||| 9.99520230289e-06
BAR B3 E3 A3 BAR ||| D3 ||| 0.999530225492
BAR B3 E3 A3 BAR ||| <UNK> ||| 9.99520230289e-06
A3 B3 BAR E3 ||| A3 ||| 0.714261939591
A3 B3 BAR E3 ||| F#3 ||| 0.0714268367942
A3 B3 BAR E3 ||| END ||| 0.142852959327
A3 B3 BAR E3 ||| E3 ||| 0.0714268367942
A3 B3 BAR E3 ||| <UNK> ||| 7.14261225329e-07
B3 BAR A3 A3 ||| <UNK> ||| 4.99880028793e-06
B3 BAR A3 A3 ||| G3 ||| 0.499885027593
B3 BAR A3 A3 ||| B3 ||| 0.499885027593
F3 D3 BAR D#3 ||| E3 ||| 0.999530225492
F3 D3 BAR D#3 ||| <UNK> ||| 9.99520230289e-06
D4 C4 B3 ||| A3 ||| 0.512814457668
D4 C4 B3 ||| <UNK> ||| 2.56407100631e-07
D4 C4 B3 ||| G3 ||| 0.102563096659
D4 C4 B3 ||| C4 ||| 0.384610907353
BAR E3 BAR A3 B3 ||| <UNK> ||| 4.99880028793e-06
BAR E3 BAR A3 B3 ||| C4 ||| 0.999765056386
C3 BAR A2 D3 ||| G2 ||| 0.999530225492
C3 BAR A2 D3 ||| <UNK> ||| 9.99520230289e-06
BAR A4 BAR D4 E4 ||| F4 ||| 0.999530225492
BAR A4 BAR D4 E4 ||| <UNK> ||| 9.99520230289e-06
BAR C4 G4 BAR E4 ||| D4 ||| 0.999530225492
BAR C4 G4 BAR E4 ||| <UNK> ||| 9.99520230289e-06
E4 G3 A3 BAR ||| <UNK> ||| 9.99520230289e-06
E4 G3 A3 BAR ||| B3 ||| 0.999530225492
B3 C4 D4 BAR ||| E4 ||| 0.749987500214
B3 C4 D4 BAR ||| <UNK> ||| 3.57136734799e-07
B3 C4 D4 BAR ||| G3 ||| 0.0714277040965
B3 C4 D4 BAR ||| E3 ||| 0.0357140306166
B3 C4 D4 BAR ||| C#4 ||| 0.142855051056
E3 F#3 G#3 ||| A3 ||| 0.999941253525
E3 F#3 G#3 ||| <UNK> ||| 1.2499250045e-06
D4 E4 BAR A4 ||| F4 ||| 0.999530225492
D4 E4 BAR A4 ||| <UNK> ||| 9.99520230289e-06
C3 BAR R C4 ||| <UNK> ||| 9.99520230289e-06
C3 BAR R C4 ||| B3 ||| 0.999530225492
D3 BAR A2 R ||| A2 ||| 0.999530225492
D3 BAR A2 R ||| <UNK> ||| 9.99520230289e-06
A2 D3 A2 ||| A3 ||| 0.999530225492
A2 D3 A2 ||| <UNK> ||| 9.99520230289e-06
BAR D#3 E3 B3 ||| A3 ||| 0.999530225492
BAR D#3 E3 B3 ||| <UNK> ||| 9.99520230289e-06
BAR C#3 D3 E3 ||| F#3 ||| 0.999530225492
BAR C#3 D3 E3 ||| <UNK> ||| 9.99520230289e-06
C3 C4 BAR R ||| <UNK> ||| 9.99520230289e-06
C3 C4 BAR R ||| C4 ||| 0.999530225492
B-3 BAR A3 A-3 ||| G3 ||| 0.999530225492
B-3 BAR A3 A-3 ||| <UNK> ||| 9.99520230289e-06
BAR G3 A3 A#3 ||| <UNK> ||| 9.99520230289e-06
BAR G3 A3 A#3 ||| B3 ||| 0.999530225492
R C3 BAR G3 ||| A3 ||| 0.999765056386
R C3 BAR G3 ||| <UNK> ||| 4.99880028793e-06
B-3 A3 B-3 ||| A3 ||| 0.999530225492
B-3 A3 B-3 ||| <UNK> ||| 9.99520230289e-06
BAR A2 E3 BAR F3 ||| G3 ||| 0.999765056386
BAR A2 E3 BAR F3 ||| <UNK> ||| 4.99880028793e-06
A2 D3 E3 BAR ||| C3 ||| 0.499942506899
A2 D3 E3 BAR ||| A2 ||| 0.2499725033
A2 D3 E3 BAR ||| F3 ||| 0.2499725033
A2 D3 E3 BAR ||| <UNK> ||| 2.499700036e-06
G2 BAR E3 F#3 ||| G#3 ||| 0.999530225492
G2 BAR E3 F#3 ||| <UNK> ||| 9.99520230289e-06
BAR C3 B2 A2 ||| F3 ||| 0.0454540082762
BAR C3 B2 A2 ||| G3 ||| 0.0454540082762
BAR C3 B2 A2 ||| G2 ||| 0.0454540082762
BAR C3 B2 A2 ||| A3 ||| 0.0909075620168
BAR C3 B2 A2 ||| G#2 ||| 0.454535991942
BAR C3 B2 A2 ||| B2 ||| 0.0454540082762
BAR C3 B2 A2 ||| C3 ||| 0.0909075620168
BAR C3 B2 A2 ||| <UNK> ||| 4.54535537406e-07
BAR C3 B2 A2 ||| D3 ||| 0.0909075620168
BAR C3 B2 A2 ||| E3 ||| 0.0454540082762
BAR C3 B2 A2 ||| A2 ||| 0.0454540082762
G3 BAR G4 F#4 ||| E4 ||| 0.999530225492
G3 BAR G4 F#4 ||| <UNK> ||| 9.99520230289e-06
BAR C5 B4 BAR ||| A4 ||| 0.999530225492
BAR C5 B4 BAR ||| <UNK> ||| 9.99520230289e-06
A3 A3 BAR A4 ||| G#4 ||| 0.999530225492
A3 A3 BAR A4 ||| <UNK> ||| 9.99520230289e-06
D#3 E3 BAR A2 ||| A3 ||| 0.166660833567
D#3 E3 BAR A2 ||| F3 ||| 0.0833308334333
D#3 E3 BAR A2 ||| END ||| 0.583310834233
D#3 E3 BAR A2 ||| E3 ||| 0.166660833567
D#3 E3 BAR A2 ||| <UNK> ||| 8.33300001333e-07
G3 C3 F3 ||| E3 ||| 0.999530225492
G3 C3 F3 ||| <UNK> ||| 9.99520230289e-06
G3 BAR C4 B3 BAR ||| A3 ||| 0.999530225492
G3 BAR C4 B3 BAR ||| <UNK> ||| 9.99520230289e-06
F3 E3 BAR A4 ||| G#4 ||| 0.999530225492
F3 E3 BAR A4 ||| <UNK> ||| 9.99520230289e-06
BAR F3 G3 C4 ||| <UNK> ||| 7.69202367913e-07
BAR F3 G3 C4 ||| C#4 ||| 0.153841242785
BAR F3 G3 C4 ||| G#3 ||| 0.307681716367
BAR F3 G3 C4 ||| B3 ||| 0.46152218995
BAR F3 G3 C4 ||| C4 ||| 0.0769210059936
BAR F3 E3 F#3 ||| G3 ||| 0.999530225492
BAR F3 E3 F#3 ||| <UNK> ||| 9.99520230289e-06
G3 BAR A3 B3 ||| C#4 ||| 0.199991400413
G3 BAR A3 B3 ||| <UNK> ||| 9.99952002304e-07
G3 BAR A3 B3 ||| C4 ||| 0.799962601795
F#3 E3 BAR D#3 ||| E3 ||| 0.999765056386
F#3 E3 BAR D#3 ||| <UNK> ||| 4.99880028793e-06
A4 E4 A3 ||| END ||| 0.999530225492
A4 E4 A3 ||| <UNK> ||| 9.99520230289e-06
B2 BAR A2 E3 ||| A3 ||| 0.999530225492
B2 BAR A2 E3 ||| <UNK> ||| 9.99520230289e-06
B2 A2 G2 ||| F2 ||| 0.999765056386
B2 A2 G2 ||| <UNK> ||| 4.99880028793e-06
