3
A4 BAR G4 E4 BAR ||| A4 ||| 0.999530225492
BAR E5 D5 BAR C5 ||| <UNK> ||| 9.99520230289e-06
G3 A3 BAR B3 ||| C#4 ||| 0.0588224567777
G3 A3 BAR B3 ||| A3 ||| 0.411753668132
G3 A3 BAR B3 ||| E4 ||| 0.176466193896
G3 A3 BAR B3 ||| C4 ||| 0.294109931014
G3 A3 BAR B3 ||| E3 ||| 0.0588224567777
G3 A3 BAR B3 ||| <UNK> ||| 5.8821868559e-07
C5 G4 BAR G4 ||| G4 ||| 0.333308335333
C5 G4 BAR G4 ||| A4 ||| 0.499961669733
C5 G4 BAR G4 ||| C5 ||| 0.166655000933
C5 G4 BAR G4 ||| <UNK> ||| 1.666533344e-06
R C4 D4 BAR ||| E4 ||| 0.999843358396
R C4 D4 BAR ||| <UNK> ||| 3.33280008532e-06
G#3 BAR A3 C4 ||| D4 ||| 0.999765056386
G#3 BAR A3 C4 ||| <UNK> ||| 4.99880028793e-06
A3 G3 G3 ||| E4 ||| 0.333283341332
A3 G3 G3 ||| A3 ||| 0.666563349864
A3 G3 G3 ||| <UNK> ||| 3.33280008532e-06
BAR A4 G#4 A4 BAR ||| A4 ||| 0.999530225492
BAR A4 G#4 A4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR G3 A3 A3 ||| G#3 ||| 0.999530225492
BAR G3 A3 A3 ||| <UNK> ||| 9.99520230289e-06
F4 D4 G4 BAR ||| G4 ||| 0.999843358396
F4 D4 G4 BAR ||| <UNK> ||| 3.33280008532e-06
A3 BAR A3 D4 ||| D4 ||| 0.2499725033
A3 BAR A3 D4 ||| <UNK> ||| 2.499700036e-06
A3 BAR A3 D4 ||| G3 ||| 0.2499725033
A3 BAR A3 D4 ||| C4 ||| 0.499942506899
E-4 D4 C4 ||| B-3 ||| 0.499885027593
E-4 D4 C4 ||| <UNK> ||| 4.99880028793e-06
E-4 D4 C4 ||| B3 ||| 0.499885027593
BAR R F4 E4 ||| F4 ||| 0.999530225492
BAR R F4 E4 ||| <UNK> ||| 9.99520230289e-06
C4 C4 BAR F3 ||| G3 ||| 0.999530225492
C4 C4 BAR F3 ||| <UNK> ||| 9.99520230289e-06
BAR C#5 BAR D5 ||| G4 ||| 0.999530225492
BAR C#5 BAR D5 ||| <UNK> ||| 9.99520230289e-06
B3 BAR E4 D4 ||| E4 ||| 0.399963603494
B3 BAR E4 D4 ||| D4 ||| 0.399963603494
B3 BAR E4 D4 ||| <UNK> ||| 1.99980801843e-06
B3 BAR E4 D4 ||| C4 ||| 0.199982801651
B4 BAR E5 F5 ||| E5 ||| 0.999530225492
B4 BAR E5 F5 ||| <UNK> ||| 9.99520230289e-06
D5 E5 BAR A4 ||| A4 ||| 0.999530225492
D5 E5 BAR A4 ||| <UNK> ||| 9.99520230289e-06
B3 E4 BAR E4 ||| F4 ||| 0.230761479576
B3 E4 BAR E4 ||| C#4 ||| 0.0769210059936
B3 E4 BAR E4 ||| E4 ||| 0.0769210059936
B3 E4 BAR E4 ||| D4 ||| 0.46152218995
B3 E4 BAR E4 ||| D#4 ||| 0.153841242785
B3 E4 BAR E4 ||| <UNK> ||| 7.69202367913e-07
B3 D4 E4 ||| D4 ||| 0.999530225492
B3 D4 E4 ||| <UNK> ||| 9.99520230289e-06
G#3 C4 B3 BAR ||| A3 ||| 0.999843358396
G#3 C4 B3 BAR ||| <UNK> ||| 3.33280008532e-06
G4 BAR A4 G4 BAR ||| G4 ||| 0.999530225492
G4 BAR A4 G4 BAR ||| <UNK> ||| 9.99520230289e-06
B3 B3 B3 BAR ||| <UNK> ||| 4.99880028793e-06
B3 B3 B3 BAR ||| B3 ||| 0.999765056386
E4 F4 BAR R ||| F4 ||| 0.999530225492
E4 F4 BAR R ||| <UNK> ||| 9.99520230289e-06
A4 A4 BAR A4 ||| <UNK> ||| 5.26302493411e-07
A4 A4 BAR A4 ||| G4 ||| 0.157891274326
A4 A4 BAR A4 ||| F4 ||| 0.0526307756436
A4 A4 BAR A4 ||| B4 ||| 0.105261024985
A4 A4 BAR A4 ||| A4 ||| 0.36841227169
A4 A4 BAR A4 ||| B-4 ||| 0.0526307756436
A4 A4 BAR A4 ||| D5 ||| 0.0526307756436
A4 A4 BAR A4 ||| C5 ||| 0.0526307756436
A4 A4 BAR A4 ||| G#4 ||| 0.157891274326
F4 E4 BAR E4 ||| G4 ||| 0.0476184353881
F4 E4 BAR E4 ||| END ||| 0.0476184353881
F4 E4 BAR E4 ||| G#4 ||| 0.0952363945967
F4 E4 BAR E4 ||| E4 ||| 0.142854353805
F4 E4 BAR E4 ||| F4 ||| 0.190472313014
F4 E4 BAR E4 ||| D4 ||| 0.333326190639
F4 E4 BAR E4 ||| <UNK> ||| 4.76179592086e-07
F4 E4 BAR E4 ||| C5 ||| 0.0476184353881
F4 E4 BAR E4 ||| A4 ||| 0.0952363945967
E4 C4 BAR C4 ||| A3 ||| 0.124993750375
E4 C4 BAR C4 ||| <UNK> ||| 1.2499250045e-06
E4 C4 BAR C4 ||| F4 ||| 0.124993750375
E4 C4 BAR C4 ||| B3 ||| 0.749956252625
C#4 C#4 BAR D4 ||| F4 ||| 0.999530225492
C#4 C#4 BAR D4 ||| <UNK> ||| 9.99520230289e-06
D4 G4 BAR C5 ||| C5 ||| 0.999530225492
D4 G4 BAR C5 ||| <UNK> ||| 9.99520230289e-06
B3 E4 BAR D4 ||| D4 ||| 0.333283341332
B3 E4 BAR D4 ||| <UNK> ||| 3.33280008532e-06
B3 E4 BAR D4 ||| C4 ||| 0.666563349864
BAR B3 B3 BAR C4 ||| D4 ||| 0.666563349864
BAR B3 B3 BAR C4 ||| F4 ||| 0.333283341332
BAR B3 B3 BAR C4 ||| <UNK> ||| 3.33280008532e-06
E4 D#4 B3 ||| D#4 ||| 0.999530225492
E4 D#4 B3 ||| <UNK> ||| 9.99520230289e-06
G4 G4 B4 BAR ||| B4 ||| 0.999843358396
G4 G4 B4 BAR ||| <UNK> ||| 3.33280008532e-06
E4 BAR A4 A4 BAR ||| C5 ||| 0.999530225492
E4 BAR A4 A4 BAR ||| <UNK> ||| 9.99520230289e-06
C5 BAR A4 F4 ||| E4 ||| 0.999765056386
C5 BAR A4 F4 ||| <UNK> ||| 4.99880028793e-06
C5 E4 D4 ||| <UNK> ||| 9.99520230289e-06
C5 E4 D4 ||| C4 ||| 0.999530225492
BAR G3 B3 BAR ||| A3 ||| 0.999530225492
BAR G3 B3 BAR ||| <UNK> ||| 9.99520230289e-06
F4 E4 BAR C#4 ||| END ||| 0.999530225492
F4 E4 BAR C#4 ||| <UNK> ||| 9.99520230289e-06
E4 BAR C4 C4 ||| <UNK> ||| 3.33280008532e-06
E4 BAR C4 C4 ||| G3 ||| 0.666563349864
E4 BAR C4 C4 ||| B3 ||| 0.333283341332
BAR B3 BAR C4 C4 ||| <UNK> ||| 4.99880028793e-06
BAR B3 BAR C4 C4 ||| C4 ||| 0.999765056386
B3 G3 C4 ||| D4 ||| 0.999530225492
B3 G3 C4 ||| <UNK> ||| 9.99520230289e-06
F#4 BAR E4 D4 ||| C#4 ||| 0.999530225492
F#4 BAR E4 D4 ||| <UNK> ||| 9.99520230289e-06
BAR E4 A4 A4 ||| B4 ||| 0.124996875094
BAR E4 A4 A4 ||| G4 ||| 0.18749500015
BAR E4 A4 A4 ||| G#4 ||| 0.6874800006
BAR E4 A4 A4 ||| <UNK> ||| 6.24981250562e-07
F#4 G#4 B3 BAR ||| <UNK> ||| 9.99520230289e-06
F#4 G#4 B3 BAR ||| C4 ||| 0.999530225492
E4 C4 B3 BAR ||| A3 ||| 0.999765056386
E4 C4 B3 BAR ||| <UNK> ||| 4.99880028793e-06
D4 E4 C4 ||| <UNK> ||| 3.33280008532e-06
D4 E4 C4 ||| G4 ||| 0.333283341332
D4 E4 C4 ||| A4 ||| 0.333283341332
D4 E4 C4 ||| C4 ||| 0.333283341332
D#4 BAR E4 G4 ||| C5 ||| 0.999530225492
D#4 BAR E4 G4 ||| <UNK> ||| 9.99520230289e-06
C4 D4 BAR C#4 ||| END ||| 0.999843358396
C4 D4 BAR C#4 ||| <UNK> ||| 3.33280008532e-06
A3 C4 BAR D4 ||| E4 ||| 0.499885027593
A3 C4 BAR D4 ||| <UNK> ||| 4.99880028793e-06
A3 C4 BAR D4 ||| C4 ||| 0.499885027593
F4 B3 BAR A3 ||| B-3 ||| 0.999530225492
F4 B3 BAR A3 ||| <UNK> ||| 9.99520230289e-06
E3 A3 A3 BAR ||| G#3 ||| 0.999765056386
E3 A3 A3 BAR ||| <UNK> ||| 4.99880028793e-06
G#4 A4 G4 ||| F4 ||| 0.999765056386
G#4 A4 G4 ||| <UNK> ||| 4.99880028793e-06
R E5 BAR E5 ||| D5 ||| 0.999765056386
R E5 BAR E5 ||| <UNK> ||| 4.99880028793e-06
C5 BAR C5 B4 ||| G4 ||| 0.384601953159
C5 BAR C5 B4 ||| B4 ||| 0.0769210059936
C5 BAR C5 B4 ||| A4 ||| 0.230761479576
C5 BAR C5 B4 ||| E5 ||| 0.153841242785
C5 BAR C5 B4 ||| C5 ||| 0.153841242785
C5 BAR C5 B4 ||| <UNK> ||| 7.69202367913e-07
B4 BAR B4 D4 ||| E4 ||| 0.999530225492
B4 BAR B4 D4 ||| <UNK> ||| 9.99520230289e-06
BAR C5 BAR D5 ||| A4 ||| 0.999530225492
BAR C5 BAR D5 ||| <UNK> ||| 9.99520230289e-06
G#3 B3 E4 BAR ||| E4 ||| 0.999530225492
G#3 B3 E4 BAR ||| <UNK> ||| 9.99520230289e-06
D5 BAR E5 D5 BAR ||| C5 ||| 0.999530225492
D5 BAR E5 D5 BAR ||| <UNK> ||| 9.99520230289e-06
A3 D3 G3 ||| E3 ||| 0.999530225492
A3 D3 G3 ||| <UNK> ||| 9.99520230289e-06
B4 C5 BAR F#4 ||| B4 ||| 0.999882514098
B4 C5 BAR F#4 ||| <UNK> ||| 2.499700036e-06
A3 D4 B3 ||| <UNK> ||| 4.99880028793e-06
A3 D4 B3 ||| C4 ||| 0.999765056386
A3 G#3 A3 ||| <UNK> ||| 1.11105185501e-06
A3 G#3 A3 ||| G#3 ||| 0.111106296553
A3 G#3 A3 ||| B3 ||| 0.555527038558
A3 G#3 A3 ||| D3 ||| 0.222211482054
A3 G#3 A3 ||| C4 ||| 0.111106296553
A4 E4 E4 BAR ||| E4 ||| 0.999530225492
A4 E4 E4 BAR ||| <UNK> ||| 9.99520230289e-06
G#4 A4 A3 ||| <UNK> ||| 9.99520230289e-06
G#4 A4 A3 ||| B3 ||| 0.999530225492
D4 E4 F#4 ||| D4 ||| 0.2499725033
D4 E4 F#4 ||| G4 ||| 0.2499725033
D4 E4 F#4 ||| G#4 ||| 0.499942506899
D4 E4 F#4 ||| <UNK> ||| 2.499700036e-06
BAR C4 C4 C4 BAR ||| D4 ||| 0.499885027593
BAR C4 C4 C4 BAR ||| <UNK> ||| 4.99880028793e-06
BAR C4 C4 C4 BAR ||| B3 ||| 0.499885027593
BAR A4 C5 BAR D5 ||| F5 ||| 0.999530225492
BAR A4 C5 BAR D5 ||| <UNK> ||| 9.99520230289e-06
G4 A4 BAR A4 ||| G4 ||| 0.499977001104
G4 A4 BAR A4 ||| F4 ||| 0.199991400413
G4 A4 BAR A4 ||| B4 ||| 0.0999962001824
G4 A4 BAR A4 ||| E4 ||| 0.0999962001824
G4 A4 BAR A4 ||| D4 ||| 0.0999962001824
G4 A4 BAR A4 ||| <UNK> ||| 9.99952002304e-07
F3 G3 D3 ||| A3 ||| 0.999530225492
F3 G3 D3 ||| <UNK> ||| 9.99520230289e-06
BAR G3 C4 E4 ||| D4 ||| 0.999530225492
BAR G3 C4 E4 ||| <UNK> ||| 9.99520230289e-06
F3 E3 A3 ||| A3 ||| 0.999530225492
F3 E3 A3 ||| <UNK> ||| 9.99520230289e-06
E4 D#4 E4 ||| B4 ||| 0.222211482054
E4 D#4 E4 ||| E4 ||| 0.444421853057
E4 D#4 E4 ||| D#4 ||| 0.333316667556
E4 D#4 E4 ||| <UNK> ||| 1.11105185501e-06
G4 C5 C5 BAR ||| E5 ||| 0.999530225492
G4 C5 C5 BAR ||| <UNK> ||| 9.99520230289e-06
B4 A4 BAR A4 ||| <UNK> ||| 7.14261225329e-07
B4 A4 BAR A4 ||| G4 ||| 0.285705204393
B4 A4 BAR A4 ||| F4 ||| 0.0714268367942
B4 A4 BAR A4 ||| A4 ||| 0.0714268367942
B4 A4 BAR A4 ||| E4 ||| 0.0714268367942
B4 A4 BAR A4 ||| D5 ||| 0.0714268367942
B4 A4 BAR A4 ||| G#4 ||| 0.428557449459
BAR C4 BAR C4 B3 ||| A3 ||| 0.874948753075
BAR C4 BAR C4 B3 ||| <UNK> ||| 1.2499250045e-06
BAR C4 BAR C4 B3 ||| B3 ||| 0.124993750375
B3 B3 G#3 BAR ||| G3 ||| 0.999530225492
B3 B3 G#3 BAR ||| <UNK> ||| 9.99520230289e-06
F4 BAR F4 B3 ||| <UNK> ||| 9.99520230289e-06
F4 BAR F4 B3 ||| C4 ||| 0.999530225492
B4 BAR C5 D5 ||| B4 ||| 0.499961669733
B4 BAR C5 D5 ||| D5 ||| 0.166655000933
B4 BAR C5 D5 ||| G#4 ||| 0.333308335333
B4 BAR C5 D5 ||| <UNK> ||| 1.666533344e-06
C#4 D4 F4 ||| E4 ||| 0.999765056386
C#4 D4 F4 ||| <UNK> ||| 4.99880028793e-06
A3 BAR G#3 F#3 ||| <UNK> ||| 9.99520230289e-06
A3 BAR G#3 F#3 ||| B3 ||| 0.999530225492
G#4 A4 E4 ||| D4 ||| 0.999765056386
G#4 A4 E4 ||| <UNK> ||| 4.99880028793e-06
BAR R E4 ||| G4 ||| 0.499885027593
BAR R E4 ||| A4 ||| 0.499885027593
BAR R E4 ||| <UNK> ||| 4.99880028793e-06
BAR B4 A4 G4 ||| G4 ||| 0.166655000933
BAR B4 A4 G4 ||| F4 ||| 0.333308335333
BAR B4 A4 G4 ||| A4 ||| 0.499961669733
BAR B4 A4 G4 ||| <UNK> ||| 1.666533344e-06
BAR E4 F#4 E4 BAR ||| E4 ||| 0.999765056386
BAR E4 F#4 E4 BAR ||| <UNK> ||| 4.99880028793e-06
E5 BAR A4 G#4 ||| A4 ||| 0.999530225492
E5 BAR A4 G#4 ||| <UNK> ||| 9.99520230289e-06
C5 BAR F5 E5 ||| E5 ||| 0.999530225492
C5 BAR F5 E5 ||| <UNK> ||| 9.99520230289e-06
C5 BAR C5 B-4 ||| A4 ||| 0.999882514098
C5 BAR C5 B-4 ||| <UNK> ||| 2.499700036e-06
BAR G4 F#4 G#4 ||| A4 ||| 0.999530225492
BAR G4 F#4 G#4 ||| <UNK> ||| 9.99520230289e-06
B4 BAR E4 D#4 ||| E4 ||| 0.999530225492
B4 BAR E4 D#4 ||| <UNK> ||| 9.99520230289e-06
G4 G#4 BAR A4 ||| B4 ||| 0.333308335333
G4 G#4 BAR A4 ||| A3 ||| 0.166655000933
G4 G#4 BAR A4 ||| <UNK> ||| 1.666533344e-06
G4 G#4 BAR A4 ||| A4 ||| 0.333308335333
G4 G#4 BAR A4 ||| G#4 ||| 0.166655000933
G3 F#3 G3 ||| A3 ||| 0.999530225492
G3 F#3 G3 ||| <UNK> ||| 9.99520230289e-06
D5 BAR C5 A4 ||| B4 ||| 0.999530225492
D5 BAR C5 A4 ||| <UNK> ||| 9.99520230289e-06
BAR C4 E4 A4 ||| D4 ||| 0.499885027593
BAR C4 E4 A4 ||| B-4 ||| 0.499885027593
BAR C4 E4 A4 ||| <UNK> ||| 4.99880028793e-06
BAR C4 BAR C4 E4 BAR ||| E4 ||| 0.999530225492
BAR C4 BAR C4 E4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR C4 D4 E4 ||| F4 ||| 0.374996458369
BAR C4 D4 E4 ||| A3 ||| 0.0208333333333
BAR C4 D4 E4 ||| E4 ||| 0.249997708356
BAR C4 D4 E4 ||| D4 ||| 0.29166395836
BAR C4 D4 E4 ||| C4 ||| 0.0624995833375
BAR C4 D4 E4 ||| <UNK> ||| 2.08331250021e-07
B3 C4 BAR E4 ||| D4 ||| 0.999530225492
B3 C4 BAR E4 ||| <UNK> ||| 9.99520230289e-06
F3 D3 G3 ||| G3 ||| 0.999530225492
F3 D3 G3 ||| <UNK> ||| 9.99520230289e-06
BAR A4 G4 G4 BAR ||| A4 ||| 0.999530225492
BAR A4 G4 G4 BAR ||| <UNK> ||| 9.99520230289e-06
C4 BAR C4 E4 ||| E4 ||| 0.999530225492
C4 BAR C4 E4 ||| <UNK> ||| 9.99520230289e-06
G4 A4 BAR E4 ||| A4 ||| 0.999530225492
G4 A4 BAR E4 ||| <UNK> ||| 9.99520230289e-06
G4 A4 BAR G4 ||| E4 ||| 0.142848776084
G4 A4 BAR G4 ||| D4 ||| 0.142848776084
G4 A4 BAR G4 ||| D5 ||| 0.285696123694
G4 A4 BAR G4 ||| G4 ||| 0.428543471305
G4 A4 BAR G4 ||| <UNK> ||| 1.4284734761e-06
E4 A4 A4 ||| G4 ||| 0.499885027593
E4 A4 A4 ||| G#4 ||| 0.499885027593
E4 A4 A4 ||| <UNK> ||| 4.99880028793e-06
BAR B3 C#4 D4 ||| <UNK> ||| 9.99520230289e-06
BAR B3 C#4 D4 ||| C4 ||| 0.999530225492
E4 C4 D4 ||| E4 ||| 0.333283341332
E4 C4 D4 ||| <UNK> ||| 3.33280008532e-06
E4 C4 D4 ||| B3 ||| 0.666563349864
BAR E4 D4 E4 BAR ||| F4 ||| 0.999765056386
BAR E4 D4 E4 BAR ||| <UNK> ||| 4.99880028793e-06
A4 B4 BAR B4 ||| E4 ||| 0.142848776084
A4 B4 BAR B4 ||| D4 ||| 0.142848776084
A4 B4 BAR B4 ||| A4 ||| 0.714238166526
A4 B4 BAR B4 ||| <UNK> ||| 1.4284734761e-06
E4 G3 A3 BAR ||| <UNK> ||| 4.99880028793e-06
E4 G3 A3 BAR ||| B3 ||| 0.999765056386
B3 C4 D4 BAR ||| <UNK> ||| 3.1249531257e-07
B3 C4 D4 BAR ||| E4 ||| 0.531242343865
B3 C4 D4 BAR ||| D4 ||| 0.15624796878
B3 C4 D4 BAR ||| C4 ||| 0.249996562552
B3 C4 D4 BAR ||| C#4 ||| 0.0624993750094
A3 B3 A3 BAR ||| G#3 ||| 0.666632224059
A3 B3 A3 BAR ||| D4 ||| 0.111106296553
A3 B3 A3 BAR ||| <UNK> ||| 1.11105185501e-06
A3 B3 A3 BAR ||| A3 ||| 0.111106296553
A3 B3 A3 BAR ||| B3 ||| 0.111106296553
BAR B3 ||| E4 ||| 0.333283341332
BAR B3 ||| <UNK> ||| 3.33280008532e-06
BAR B3 ||| B3 ||| 0.666563349864
BAR E4 E4 BAR F4 ||| G4 ||| 0.499885027593
BAR E4 E4 BAR F4 ||| F4 ||| 0.499885027593
BAR E4 E4 BAR F4 ||| <UNK> ||| 4.99880028793e-06
G3 A3 BAR B-3 ||| A3 ||| 0.999765056386
G3 A3 BAR B-3 ||| <UNK> ||| 4.99880028793e-06
A3 A3 BAR B3 ||| A3 ||| 0.199982801651
A3 A3 BAR B3 ||| R ||| 0.199982801651
A3 A3 BAR B3 ||| B3 ||| 0.199982801651
A3 A3 BAR B3 ||| D4 ||| 0.199982801651
A3 A3 BAR B3 ||| C4 ||| 0.199982801651
A3 A3 BAR B3 ||| <UNK> ||| 1.99980801843e-06
BAR E4 G4 A4 ||| G4 ||| 0.999530225492
BAR E4 G4 A4 ||| <UNK> ||| 9.99520230289e-06
BAR A4 D5 E5 ||| D5 ||| 0.999765056386
BAR A4 D5 E5 ||| <UNK> ||| 4.99880028793e-06
BAR E4 A3 G#3 ||| C#4 ||| 0.999530225492
BAR E4 A3 G#3 ||| <UNK> ||| 9.99520230289e-06
G4 BAR G4 C5 ||| B4 ||| 0.999530225492
G4 BAR G4 C5 ||| <UNK> ||| 9.99520230289e-06
BAR F4 G#3 B3 ||| E4 ||| 0.999530225492
BAR F4 G#3 B3 ||| <UNK> ||| 9.99520230289e-06
F4 B3 C4 ||| D4 ||| 0.999765056386
F4 B3 C4 ||| <UNK> ||| 4.99880028793e-06
BAR D#4 E4 B3 ||| <UNK> ||| 9.99520230289e-06
BAR D#4 E4 B3 ||| B3 ||| 0.999530225492
B3 G3 C4 BAR ||| D4 ||| 0.999765056386
B3 G3 C4 BAR ||| <UNK> ||| 4.99880028793e-06
F#4 F#4 E4 BAR ||| E4 ||| 0.999530225492
F#4 F#4 E4 BAR ||| <UNK> ||| 9.99520230289e-06
D4 BAR C#4 C#4 ||| END ||| 0.999530225492
D4 BAR C#4 C#4 ||| <UNK> ||| 9.99520230289e-06
B3 G#3 BAR G3 ||| <UNK> ||| 9.99520230289e-06
B3 G#3 BAR G3 ||| C4 ||| 0.999530225492
A4 F#4 D4 ||| G4 ||| 0.666563349864
A4 F#4 D4 ||| A4 ||| 0.333283341332
A4 F#4 D4 ||| <UNK> ||| 3.33280008532e-06
BAR A3 A3 G#3 ||| A3 ||| 0.999530225492
BAR A3 A3 G#3 ||| <UNK> ||| 9.99520230289e-06
BAR G4 BAR F4 ||| G4 ||| 0.999882514098
BAR G4 BAR F4 ||| <UNK> ||| 2.499700036e-06
G#4 BAR E4 BAR A4 ||| E4 ||| 0.454526529751
G#4 BAR E4 BAR A4 ||| G4 ||| 0.363621405611
G#4 BAR E4 BAR A4 ||| A4 ||| 0.181811157331
G#4 BAR E4 BAR A4 ||| <UNK> ||| 9.090512414e-07
BAR F3 G3 C4 ||| <UNK> ||| 9.99520230289e-06
BAR F3 G3 C4 ||| C4 ||| 0.999530225492
BAR E4 R G4 BAR ||| G4 ||| 0.499885027593
BAR E4 R G4 BAR ||| F4 ||| 0.499885027593
BAR E4 R G4 BAR ||| <UNK> ||| 4.99880028793e-06
G3 BAR A3 B3 ||| <UNK> ||| 1.99980801843e-06
G3 BAR A3 B3 ||| C4 ||| 0.999906009023
BAR A4 G#4 BAR C5 ||| B4 ||| 0.999530225492
BAR A4 G#4 BAR C5 ||| <UNK> ||| 9.99520230289e-06
BAR E4 E4 C4 ||| D4 ||| 0.999530225492
BAR E4 E4 C4 ||| <UNK> ||| 9.99520230289e-06
BAR E4 D#4 E4 BAR ||| E4 ||| 0.999530225492
BAR E4 D#4 E4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR E4 A4 B4 BAR ||| E4 ||| 0.666563349864
BAR E4 A4 B4 BAR ||| C5 ||| 0.333283341332
BAR E4 A4 B4 BAR ||| <UNK> ||| 3.33280008532e-06
R A3 BAR B3 ||| <UNK> ||| 9.99520230289e-06
R A3 BAR B3 ||| B3 ||| 0.999530225492
G4 BAR F4 C5 ||| B4 ||| 0.999530225492
G4 BAR F4 C5 ||| <UNK> ||| 9.99520230289e-06
A4 G#4 BAR A4 ||| <UNK> ||| 3.22575650442e-07
A4 G#4 BAR A4 ||| G4 ||| 0.129030582752
A4 G#4 BAR A4 ||| B4 ||| 0.0967730177081
A4 G#4 BAR A4 ||| R ||| 0.0967730177081
A4 G#4 BAR A4 ||| A4 ||| 0.193545712841
A4 G#4 BAR A4 ||| E5 ||| 0.064515452664
A4 G#4 BAR A4 ||| D5 ||| 0.193545712841
A4 G#4 BAR A4 ||| C5 ||| 0.064515452664
A4 G#4 BAR A4 ||| G#4 ||| 0.161288147796
BAR A3 G3 A3 ||| <UNK> ||| 9.99520230289e-06
BAR A3 G3 A3 ||| B3 ||| 0.999530225492
BAR G4 BAR G4 ||| A4 ||| 0.999530225492
BAR G4 BAR G4 ||| <UNK> ||| 9.99520230289e-06
BAR E4 BAR ||| E4 ||| 0.583310834233
BAR E4 BAR ||| D4 ||| 0.166660833567
BAR E4 BAR ||| F4 ||| 0.0833308334333
BAR E4 BAR ||| A4 ||| 0.166660833567
BAR E4 BAR ||| <UNK> ||| 8.33300001333e-07
BAR C5 D5 E5 ||| <UNK> ||| 2.499700036e-06
BAR C5 D5 E5 ||| D5 ||| 0.2499725033
BAR C5 D5 E5 ||| A4 ||| 0.499942506899
